NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	KCNH2	na	3807	0.13899196684360504	-0.14183073	No	
row_1	SNTA1	na	4200	0.12773282825946808	-0.12102848	No	
row_2	KCNE2	na	4858	0.10854346305131912	-0.119109385	No	
row_3	KCNE5	na	5656	0.08814132958650589	-0.13037048	No	
row_4	SCN1B	na	6550	0.06837465614080429	-0.15247272	No	
row_5	KCNA5	na	7501	0.05023336410522461	-0.18301123	No	
row_6	DLG1	na	8913	0.02377217262983322	-0.2442388	No	
row_7	SCN5A	na	9008	0.022331126034259796	-0.24184106	No	
row_8	FLNA	na	9154	0.019630491733551025	-0.24276766	No	
row_9	WDR1	na	9964	0.0047163767740130424	-0.28065512	No	
row_10	ZMPSTE24	na	10060	0.003041590331122279	-0.2843276	No	
row_11	CACNA2D1	na	10899	-0.011609883047640324	-0.32147402	No	
row_12	KCNQ1	na	14695	-0.08513542264699936	-0.47953317	No	
row_13	KCNE1	na	15947	-0.11500804126262665	-0.5044955	No	
row_14	AKAP9	na	16969	-0.14387235045433044	-0.5092574	Yes	
row_15	ANK2	na	17006	-0.1455950289964676	-0.4655589	Yes	
row_16	RNF207	na	17782	-0.17301391065120697	-0.44925523	Yes	
row_17	KCNE4	na	18017	-0.18318136036396027	-0.40345672	Yes	
row_18	KCNE3	na	18601	-0.21238119900226593	-0.36552265	Yes	
row_19	NOS1AP	na	18798	-0.2230139970779419	-0.3054409	Yes	
row_20	CACNA1D	na	19237	-0.2534410059452057	-0.24763474	Yes	
row_21	NPPA	na	19325	-0.2601710855960846	-0.17065069	Yes	
row_22	GJA5	na	19778	-0.30342966318130493	-0.09792084	Yes	
row_23	SCN4B	na	20423	-0.4380519390106201	0.0074923774	Yes	
