NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GATA6	na	3140	0.16072075068950653	-0.1049752	No	
row_1	COMP	na	4491	0.11901786178350449	-0.1352592	No	
row_2	ADM	na	6835	0.06266874819993973	-0.23062125	No	
row_3	SOD2	na	7069	0.05836953967809677	-0.22459576	No	
row_4	MESP1	na	7352	0.05329744145274162	-0.22246319	No	
row_5	NFATC2	na	10214	1.945570547832176E-4	-0.36161318	No	
row_6	CTH	na	10540	-0.005658005829900503	-0.3757437	No	
row_7	DNMT1	na	11786	-0.02839379385113716	-0.42787573	No	
row_8	MYOCD	na	12151	-0.03502137213945389	-0.43516943	No	
row_9	NFATC3	na	12813	-0.04706293344497681	-0.45333242	No	
row_10	SGCB	na	13567	-0.06128096953034401	-0.47174254	No	
row_11	EPC1	na	14748	-0.08629292249679565	-0.5034892	Yes	
row_12	HES1	na	15009	-0.09213446080684662	-0.48873374	Yes	
row_13	ENG	na	15331	-0.09966310113668442	-0.47470686	Yes	
row_14	VEGFA	na	15397	-0.10082273930311203	-0.44787887	Yes	
row_15	NOTCH1	na	15517	-0.10334797203540802	-0.42292717	Yes	
row_16	PDCD4	na	16781	-0.13771064579486847	-0.44341764	Yes	
row_17	FGF9	na	17060	-0.146958589553833	-0.41323	Yes	
row_18	SRF	na	17706	-0.17013084888458252	-0.3940067	Yes	
row_19	KIT	na	17757	-0.17212998867034912	-0.3452378	Yes	
row_20	RAMP2	na	17870	-0.17712481319904327	-0.29799983	Yes	
row_21	HEY2	na	18214	-0.19222989678382874	-0.25750852	Yes	
row_22	PDGFB	na	18857	-0.2275822013616562	-0.22104977	Yes	
row_23	GPER1	na	19566	-0.2811729609966278	-0.17186128	Yes	
row_24	NFATC1	na	19578	-0.28200972080230713	-0.08850991	Yes	
row_25	MIR140	na	20480	-0.4608001410961151	0.0047196546	Yes	
