NAME	ORIGINAL SIZE	AFTER RESTRICTING TO DATASET	STATUS	
GO_POSITIVE_REGULATION_OF_VIRAL_TRANSCRIPTION	41	41		
GO_CARDIAC_CHAMBER_DEVELOPMENT	167	152		
GO_DNA_DEPENDENT_DNA_REPLICATION_MAINTENANCE_OF_FIDELITY	42	42		
GO_CIRCADIAN_RHYTHM	196	174		
GO_PHOSPHATIDYLSERINE_ACYL_CHAIN_REMODELING	21	18		
GO_SPINAL_CORD_DEVELOPMENT	104	81		
GO_PLATELET_DERIVED_GROWTH_FACTOR_RECEPTOR_SIGNALING_PATHWAY	58	54		
GO_CELLULAR_RESPONSE_TO_LIPOPROTEIN_PARTICLE_STIMULUS	35	29		
GO_POSITIVE_REGULATION_OF_EPITHELIAL_CELL_DIFFERENTIATION	66	50		
GO_POSITIVE_REGULATION_OF_KINASE_ACTIVITY	571		Rejected!	
GO_POTASSIUM_ION_TRANSPORT	239	196		
GO_REGULATION_OF_T_CELL_RECEPTOR_SIGNALING_PATHWAY	38	38		
GO_NEGATIVE_REGULATION_OF_EPITHELIAL_CELL_PROLIFERATION	163	112		
GO_MOVEMENT_IN_ENVIRONMENT_OF_OTHER_ORGANISM_INVOLVED_IN_SYMBIOTIC_INTERACTION	35	35		
GO_REGULATION_OF_PROTEIN_TARGETING_TO_MITOCHONDRION	44	42		
GO_APICAL_PROTEIN_LOCALIZATION	11		Rejected!	
GO_REGULATION_OF_ESTABLISHMENT_OF_PLANAR_POLARITY	109	106		
GO_FOREBRAIN_NEURON_DEVELOPMENT	31	29		
GO_POSITIVE_REGULATION_OF_PROTEIN_MATURATION	25	22		
GO_NEUROMUSCULAR_JUNCTION_DEVELOPMENT	48	45		
GO_MITOTIC_CYTOKINESIS	70	68		
GO_NEGATIVE_REGULATION_OF_RESPONSE_TO_ENDOPLASMIC_RETICULUM_STRESS	44	41		
GO_SMAD_PROTEIN_SIGNAL_TRANSDUCTION	70	65		
GO_CYTOPLASMIC_TRANSLATION	95	91		
GO_MEIOTIC_CHROMOSOME_SEGREGATION	89	76		
GO_POSITIVE_REGULATION_OF_CALCIUM_ION_TRANSPORT	118	106		
GO_REGULATION_OF_DOUBLE_STRAND_BREAK_REPAIR	76	74		
GO_RNA_DEPENDENT_DNA_BIOSYNTHETIC_PROCESS	73	71		
GO_REGULATION_OF_B_CELL_RECEPTOR_SIGNALING_PATHWAY	30	27		
GO_DENDRITE_DEVELOPMENT	221	212		
GO_REGULATION_OF_RESPIRATORY_BURST	16		Rejected!	
GO_G_PROTEIN_COUPLED_RECEPTOR_INTERNALIZATION	15		Rejected!	
GO_MEMORY	115	102		
GO_NEURON_DEVELOPMENT	1096		Rejected!	
GO_REGULATION_OF_GOLGI_ORGANIZATION	15	15		
GO_ENDOTHELIAL_CELL_DEVELOPMENT	59	58		
GO_POSITIVE_REGULATION_OF_MYOTUBE_DIFFERENTIATION	38	25		
GO_REGULATION_OF_CELL_ACTIVATION	608		Rejected!	
GO_MULTICELLULAR_ORGANISM_AGING	34	28		
GO_ATP_DEPENDENT_CHROMATIN_REMODELING	81	64		
GO_ANATOMICAL_STRUCTURE_FORMATION_INVOLVED_IN_MORPHOGENESIS	1172		Rejected!	
GO_ION_TRANSPORT	1677		Rejected!	
GO_LIPID_MODIFICATION	235	228		
GO_NEGATIVE_REGULATION_OF_KIDNEY_DEVELOPMENT	17	15		
GO_REGULATION_OF_HEPATOCYTE_PROLIFERATION	13		Rejected!	
GO_ACYLGLYCEROL_HOMEOSTASIS	37	28		
GO_NEGATIVE_REGULATION_OF_PROTEIN_COMPLEX_ASSEMBLY	132	122		
GO_HEMOGLOBIN_METABOLIC_PROCESS	5		Rejected!	
GO_SINGLE_FERTILIZATION	143	101		
GO_CHROMOSOME_ORGANIZATION	1207		Rejected!	
GO_NEGATIVE_REGULATION_OF_MAP_KINASE_ACTIVITY	77	68		
GO_SYNAPTIC_VESICLE_LOCALIZATION	163	153		
GO_PHENOL_CONTAINING_COMPOUND_METABOLIC_PROCESS	60	56		
GO_REGULATION_OF_ANTIGEN_RECEPTOR_MEDIATED_SIGNALING_PATHWAY	64	61		
GO_ESTABLISHMENT_OF_SPINDLE_ORIENTATION	29	28		
GO_METANEPHRIC_NEPHRON_MORPHOGENESIS	26	26		
GO_RESPONSE_TO_UV_C	15	15		
GO_CARBOHYDRATE_CATABOLIC_PROCESS	185	171		
GO_DENTATE_GYRUS_DEVELOPMENT	16		Rejected!	
GO_ESTABLISHMENT_OR_MAINTENANCE_OF_TRANSMEMBRANE_ELECTROCHEMICAL_GRADIENT	14		Rejected!	
GO_LABYRINTHINE_LAYER_DEVELOPMENT	47	45		
GO_N_TERMINAL_PROTEIN_AMINO_ACID_ACETYLATION	17	16		
GO_CERAMIDE_CATABOLIC_PROCESS	20	18		
GO_EXCRETION	67	62		
GO_DIGESTION	136	104		
GO_POSITIVE_REGULATION_OF_SYNAPTIC_TRANSMISSION_GLUTAMATERGIC	33	29		
GO_POSITIVE_REGULATION_OF_MITOTIC_NUCLEAR_DIVISION	54	47		
GO_HINDBRAIN_DEVELOPMENT	153	135		
GO_OLIGOSACCHARIDE_METABOLIC_PROCESS	20	18		
GO_NEGATIVE_REGULATION_OF_DENDRITIC_SPINE_DEVELOPMENT	12		Rejected!	
GO_MODULATION_OF_GROWTH_OF_SYMBIONT_INVOLVED_IN_INTERACTION_WITH_HOST	15	15		
GO_CHROMOSOME_SEGREGATION	316	296		
GO_NEGATIVE_REGULATION_OF_CYCLIN_DEPENDENT_PROTEIN_KINASE_ACTIVITY	34	31		
GO_ETHER_METABOLIC_PROCESS	13		Rejected!	
GO_HEMATOPOIETIC_PROGENITOR_CELL_DIFFERENTIATION	162	155		
GO_CYTOKINE_METABOLIC_PROCESS	110	102		
GO_NEGATIVE_REGULATION_OF_ERK1_AND_ERK2_CASCADE	75	64		
GO_STEROID_BIOSYNTHETIC_PROCESS	195	169		
GO_SODIUM_INDEPENDENT_ORGANIC_ANION_TRANSPORT	16		Rejected!	
GO_REGULATION_OF_PROTEIN_TYROSINE_KINASE_ACTIVITY	88	86		
GO_DNA_TEMPLATED_TRANSCRIPTION_ELONGATION	111	108		
GO_N_GLYCAN_PROCESSING	15		Rejected!	
GO_ENDOPLASMIC_RETICULUM_TO_CYTOSOL_TRANSPORT	28	28		
GO_NEGATIVE_REGULATION_OF_REPRODUCTIVE_PROCESS	59	45		
GO_G_PROTEIN_COUPLED_PURINERGIC_RECEPTOR_SIGNALING_PATHWAY	24	21		
GO_MEMBRANE_DEPOLARIZATION	90	79		
GO_OLFACTORY_BULB_INTERNEURON_DIFFERENTIATION	12		Rejected!	
GO_ATTACHMENT_OF_SPINDLE_MICROTUBULES_TO_KINETOCHORE	32	32		
GO_REGULATION_OF_LYASE_ACTIVITY	45	37		
GO_RESPONSE_TO_NITROGEN_COMPOUND	975		Rejected!	
GO_NEGATIVE_REGULATION_OF_TRANSMEMBRANE_TRANSPORT	126	105		
GO_REGULATION_OF_DNA_RECOMBINATION	102	87		
GO_REGULATION_OF_LEUKOCYTE_PROLIFERATION	221	205		
GO_RESPONSE_TO_ETHANOL	127	112		
GO_SULFUR_COMPOUND_METABOLIC_PROCESS	202	188		
GO_REGULATION_OF_CELL_CYCLE_CHECKPOINT	33	32		
GO_NEGATIVE_REGULATION_OF_TRANSCRIPTION_REGULATORY_REGION_DNA_BINDING	20	19		
GO_POSITIVE_REGULATION_OF_DNA_REPLICATION	37	36		
GO_NEGATIVE_REGULATION_OF_NEURON_APOPTOTIC_PROCESS	152	137		
GO_POSITIVE_REGULATION_OF_REPRODUCTIVE_PROCESS	76	65		
GO_POSITIVE_REGULATION_OF_METANEPHROS_DEVELOPMENT	14		Rejected!	
GO_POSITIVE_REGULATION_OF_LYMPHOCYTE_APOPTOTIC_PROCESS	18	15		
GO_NUCLEOTIDE_PHOSPHORYLATION	21	21		
GO_POSITIVE_REGULATION_OF_GENE_EXPRESSION_EPIGENETIC	61	48		
GO_GLUTAMATE_SECRETION	44	39		
GO_POSITIVE_REGULATION_OF_PROTEIN_BINDING	93	91		
GO_REGULATION_OF_VASCULOGENESIS	14		Rejected!	
GO_LENS_FIBER_CELL_DIFFERENTIATION	31	27		
GO_SENSORY_PERCEPTION	968	435		
GO_HEPATICOBILIARY_SYSTEM_DEVELOPMENT	140	133		
GO_FATTY_ACID_CATABOLIC_PROCESS	103	100		
GO_REGULATION_OF_VESICLE_FUSION	31	27		
GO_REGULATION_OF_LIPID_STORAGE	45	42		
GO_CARBOHYDRATE_TRANSPORT	148	133		
GO_REGULATION_OF_CELLULAR_RESPONSE_TO_GROWTH_FACTOR_STIMULUS	289	245		
GO_EMBRYONIC_HEMOPOIESIS	21	20		
GO_EMBRYO_DEVELOPMENT_ENDING_IN_BIRTH_OR_EGG_HATCHING	623		Rejected!	
GO_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_OR_POLYSACCHARIDE_ANTIGEN_VIA_MHC_CLASS_II	102	96		
GO_RESPONSE_TO_IONIZING_RADIATION	148	144		
GO_EPITHELIUM_DEVELOPMENT	1278		Rejected!	
GO_POSITIVE_REGULATION_OF_SEQUESTERING_OF_CALCIUM_ION	17		Rejected!	
GO_SECONDARY_METABOLITE_BIOSYNTHETIC_PROCESS	29	25		
GO_CELL_MIGRATION_INVOLVED_IN_HEART_DEVELOPMENT	19	16		
GO_PROTEIN_LOCALIZATION_TO_CYTOSKELETON	54	54		
GO_NUCLEAR_ENVELOPE_REASSEMBLY	18	18		
GO_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY_IN_RESPONSE_TO_DNA_DAMAGE_BY_P53_CLASS_MEDIATOR	44	43		
GO_REGULATION_OF_AUTOPHAGY	319	306		
GO_PHOSPHOLIPID_METABOLIC_PROCESS	259	243		
GO_AMMONIUM_ION_METABOLIC_PROCESS	61	53		
GO_REGULATION_OF_INTERLEUKIN_4_PRODUCTION	28	27		
GO_NCRNA_CATABOLIC_PROCESS	31	29		
GO_REGULATION_OF_FAT_CELL_DIFFERENTIATION	128	113		
GO_GLUTAMINE_FAMILY_AMINO_ACID_BIOSYNTHETIC_PROCESS	17	16		
GO_BUNDLE_OF_HIS_CELL_TO_PURKINJE_MYOCYTE_COMMUNICATION	14		Rejected!	
GO_REGULATION_OF_CELL_MATURATION	22	22		
GO_NEGATIVE_REGULATION_OF_CELL_DEVELOPMENT	335	299		
GO_MAMMARY_GLAND_MORPHOGENESIS	46	44		
GO_CELLULAR_PROTEIN_COMPLEX_DISASSEMBLY	216	210		
GO_URETER_DEVELOPMENT	16	16		
GO_BODY_MORPHOGENESIS	51	50		
GO_SOMATIC_STEM_CELL_POPULATION_MAINTENANCE	72	63		
GO_CYTOPLASMIC_MICROTUBULE_ORGANIZATION	53	51		
GO_POSITIVE_REGULATION_OF_DNA_DAMAGE_RESPONSE_SIGNAL_TRANSDUCTION_BY_P53_CLASS_MEDIATOR	14		Rejected!	
GO_PROTEIN_ACTIVATION_CASCADE	28	25		
GO_POSITIVE_REGULATION_OF_PHOSPHOLIPASE_ACTIVITY	58	55		
GO_NEGATIVE_REGULATION_OF_PEPTIDYL_TYROSINE_PHOSPHORYLATION	51	50		
GO_REGULATION_OF_COLLATERAL_SPROUTING	20	20		
GO_ESTABLISHMENT_OR_MAINTENANCE_OF_MONOPOLAR_CELL_POLARITY	21	21		
GO_NEURON_RECOGNITION	47	46		
GO_NUCLEOSIDE_DIPHOSPHATE_METABOLIC_PROCESS	30	29		
GO_MICROTUBULE_POLYMERIZATION_OR_DEPOLYMERIZATION	109	103		
GO_RESPONSE_TO_AMMONIUM_ION	130	104		
GO_NEGATIVE_REGULATION_OF_PROTEOLYSIS	354	287		
GO_PINOCYTOSIS	21	21		
GO_REGULATION_OF_EPITHELIAL_CELL_APOPTOTIC_PROCESS	87	70		
GO_PHOSPHATIDYLCHOLINE_METABOLIC_PROCESS	41	35		
GO_LUNG_EPITHELIUM_DEVELOPMENT	36	34		
GO_METENCEPHALON_DEVELOPMENT	111	98		
GO_G_PROTEIN_COUPLED_PURINERGIC_NUCLEOTIDE_RECEPTOR_SIGNALING_PATHWAY	14		Rejected!	
GO_ACTIN_FILAMENT_BUNDLE_ORGANIZATION	155	148		
