NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	BLMH	na	233	0.28107303380966187	0.005608733	No	
row_1	BCAT1	na	1829	0.15370215475559235	-0.0741591	No	
row_2	IL4I1	na	1916	0.15035486221313477	-0.06897791	No	
row_3	ASRGL1	na	2048	0.14550404250621796	-0.06666041	No	
row_4	DDAH2	na	2247	0.1378290206193924	-0.06863685	No	
row_5	AHCY	na	3189	0.10827755928039551	-0.1145228	No	
row_6	CRYM	na	3233	0.10680186003446579	-0.10982147	No	
row_7	ADO	na	4095	0.08593479543924332	-0.15268323	No	
row_8	PCYOX1L	na	4137	0.08468114584684372	-0.14934543	No	
row_9	BCAT2	na	5486	0.05715573951601982	-0.22161575	No	
row_10	SDSL	na	5553	0.05602582171559334	-0.22160159	No	
row_11	TXN2	na	5595	0.055371083319187164	-0.22022006	No	
row_12	MPST	na	5848	0.05076669156551361	-0.23105532	No	
row_13	GAD1	na	6256	0.04279112443327904	-0.25117156	No	
row_14	GLDC	na	6564	0.03727003186941147	-0.26601198	No	
row_15	GLS	na	6766	0.033731844276189804	-0.27510563	No	
row_16	GLUD1	na	7354	0.023514024913311005	-0.30666822	No	
row_17	PPAT	na	7744	0.016812574118375778	-0.3275024	No	
row_18	HAL	na	8097	0.010838348418474197	-0.34664693	No	
row_19	GCAT	na	9267	-0.009792754426598549	-0.41197515	No	
row_20	GOT1	na	9420	-0.01262284442782402	-0.41971198	No	
row_21	AMT	na	9880	-0.021021369844675064	-0.44421625	No	
row_22	AFMID	na	9947	-0.022142240777611732	-0.4464636	No	
row_23	FTCD	na	10115	-0.025360502302646637	-0.45419693	No	
row_24	OAT	na	10298	-0.02874099649488926	-0.46255127	No	
row_25	HAAO	na	10332	-0.029428351670503616	-0.46244973	No	
row_26	THNSL2	na	10354	-0.029837187379598618	-0.46164358	No	
row_27	SHMT2	na	10592	-0.0340130478143692	-0.47275037	No	
row_28	BCKDK	na	10734	-0.03668927028775215	-0.47826004	No	
row_29	FAH	na	10779	-0.03762965649366379	-0.478232	No	
row_30	DDO	na	11055	-0.04240158945322037	-0.49092373	No	
row_31	KMO	na	11218	-0.04558015242218971	-0.4970253	No	
row_32	CBS	na	11338	-0.04795950651168823	-0.50054103	No	
row_33	GLUD2	na	11458	-0.05037543177604675	-0.50389546	No	
row_34	HSD17B10	na	11494	-0.05097125470638275	-0.50246894	No	
row_35	PCBD1	na	11597	-0.05295850709080696	-0.5046915	No	
row_36	ARG2	na	11615	-0.053351446986198425	-0.5020901	No	
row_37	KYNU	na	11892	-0.05872347578406334	-0.51374894	No	
row_38	ATP2B4	na	11956	-0.060427166521549225	-0.5132717	No	
row_39	ENOSF1	na	11959	-0.06044616550207138	-0.5093501	No	
row_40	KYAT1	na	12083	-0.06311473995447159	-0.5120801	No	
row_41	GOT2	na	12288	-0.0670444518327713	-0.5191196	No	
row_42	GCSH	na	12391	-0.06912931799888611	-0.52026284	No	
row_43	HYKK	na	12396	-0.06924653053283691	-0.5158668	No	
row_44	ACADSB	na	12502	-0.07136724889278412	-0.51703	No	
row_45	UROC1	na	12688	-0.0751044899225235	-0.5224592	No	
row_46	IDO1	na	12983	-0.08137757331132889	-0.53362197	No	
row_47	SLC25A21	na	13030	-0.08277179300785065	-0.5306938	No	
row_48	OGDH	na	13164	-0.08613874018192291	-0.53245145	No	
row_49	PCYOX1	na	13180	-0.08640015870332718	-0.52753145	No	
row_50	HNMT	na	13195	-0.08677276968955994	-0.5225301	No	
row_51	PRODH2	na	13200	-0.0868530124425888	-0.5169589	No	
row_52	ARG1	na	13213	-0.08708439022302628	-0.5118239	No	
row_53	CARNS1	na	13233	-0.08760389685630798	-0.50704926	No	
row_54	DLD	na	13278	-0.08873571455478668	-0.50361013	No	
row_55	NOS2	na	13707	-0.09893780946731567	-0.52116424	No	
row_56	DLST	na	13814	-0.10146630555391312	-0.52037495	No	
row_57	SDS	na	14046	-0.10775036364793777	-0.5262216	No	
row_58	AMDHD1	na	14378	-0.11657635867595673	-0.5371234	Yes	
row_59	TST	na	14467	-0.11810383945703506	-0.53420764	Yes	
