NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	E2F1	na	217	0.28378134965896606	9.366289E-4	No	
row_1	TFAP4	na	232	0.28112438321113586	0.013237906	No	
row_2	GSTO2	na	443	0.2502838373184204	0.013010515	No	
row_3	SMYD3	na	548	0.2378109097480774	0.018201055	No	
row_4	CHEK2	na	638	0.22812533378601074	0.02378938	No	
row_5	CYP2W1	na	730	0.22004172205924988	0.028888019	No	
row_6	MCM7	na	788	0.21434424817562103	0.035645455	No	
row_7	NQO1	na	1976	0.148248091340065	-0.024625782	No	
row_8	CCNA2	na	2005	0.14725223183631897	-0.019352006	No	
row_9	AIF1	na	2443	0.13063740730285645	-0.037998654	No	
row_10	DNMT3B	na	2576	0.12667526304721832	-0.039568946	No	
row_11	HSF1	na	2619	0.1254805475473404	-0.036101505	No	
row_12	CYP26B1	na	2761	0.12113156169652939	-0.038439337	No	
row_13	PCNA	na	2785	0.12019964307546616	-0.03414259	No	
row_14	HSP90AB1	na	2970	0.11462362855672836	-0.039217036	No	
row_15	TMEM38A	na	3367	0.10329630225896835	-0.0568168	No	
row_16	STAT5A	na	3492	0.10002216696739197	-0.059175737	No	
row_17	ARNT2	na	3767	0.09328478574752808	-0.07033744	No	
row_18	PTGES3	na	3768	0.09326609969139099	-0.065993495	No	
row_19	CBX3	na	4156	0.08429686725139618	-0.08396883	No	
row_20	PHGDH	na	4209	0.08291032910346985	-0.083050065	No	
row_21	PPP1R9B	na	4388	0.07916819304227829	-0.089436315	No	
row_22	CYP2S1	na	4491	0.07645010948181152	-0.091648094	No	
row_23	ATG7	na	4621	0.07375539094209671	-0.09551339	No	
row_24	GSTO1	na	4643	0.07322409003973007	-0.09329137	No	
row_25	AIP	na	4689	0.07229458540678024	-0.09247089	No	
row_26	AKR1C1	na	5132	0.06363911926746368	-0.114521	No	
row_27	GGT1	na	5196	0.06232529133558273	-0.11518352	No	
row_28	CBR3	na	5431	0.05812531337141991	-0.12571907	No	
row_29	EIF4EBP1	na	5678	0.05395543575286865	-0.13712795	No	
row_30	MGST3	na	5725	0.053081315010786057	-0.13725893	No	
row_31	UGT1A10	na	6480	0.03872830420732498	-0.17812634	No	
row_32	CYP2R1	na	6498	0.038465093821287155	-0.17729688	No	
row_33	GUK1	na	6717	0.034644775092601776	-0.18802056	No	
row_34	CYP3A7	na	6926	0.030542442575097084	-0.19836938	No	
row_35	GSTM3	na	7118	0.027317935600876808	-0.20790632	No	
row_36	DPEP1	na	7307	0.024222055450081825	-0.21741766	No	
row_37	AHRR	na	7650	0.018492255359888077	-0.2359112	No	
row_38	RYR1	na	7810	0.01566259190440178	-0.24418001	No	
row_39	CYB5B	na	7974	0.013129145838320255	-0.2527932	No	
row_40	RYR2	na	8112	0.010680634528398514	-0.260049	No	
row_41	AKR7A2	na	8779	-8.060807595029473E-4	-0.29770243	No	
row_42	SULT1A2	na	8936	-0.0037903671618551016	-0.30635443	No	
row_43	GSTP1	na	9179	-0.008212449960410595	-0.31966746	No	
row_44	SELENON	na	9558	-0.015255113132297993	-0.34034914	No	
row_45	GSTA4	na	9606	-0.01601051725447178	-0.3422633	No	
row_46	RPS6KB1	na	9756	-0.018585028126835823	-0.34983006	No	
row_47	N6AMT1	na	9838	-0.020158052444458008	-0.3534752	No	
row_48	CYB5R3	na	10112	-0.025238238275051117	-0.36774966	No	
row_49	ARNT	na	10184	-0.026656460016965866	-0.37052622	No	
row_50	PTGS1	na	10230	-0.02727552317082882	-0.37180254	No	
row_51	GSTA2	na	10477	-0.03223247826099396	-0.38422316	No	
row_52	CES3	na	10594	-0.03405274078249931	-0.38920194	No	
row_53	CYP2E1	na	10839	-0.03861165791749954	-0.4012123	No	
