NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PPARG	na	485	0.2454572170972824	-0.021433331	No	
row_1	TYSND1	na	755	0.21728481352329254	-0.031242084	No	
row_2	ATP6V1B1	na	789	0.21434368193149567	-0.027636625	No	
row_3	PRXL2B	na	906	0.20427441596984863	-0.029033361	No	
row_4	TRIB3	na	1003	0.19700351357460022	-0.029473204	No	
row_5	ACSL4	na	1125	0.18854749202728271	-0.031558678	No	
row_6	PANK2	na	1227	0.1825205534696579	-0.032655384	No	
row_7	NDUFS6	na	1294	0.17932316660881042	-0.03183344	No	
row_8	ERFE	na	1374	0.17453539371490479	-0.031877235	No	
row_9	AACS	na	1408	0.17320036888122559	-0.02932591	No	
row_10	PLA2G15	na	1452	0.17086605727672577	-0.027405985	No	
row_11	ELOVL4	na	1727	0.15779350697994232	-0.039024767	No	
row_12	MAPK3	na	2020	0.14665992558002472	-0.051957663	No	
row_13	EIF6	na	2173	0.14017489552497864	-0.05705443	No	
row_14	FABP5	na	2322	0.1345236897468567	-0.062067352	No	
row_15	SLC27A3	na	2436	0.13076992332935333	-0.065175876	No	
row_16	ACOT8	na	2695	0.12283449620008469	-0.0767758	No	
row_17	FADS6	na	2767	0.12060396373271942	-0.0777441	No	
row_18	AKR1C3	na	2864	0.11755550652742386	-0.08021948	No	
row_19	THEM4	na	2892	0.11683938652276993	-0.07876923	No	
row_20	ACOXL	na	2965	0.11479269713163376	-0.079943575	No	
row_21	ACOT7	na	3025	0.11291438341140747	-0.08042298	No	
row_22	HACD1	na	3030	0.11275200545787811	-0.0777628	No	
row_23	MID1IP1	na	3047	0.11233465373516083	-0.075799204	No	
row_24	ABCD1	na	3146	0.10956915467977524	-0.07859353	No	
row_25	ETFB	na	3497	0.09985065460205078	-0.096040964	No	
row_26	ALKBH7	na	3518	0.09937760978937149	-0.09463799	No	
row_27	BRCA1	na	3548	0.09868960827589035	-0.09376707	No	
row_28	MIF	na	3557	0.09837206453084946	-0.09170395	No	
row_29	NDUFAB1	na	3695	0.09490229189395905	-0.09710326	No	
row_30	HPGDS	na	3755	0.09340860694646835	-0.09808242	No	
row_31	PTGES3	na	3768	0.09326609969139099	-0.09637876	No	
row_32	ACSS1	na	3964	0.08876373618841171	-0.105250575	No	
row_33	FA2H	na	3986	0.08830518275499344	-0.10418845	No	
row_34	SREBF1	na	4173	0.08382178097963333	-0.112672456	No	
row_35	PTGES2	na	4414	0.07835499197244644	-0.12438312	No	
row_36	CYP2S1	na	4491	0.07645010948181152	-0.12676848	No	
row_37	DAGLB	na	4577	0.0747036263346672	-0.12971303	No	
row_38	NR1H2	na	4745	0.07096006721258163	-0.13744055	No	
row_39	PLA2G1B	na	4777	0.07031384855508804	-0.13741097	No	
row_40	PTGDS	na	4798	0.0700724646449089	-0.13675882	No	
row_41	CPT1C	na	4819	0.06974849849939346	-0.13611497	No	
row_42	TYRP1	na	4839	0.06927365064620972	-0.13542613	No	
row_43	TWIST1	na	4921	0.06763844192028046	-0.13832305	No	
row_44	PPARD	na	5006	0.06598219275474548	-0.1414339	No	
row_45	AKR1C1	na	5132	0.06363911926746368	-0.1469483	No	
row_46	GGT1	na	5196	0.06232529133558273	-0.14895247	No	
row_47	NR1H3	na	5253	0.06118761748075485	-0.1505857	No	
row_48	ALOX15	na	5302	0.06044721603393555	-0.15178062	No	
row_49	APOA4	na	5380	0.05895548686385155	-0.15467137	No	
row_50	MAPK14	na	5430	0.058127548545598984	-0.15598288	No	
row_51	DAGLA	na	5436	0.05796383321285248	-0.15478358	No	
row_52	FABP3	na	5482	0.0572570376098156	-0.15588877	No	
row_53	PTGES	na	5488	0.057124052196741104	-0.15471098	No	
row_54	NUDT19	na	5509	0.05680892989039421	-0.15439865	No	
row_55	LYPLA2	na	5549	0.05610940232872963	-0.15519029	No	
row_56	CPT1B	na	5626	0.05476335808634758	-0.15813129	No	
row_57	PON2	na	5763	0.0522497333586216	-0.16456623	No	
row_58	ELOVL3	na	5792	0.05181203782558441	-0.16483922	No	
row_59	SCD	na	5889	0.049901675432920456	-0.16904797	No	
row_60	HACD2	na	5919	0.04904153198003769	-0.16944909	No	
row_61	SLC45A3	na	5978	0.048001259565353394	-0.17153448	No	
row_62	ACACA	na	6040	0.04689255356788635	-0.17381975	No	
row_63	APOC2	na	6051	0.04668687283992767	-0.17319517	No	
row_64	ACSL3	na	6061	0.04646893963217735	-0.17251903	No	
row_65	TBXAS1	na	6106	0.04565392807126045	-0.17386432	No	
row_66	MORC2	na	6207	0.04388504847884178	-0.17845586	No	
row_67	TECR	na	6329	0.041264716535806656	-0.18431488	No	
row_68	LTA4H	na	6335	0.041148994117975235	-0.1835464	No	
row_69	ELOVL1	na	6458	0.03918471559882164	-0.18951586	No	
row_70	ELOVL7	na	6509	0.03829819709062576	-0.19139257	No	
row_71	MCAT	na	6556	0.037442661821842194	-0.19306257	No	
row_72	AKR1C2	na	6586	0.03695281222462654	-0.19377342	No	
row_73	SCD5	na	6670	0.035393550992012024	-0.19761081	No	
row_74	CNR1	na	6697	0.03492987900972366	-0.19820201	No	
row_75	GPX4	na	6746	0.03400968760251999	-0.20007429	No	
row_76	GPX1	na	6847	0.032272953540086746	-0.20496334	No	
row_77	LPGAT1	na	7123	0.02725796215236187	-0.21998374	No	
row_78	GNPAT	na	7132	0.027091940864920616	-0.21974689	No	
row_79	ACLY	na	7194	0.02597637102007866	-0.22256806	No	
row_80	PRKAB1	na	7224	0.025571925565600395	-0.2235705	No	
row_81	FADS1	na	7315	0.024063408374786377	-0.22809829	No	
row_82	ACAD9	na	7429	0.022241832688450813	-0.23398742	No	
row_83	ACAT2	na	7461	0.021393585950136185	-0.23521122	No	
row_84	ACSBG1	na	7480	0.0211920328438282	-0.23569714	No	
row_85	PDP1	na	7521	0.020683379843831062	-0.23745357	No	
row_86	ECH1	na	7709	0.017493216320872307	-0.24769415	No	
row_87	SCAP	na	7742	0.016940588131546974	-0.2490892	No	
row_88	CREM	na	7829	0.015398137271404266	-0.25361037	No	
row_89	PRKAB2	na	7860	0.014927896670997143	-0.2549427	No	
row_90	ELOVL2	na	7878	0.014594431035220623	-0.25554046	No	
row_91	SLC27A1	na	7998	0.012668403796851635	-0.26201782	No	
row_92	ALOX5AP	na	8008	0.01243375614285469	-0.2622137	No	
row_93	CEL	na	8140	0.010171351954340935	-0.26944095	No	
row_94	PRKAG1	na	8192	0.009251424111425877	-0.27211905	No	
row_95	CD74	na	8214	0.009021243080496788	-0.27308825	No	
row_96	AIG1	na	8239	0.008723345585167408	-0.27423656	No	
row_97	GPAT2	na	8364	0.006541825830936432	-0.2811567	No	
row_98	APOA1	na	8410	0.005547842010855675	-0.2835867	No	
row_99	CROT	na	8545	0.0031371156219393015	-0.29116568	No	
row_100	LPL	na	8551	0.0030470306519418955	-0.2913734	No	
row_101	PHYH	na	8685	6.416209507733583E-4	-0.29895914	No	
row_102	HACD4	na	8696	5.05767937283963E-4	-0.29951778	No	
row_103	AOAH	na	8781	-8.187785861082375E-4	-0.30429816	No	
row_104	TNFRSF1A	na	8815	-0.0016653455095365644	-0.30614173	No	
row_105	APPL2	na	8921	-0.003563642269000411	-0.31205216	No	
row_106	DEGS1	na	9073	-0.006381511222571135	-0.3205197	No	
row_107	ECI1	na	9101	-0.006846091244369745	-0.32188758	No	
row_108	SIRT4	na	9113	-0.007110579404979944	-0.32233417	No	
row_109	GSTP1	na	9179	-0.008212449960410595	-0.3258391	No	
row_110	ADIPOR1	na	9184	-0.008322229608893394	-0.3258545	No	
row_111	HADHA	na	9222	-0.0090797645971179	-0.32773677	No	
row_112	PTGIS	na	9225	-0.009118284098803997	-0.32761747	No	
row_113	ACSF3	na	9315	-0.0106802461668849	-0.332431	No	
row_114	FADS2	na	9327	-0.010932166129350662	-0.33277965	No	
row_115	PRKAA2	na	9491	-0.013904467225074768	-0.34174034	No	
row_116	CEACAM1	na	9530	-0.014674772508442402	-0.3435364	No	
row_117	ALOX15B	na	9763	-0.018801676109433174	-0.3563156	No	
row_118	HACD3	na	9772	-0.018908368423581123	-0.35628843	No	
row_119	CYP4F12	na	9840	-0.020225148648023605	-0.35959992	No	
row_120	IL1B	na	10216	-0.027070559561252594	-0.38034105	No	
row_121	PTGS1	na	10230	-0.02727552317082882	-0.38038528	No	
row_122	ACSS2	na	10265	-0.028081368654966354	-0.38160923	No	
row_123	PDK3	na	10330	-0.029416369274258614	-0.38451374	No	
row_124	THNSL2	na	10354	-0.029837187379598618	-0.38506392	No	
row_125	PEX7	na	10502	-0.03271477669477463	-0.39262813	No	
row_126	FASN	na	10603	-0.03415186330676079	-0.39746904	No	
row_127	ECI2	na	10671	-0.0355432964861393	-0.40038806	No	
row_128	ECHS1	na	10693	-0.036020830273628235	-0.40066552	No	
row_129	LIAS	na	10702	-0.036235228180885315	-0.4001944	No	
row_130	PLA2G4C	na	10727	-0.03659098967909813	-0.40062872	No	
row_131	ACOT11	na	10757	-0.03718996420502663	-0.40133348	No	
row_132	FABP1	na	10789	-0.03785724937915802	-0.4021355	No	
row_133	CYP2E1	na	10839	-0.03861165791749954	-0.40394703	No	
row_134	ERLIN1	na	10851	-0.03883892670273781	-0.40358067	No	
row_135	MECR	na	10859	-0.039011988788843155	-0.40298125	No	
row_136	GSTA1	na	10873	-0.03916439041495323	-0.4027209	No	
row_137	ALOX5	na	10908	-0.039903391152620316	-0.40364194	No	
row_138	DGAT2	na	10951	-0.04062621667981148	-0.40500173	No	
row_139	ACADVL	na	10953	-0.040665991604328156	-0.404017	No	
row_140	PEX2	na	11140	-0.04413449391722679	-0.41351783	No	
row_141	UCP3	na	11156	-0.044658999890089035	-0.41323102	No	
row_142	ACSF2	na	11177	-0.044894807040691376	-0.41322392	No	
row_143	ADH5	na	11274	-0.046624887734651566	-0.41751665	No	
row_144	NFE2L1	na	11473	-0.05061187222599983	-0.4275374	No	
row_145	HADHB	na	11539	-0.05177636444568634	-0.42992622	No	
row_146	CYP2A13	na	11583	-0.052575938403606415	-0.431037	No	
row_147	CBR1	na	11595	-0.052912548184394836	-0.43031007	No	
row_148	PRKAR2B	na	11596	-0.052926503121852875	-0.42895404	No	
row_149	AKT1	na	11605	-0.05310408025979996	-0.42805073	No	
row_150	PRKAA1	na	11630	-0.053623296320438385	-0.42804867	No	
row_151	SLC27A4	na	11707	-0.05525463819503784	-0.43097708	No	
row_152	HSD17B12	na	12043	-0.062197282910346985	-0.44853184	No	
row_153	HACL1	na	12049	-0.06238207966089249	-0.44721934	No	
row_154	AKT2	na	12064	-0.06258842349052429	-0.446416	No	
row_155	AKR1C4	na	12085	-0.06313801556825638	-0.4459415	No	
row_156	APOC1	na	12102	-0.06338030099868774	-0.44523218	No	
row_157	PDPR	na	12103	-0.06341365724802017	-0.44360748	No	
row_158	CYP7A1	na	12144	-0.06413281708955765	-0.44425067	No	
row_159	ADH7	na	12173	-0.0648811012506485	-0.4441888	No	
row_160	PNPLA3	na	12179	-0.0649678036570549	-0.44281006	No	
row_161	CYP2C19	na	12195	-0.0652686357498169	-0.4419952	No	
row_162	POR	na	12254	-0.06652691215276718	-0.44360596	No	
row_163	ACADSB	na	12502	-0.07136724889278412	-0.45589575	No	
row_164	DECR2	na	12614	-0.07369967550039291	-0.46035218	No	
row_165	CPT1A	na	12663	-0.0748169794678688	-0.46117893	No	
row_166	LYPLA1	na	12767	-0.07660073786973953	-0.46510372	Yes	
row_167	FAAH2	na	12790	-0.07719340920448303	-0.46438345	Yes	
row_168	SLC25A17	na	12800	-0.0773828849196434	-0.46291524	Yes	
row_169	PCK1	na	12834	-0.07815499603748322	-0.4627991	Yes	
row_170	THEM5	na	12850	-0.07842356711626053	-0.46164718	Yes	
row_171	APOC3	na	12868	-0.078741155564785	-0.46060145	Yes	
row_172	PER2	na	12884	-0.07913738489151001	-0.45943126	Yes	
row_173	QKI	na	12930	-0.07991261780261993	-0.45995596	Yes	
row_174	HSD17B8	na	13011	-0.08229297399520874	-0.46242028	Yes	
row_175	ETFA	na	13039	-0.08294928818941116	-0.46183833	Yes	
row_176	ACOX3	na	13081	-0.0836595669388771	-0.4620384	Yes	
row_177	ECHDC3	na	13137	-0.08517731726169586	-0.46299982	Yes	
row_178	FADS3	na	13203	-0.08689912408590317	-0.46448871	Yes	
row_179	CYP2D6	na	13204	-0.08690056949853897	-0.46226224	Yes	
row_180	DLD	na	13278	-0.08873571455478668	-0.46416137	Yes	
row_181	PLA2G4B	na	13296	-0.0892108902335167	-0.46284738	Yes	
row_182	ACOX1	na	13323	-0.09005890786647797	-0.46202612	Yes	
row_183	ADIPOR2	na	13334	-0.09029635787010193	-0.46028423	Yes	
row_184	MLXIPL	na	13427	-0.09248071908950806	-0.46317342	Yes	
row_185	PAM	na	13455	-0.09316226840019226	-0.4623298	Yes	
row_186	SGPL1	na	13514	-0.09435530006885529	-0.46322754	Yes	
row_187	DECR1	na	13544	-0.09517072141170502	-0.46244678	Yes	
row_188	ACSM1	na	13571	-0.0959395170211792	-0.46147487	Yes	
row_189	ELOVL6	na	13587	-0.09617917984724045	-0.459868	Yes	
row_190	LIPC	na	13606	-0.09671363979578018	-0.458419	Yes	
row_191	ECHDC1	na	13662	-0.09790340065956116	-0.45905435	Yes	
row_192	ACAD10	na	13741	-0.09967739135026932	-0.46095893	Yes	
row_193	GPAT4	na	13800	-0.1009841039776802	-0.46168685	Yes	
row_194	ALDH3A2	na	13815	-0.10151486843824387	-0.45988616	Yes	
row_195	PCCB	na	13953	-0.10542889684438705	-0.46501577	Yes	
row_196	CRAT	na	13996	-0.10640666633844376	-0.46469018	Yes	
row_197	GSTM2	na	14009	-0.10676290839910507	-0.46264073	Yes	
row_198	CYP2A7	na	14013	-0.107024185359478	-0.46007013	Yes	
row_199	MTOR	na	14069	-0.10818158835172653	-0.46044216	Yes	
row_200	GGT5	na	14079	-0.10849113762378693	-0.45817694	Yes	
row_201	APOA5	na	14086	-0.10868044942617416	-0.4557354	Yes	
row_202	CAV1	na	14116	-0.10951992869377136	-0.45458698	Yes	
row_203	ACAA1	na	14133	-0.11009323596954346	-0.45268083	Yes	
row_204	ABCD2	na	14165	-0.11091512441635132	-0.45161098	Yes	
row_205	MGLL	na	14170	-0.11102937906980515	-0.44899493	Yes	
row_206	CYP4F3	na	14181	-0.11124744266271591	-0.44671625	Yes	
row_207	PEX13	na	14209	-0.1118709072470665	-0.4453933	Yes	
row_208	OXSM	na	14231	-0.1125732958316803	-0.44370937	Yes	
row_209	PDP2	na	14245	-0.11276930570602417	-0.4415632	Yes	
row_210	RGN	na	14251	-0.11297361552715302	-0.43895447	Yes	
row_211	PLIN5	na	14273	-0.11347679048776627	-0.43724743	Yes	
row_212	LPIN2	na	14285	-0.11392366141080856	-0.43495733	Yes	
row_213	CYP2C9	na	14289	-0.1140543594956398	-0.4322066	Yes	
row_214	C3	na	14380	-0.11660701781511307	-0.43436334	Yes	
row_215	ANXA1	na	14509	-0.11917997896671295	-0.4386262	Yes	
row_216	GPAM	na	14522	-0.11946012824773788	-0.43625143	Yes	
row_217	UGT1A8	na	14531	-0.11973569542169571	-0.43364093	Yes	
row_218	ACOX2	na	14659	-0.12406633049249649	-0.43772143	Yes	
row_219	NR4A3	na	14683	-0.12478925287723541	-0.43583888	Yes	
row_220	ACAT1	na	14740	-0.1267167180776596	-0.43579316	Yes	
row_221	SNCA	na	14758	-0.1272784173488617	-0.43350387	Yes	
