NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PPARG	na	485	0.2454572170972824	-0.007838721	No	
row_1	TYSND1	na	755	0.21728481352329254	-0.0057372097	No	
row_2	PLA2G7	na	1930	0.14984750747680664	-0.060024485	No	
row_3	ACOT8	na	2695	0.12283449620008469	-0.09334056	No	
row_4	ACOXL	na	2965	0.11479269713163376	-0.09938487	No	
row_5	ABCD1	na	3146	0.10956915467977524	-0.100826	No	
row_6	ETFB	na	3497	0.09985065460205078	-0.11262511	No	
row_7	CPT1C	na	4819	0.06974849849939346	-0.18156715	No	
row_8	TWIST1	na	4921	0.06763844192028046	-0.18188637	No	
row_9	PPARD	na	5006	0.06598219275474548	-0.18137866	No	
row_10	MAPK14	na	5430	0.058127548545598984	-0.20060997	No	
row_11	FABP3	na	5482	0.0572570376098156	-0.198935	No	
row_12	CPT1B	na	5626	0.05476335808634758	-0.20264569	No	
row_13	MCAT	na	6556	0.037442661821842194	-0.25205213	No	
row_14	CNR1	na	6697	0.03492987900972366	-0.25717	No	
row_15	ACAT2	na	7461	0.021393585950136185	-0.29849195	No	
row_16	ECH1	na	7709	0.017493216320872307	-0.3110289	No	
row_17	CROT	na	8545	0.0031371156219393015	-0.3578616	No	
row_18	PHYH	na	8685	6.416209507733583E-4	-0.3656482	No	
row_19	APPL2	na	8921	-0.003563642269000411	-0.37861562	No	
row_20	ECI1	na	9101	-0.006846091244369745	-0.38816455	No	
row_21	SIRT4	na	9113	-0.007110579404979944	-0.38821965	No	
row_22	ADIPOR1	na	9184	-0.008322229608893394	-0.39150524	No	
row_23	HADHA	na	9222	-0.0090797645971179	-0.39286986	No	
row_24	APOD	na	9938	-0.022030280902981758	-0.43143472	No	
row_25	PEX7	na	10502	-0.03271477669477463	-0.46057975	No	
row_26	ECI2	na	10671	-0.0355432964861393	-0.46722767	No	
row_27	ECHS1	na	10693	-0.036020830273628235	-0.4655489	No	
row_28	FABP1	na	10789	-0.03785724937915802	-0.46789676	No	
row_29	MECR	na	10859	-0.039011988788843155	-0.4686868	No	
row_30	DGAT2	na	10951	-0.04062621667981148	-0.470589	No	
row_31	ACADVL	na	10953	-0.040665991604328156	-0.46741337	No	
row_32	PEX2	na	11140	-0.04413449391722679	-0.4743934	No	
row_33	ADH5	na	11274	-0.046624887734651566	-0.47818705	No	
row_34	HADHB	na	11539	-0.05177636444568634	-0.48895782	No	
row_35	AKT1	na	11605	-0.05310408025979996	-0.4884023	No	
row_36	PRKAA1	na	11630	-0.053623296320438385	-0.48549372	No	
row_37	HACL1	na	12049	-0.06238207966089249	-0.504105	No	
row_38	AKT2	na	12064	-0.06258842349052429	-0.49991998	No	
row_39	ADH7	na	12173	-0.0648811012506485	-0.50085306	No	
row_40	POR	na	12254	-0.06652691215276718	-0.50007653	No	
row_41	DECR2	na	12614	-0.07369967550039291	-0.5144615	No	
row_42	CPT1A	na	12663	-0.0748169794678688	-0.51122177	No	
row_43	SLC25A17	na	12800	-0.0773828849196434	-0.51274	No	
row_44	ETFA	na	13039	-0.08294928818941116	-0.5195672	No	
row_45	ACOX3	na	13081	-0.0836595669388771	-0.51522994	No	
row_46	ACOX1	na	13323	-0.09005890786647797	-0.5216612	Yes	
