NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	AURKB	na	15	0.3943713903427124	0.019711578	Yes	
row_1	CDT1	na	33	0.36431536078453064	0.037743177	Yes	
row_2	CDCA5	na	35	0.36397770047187805	0.05666179	Yes	
row_3	PTTG1	na	59	0.3487653434276581	0.07354349	Yes	
row_4	CCNB1	na	78	0.3306625485420227	0.08976414	Yes	
row_5	NEK2	na	103	0.3178350031375885	0.10497682	Yes	
row_6	KIFC1	na	106	0.31509754061698914	0.12129063	Yes	
row_7	PLK1	na	119	0.3114051818847656	0.13684657	Yes	
row_8	KIF2C	na	123	0.308544784784317	0.15276223	Yes	
row_9	DSCC1	na	124	0.30760201811790466	0.16879837	Yes	
row_10	TRIP13	na	129	0.3039973974227905	0.18442044	Yes	
row_11	KIF4A	na	173	0.29429230093955994	0.19733153	Yes	
row_12	CDC20	na	183	0.2914217710494995	0.2120153	Yes	
row_13	TTK	na	261	0.27607688307762146	0.22205445	Yes	
row_14	DSN1	na	267	0.27471739053726196	0.23609354	Yes	
row_15	NUF2	na	295	0.2713779807090759	0.24871467	Yes	
row_16	TACC3	na	304	0.26986634731292725	0.26233122	Yes	
row_17	LCMT1	na	319	0.26851317286491394	0.275538	Yes	
row_18	BUB1	na	394	0.25687113404273987	0.28474554	Yes	
row_19	ZWINT	na	440	0.25076502561569214	0.29527438	Yes	
row_20	HASPIN	na	464	0.2477513551712036	0.30688992	Yes	
row_21	CDC6	na	474	0.2467428296804428	0.31924444	Yes	
row_22	CDCA8	na	503	0.24301625788211823	0.3303305	Yes	
row_23	KIF18B	na	526	0.2406197339296341	0.3416308	Yes	
row_24	MAD2L1	na	558	0.23652295768260956	0.35220867	Yes	
row_25	NCAPH	na	585	0.23366384208202362	0.3629202	Yes	
row_26	NDC80	na	636	0.2283315658569336	0.37199682	Yes	
row_27	SGO1	na	663	0.22545400261878967	0.38228035	Yes	
row_28	PRC1	na	664	0.2252463698387146	0.39402306	Yes	
row_29	SPDL1	na	760	0.2170286476612091	0.39996618	Yes	
row_30	CENPF	na	769	0.2159704864025116	0.410773	Yes	
row_31	RACGAP1	na	786	0.2145034819841385	0.42105103	Yes	
row_32	DLGAP5	na	795	0.21401818096637726	0.43175608	Yes	
row_33	NCAPG	na	857	0.20928460359573364	0.43921778	Yes	
row_34	NUSAP1	na	971	0.1989731788635254	0.44320193	Yes	
row_35	SPAG5	na	986	0.1977578103542328	0.45272005	Yes	
row_36	ESPL1	na	1066	0.19258365035057068	0.4582934	Yes	
row_37	KIF23	na	1082	0.19126980006694794	0.46741673	Yes	
row_38	KIF18A	na	1120	0.18882864713668823	0.47516897	Yes	
row_39	BUB1B	na	1138	0.18775728344917297	0.4839961	Yes	
row_40	NCAPD2	na	1270	0.1804589480161667	0.48599735	Yes	
row_41	NSMCE2	na	1286	0.17975807189941406	0.49452055	Yes	
row_42	NCAPH2	na	1292	0.17935845255851746	0.5035883	Yes	
row_43	KIF22	na	1308	0.17870651185512543	0.5120567	Yes	
