NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TYSND1	na	755	0.21728481352329254	-0.029769683	No	
row_1	PLA2G15	na	1452	0.17086605727672577	-0.058955226	No	
row_2	ASRGL1	na	2048	0.14550404250621796	-0.08393905	No	
row_3	XYLB	na	2639	0.12498703598976135	-0.10985479	No	
row_4	ACOT8	na	2695	0.12283449620008469	-0.1056907	No	
row_5	CYP26B1	na	2761	0.12113156169652939	-0.10219202	No	
row_6	ACOXL	na	2965	0.11479269713163376	-0.10686024	No	
row_7	ABCD1	na	3146	0.10956915467977524	-0.11053898	No	
row_8	ETFB	na	3497	0.09985065460205078	-0.12439142	No	
row_9	PGD	na	4654	0.07295896112918854	-0.18534379	No	
row_10	CPT1C	na	4819	0.06974849849939346	-0.19047576	No	
row_11	TWIST1	na	4921	0.06763844192028046	-0.19217551	No	
row_12	PPARD	na	5006	0.06598219275474548	-0.19301341	No	
row_13	NUDT19	na	5509	0.05680892989039421	-0.21799536	No	
row_14	CPT1B	na	5626	0.05476335808634758	-0.22130398	No	
row_15	MCAT	na	6556	0.037442661821842194	-0.27154136	No	
row_16	CNR1	na	6697	0.03492987900972366	-0.27737886	No	
row_17	ACAT2	na	7461	0.021393585950136185	-0.31919333	No	
row_18	ECH1	na	7709	0.017493216320872307	-0.3321042	No	
row_19	CEL	na	8140	0.010171351954340935	-0.35578093	No	
row_20	AIG1	na	8239	0.008723345585167408	-0.36079797	No	
row_21	IDUA	na	8485	0.004104792606085539	-0.37438825	No	
row_22	CROT	na	8545	0.0031371156219393015	-0.37753385	No	
row_23	PHYH	na	8685	6.416209507733583E-4	-0.38534412	No	
row_24	ECI1	na	9101	-0.006846091244369745	-0.40837073	No	
row_25	HADHA	na	9222	-0.0090797645971179	-0.4146088	No	
row_26	CYP4F12	na	9840	-0.020225148648023605	-0.44824898	No	
row_27	PEX7	na	10502	-0.03271477669477463	-0.48363432	No	
