NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GLA	na	799	0.21368956565856934	-0.03076979	No	
row_1	ACHE	na	867	0.20831315219402313	-0.020563403	No	
row_2	TPH1	na	1247	0.18152564764022827	-0.029775178	No	
row_3	CLN3	na	1281	0.17992813885211945	-0.01955505	No	
row_4	P2RX4	na	1314	0.17814332246780396	-0.009398314	No	
row_5	GRIN2A	na	1821	0.15409104526042938	-0.027624454	No	
row_6	NQO1	na	1976	0.148248091340065	-0.026364978	No	
row_7	DDAH2	na	2247	0.1378290206193924	-0.03235594	No	
row_8	CHKA	na	2406	0.13181957602500916	-0.032425664	No	
row_9	AIF1	na	2443	0.13063740730285645	-0.025685238	No	
row_10	HSP90AB1	na	2970	0.11462362855672836	-0.047691382	No	
row_11	SLC1A3	na	3528	0.09921108186244965	-0.07248323	No	
row_12	RAC1	na	3701	0.0947210043668747	-0.075835034	No	
row_13	PHGDH	na	4209	0.08291032910346985	-0.09889804	No	
row_14	ACP5	na	4525	0.07590951025485992	-0.11158864	No	
row_15	DAGLB	na	4577	0.0747036263346672	-0.10945172	No	
row_16	SELENOS	na	4708	0.07179903984069824	-0.11197112	No	
row_17	KHSRP	na	4973	0.06664463132619858	-0.12240388	No	
row_18	BTBD9	na	5118	0.0638895183801651	-0.12624508	No	
row_19	TSPO	na	5369	0.05911746248602867	-0.13639276	No	
row_20	DAGLA	na	5436	0.05796383321285248	-0.13622713	No	
row_21	SDSL	na	5553	0.05602582171559334	-0.13901523	No	
row_22	IL10	na	5800	0.05161501094698906	-0.14944087	No	
row_23	GAD1	na	6256	0.04279112443327904	-0.17226169	No	
row_24	TMEM106A	na	6543	0.037637002766132355	-0.18588494	No	
row_25	GLDC	na	6564	0.03727003186941147	-0.18451138	No	
row_26	ITGB2	na	6689	0.03509468585252762	-0.18915695	No	
row_27	GART	na	6692	0.035015400499105453	-0.18691832	No	
row_28	COMT	na	6987	0.02964162454009056	-0.2015303	No	
row_29	HSP90AA1	na	7038	0.028685037046670914	-0.20242743	No	
row_30	SLC44A1	na	7399	0.022713439539074898	-0.22123183	No	
row_31	ENPP6	na	7404	0.022588901221752167	-0.21994068	No	
row_32	KLF2	na	8283	0.008097567595541477	-0.26897898	No	
row_33	AGT	na	8319	0.0073209526017308235	-0.27046382	No	
row_34	MOXD1	na	8435	0.005014965310692787	-0.27662125	No	
row_35	SPR	na	8562	0.002841291483491659	-0.28354588	No	
row_36	PTGIS	na	9225	-0.009118284098803997	-0.32031775	No	
row_37	GCAT	na	9267	-0.009792754426598549	-0.3219754	No	
row_38	ATP7A	na	9288	-0.010083966888487339	-0.3224276	No	
row_39	TNF	na	9456	-0.013232477009296417	-0.3309697	No	
row_40	SMAD3	na	9497	-0.014116695150732994	-0.33228052	No	
row_41	DNM2	na	9690	-0.017438648268580437	-0.3419519	No	
row_42	INSR	na	9708	-0.017693454399704933	-0.34172368	No	
row_43	AMT	na	9880	-0.021021369844675064	-0.34996855	No	
row_44	SLC6A4	na	10073	-0.02433359995484352	-0.3591769	No	
row_45	PTX3	na	10138	-0.025941289961338043	-0.36104894	No	
row_46	IL1B	na	10216	-0.027070559561252594	-0.3635792	No	
row_47	TICAM1	na	10241	-0.027486732229590416	-0.36308858	No	
row_48	GCHFR	na	10249	-0.02780955284833908	-0.36161622	No	
row_49	KLF4	na	10263	-0.0280352383852005	-0.36046755	No	
row_50	SLC44A4	na	10403	-0.03099626861512661	-0.36623546	No	
row_51	CLU	na	10566	-0.033731959760189056	-0.3731185	No	
row_52	SHMT2	na	10592	-0.0340130478143692	-0.372246	No	
row_53	SIRPA	na	10733	-0.036681436002254486	-0.37768856	No	
row_54	ROCK2	na	11255	-0.0462837778031826	-0.40400195	No	
row_55	AKT1	na	11605	-0.05310408025979996	-0.42014417	No	
row_56	ARG2	na	11615	-0.053351446986198425	-0.4170694	No	
row_57	CHDH	na	11834	-0.05769592523574829	-0.42550546	No	
row_58	CLEC7A	na	11899	-0.05903559550642967	-0.42515492	No	
row_59	DDC	na	11941	-0.060145601630210876	-0.42343098	No	
row_60	ATP2B4	na	11956	-0.060427166521549225	-0.4201634	No	
row_61	POR	na	12254	-0.06652691215276718	-0.4324676	No	
row_62	GCSH	na	12391	-0.06912931799888611	-0.43550515	No	
row_63	CD34	na	12456	-0.07053025811910629	-0.43438262	No	
row_64	PDE1B	na	12941	-0.08037512004375458	-0.45631704	No	
row_65	HNMT	na	13195	-0.08677276968955994	-0.46477684	No	
row_66	ASS1	na	13303	-0.08938438445329666	-0.4648164	No	
row_67	CD47	na	13339	-0.09043195098638535	-0.46071962	No	
row_68	NOS2	na	13707	-0.09893780946731567	-0.47480023	No	
row_69	COLQ	na	13811	-0.10140029340982437	-0.47380692	No	
row_70	SDS	na	14046	-0.10775036364793777	-0.47978494	Yes	
row_71	MTOR	na	14069	-0.10818158835172653	-0.473762	Yes	
row_72	CAV1	na	14116	-0.10951992869377136	-0.4690045	Yes	
row_73	ICAM1	na	14160	-0.1106695830821991	-0.4640004	Yes	
row_74	RGN	na	14251	-0.11297361552715302	-0.4614957	Yes	
row_75	NAALAD2	na	14403	-0.11710215359926224	-0.46215853	Yes	
row_76	MAOB	na	14452	-0.11793171614408493	-0.45694906	Yes	
row_77	ALDH7A1	na	14502	-0.1189754456281662	-0.45172596	Yes	
row_78	AGXT	na	14616	-0.12260053306818008	-0.4498736	Yes	
row_79	SARDH	na	14749	-0.12696057558059692	-0.44880137	Yes	
row_80	CPS1	na	14906	-0.13195033371448517	-0.4487494	Yes	
row_81	SLC22A2	na	14947	-0.13315796852111816	-0.44206557	Yes	
row_82	PTGS2	na	14990	-0.13442763686180115	-0.43540943	Yes	
row_83	WDR35	na	15035	-0.13560517132282257	-0.42878714	Yes	
row_84	CX3CR1	na	15036	-0.1356237232685089	-0.41967887	Yes	
row_85	TLR2	na	15071	-0.136681467294693	-0.4124196	Yes	
row_86	MAOA	na	15307	-0.1447283774614334	-0.41597068	Yes	
row_87	DDAH1	na	15312	-0.1448303461074829	-0.40647	Yes	
row_88	NOS1AP	na	15343	-0.14572326838970184	-0.3983776	Yes	
row_89	BAAT	na	15370	-0.14705024659633636	-0.38997018	Yes	
row_90	GCH1	na	15455	-0.14973688125610352	-0.3846577	Yes	
row_91	RIDA	na	15672	-0.15698057413101196	-0.38631302	Yes	
row_92	ALDH5A1	na	15789	-0.16218967735767365	-0.38197133	Yes	
row_93	SLC7A2	na	15892	-0.16565248370170593	-0.37660646	Yes	
row_94	RNF180	na	15898	-0.16576901078224182	-0.36575603	Yes	
row_95	TRPV1	na	15932	-0.16695430874824524	-0.35640723	Yes	
row_96	ZC3H12A	na	15956	-0.16761568188667297	-0.34644926	Yes	
row_97	KLRK1	na	16008	-0.16972234845161438	-0.33793104	Yes	
row_98	PAH	na	16079	-0.1729041337966919	-0.33027208	Yes	
row_99	TLR6	na	16183	-0.1778443157672882	-0.3241449	Yes	
row_100	ALDH9A1	na	16190	-0.1783585548400879	-0.31250545	Yes	
row_101	HBB	na	16195	-0.17881600558757782	-0.30072233	Yes	
row_102	NOS3	na	16264	-0.18303431570529938	-0.2922701	Yes	
row_103	BHMT	na	16283	-0.1838780641555786	-0.2809376	Yes	
row_104	SRD5A1	na	16322	-0.18547265231609344	-0.2706275	Yes	
row_105	BCHE	na	16513	-0.19495439529418945	-0.26826426	Yes	
row_106	DPYD	na	16569	-0.19761942327022552	-0.2580984	Yes	
row_107	JAK2	na	16650	-0.20256218314170837	-0.24901238	Yes	
row_108	LRTOMT	na	16680	-0.20490247011184692	-0.23688912	Yes	
row_109	AASDH	na	16831	-0.21440140902996063	-0.23096101	Yes	
row_110	UPB1	na	16940	-0.2213713824748993	-0.22219299	Yes	
row_111	PTK2B	na	16982	-0.22379785776138306	-0.20947841	Yes	
row_112	TLR4	na	17024	-0.22708791494369507	-0.19654287	Yes	
row_113	SHMT1	na	17035	-0.22844131290912628	-0.18176582	Yes	
row_114	AGXT2	na	17105	-0.23392781615257263	-0.16995214	Yes	
row_115	DMGDH	na	17192	-0.24230153858661652	-0.1585361	Yes	
row_116	CD36	na	17220	-0.24441508948802948	-0.14364631	Yes	
row_117	ABAT	na	17350	-0.25769442319869995	-0.13362479	Yes	
row_118	CYP1B1	na	17398	-0.2637456953525543	-0.118566215	Yes	
row_119	GLYAT	na	17455	-0.26896363496780396	-0.10366545	Yes	
row_120	EDN1	na	17508	-0.2769501507282257	-0.088002436	Yes	
row_121	DBH	na	17550	-0.28317323327064514	-0.0713003	Yes	
row_122	DPYS	na	17594	-0.2898175120353699	-0.05426489	Yes	
row_123	HDC	na	17612	-0.29420360922813416	-0.03546665	Yes	
row_124	RORA	na	17782	-0.3544757664203644	-0.021204317	Yes	
row_125	PKD2	na	17787	-0.3577835261821747	0.0025979795	Yes	
