NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RPL36A	na	20	0.380055695772171	0.023977324	Yes	
row_1	RPL39	na	262	0.27577099204063416	0.028590344	Yes	
row_2	DHX34	na	312	0.2691340446472168	0.043603204	Yes	
row_3	RPS21	na	346	0.26448315382003784	0.059212018	Yes	
row_4	MAGOHB	na	349	0.2642745077610016	0.07655697	Yes	
row_5	RPS10	na	511	0.24227571487426758	0.08347326	Yes	
row_6	RPL23A	na	723	0.2206314355134964	0.086137265	Yes	
row_7	RPL18A	na	812	0.21260909736156464	0.09521458	Yes	
row_8	SMG9	na	870	0.20796778798103333	0.105735235	Yes	
row_9	RPS5	na	900	0.20454254746437073	0.117610194	Yes	
row_10	RPL36	na	988	0.19773724675178528	0.12576154	Yes	
row_11	RPL38	na	1006	0.19679155945777893	0.13780186	Yes	
row_12	RPS12	na	1057	0.19280105829238892	0.14771575	Yes	
row_13	RPL28	na	1115	0.1892320066690445	0.15699872	Yes	
row_14	RPLP2	na	1118	0.18903173506259918	0.16937317	Yes	
row_15	RPL17	na	1133	0.18804612755775452	0.18100512	Yes	
row_16	RPL26	na	1170	0.18609853088855743	0.19126654	Yes	
row_17	RPSA	na	1178	0.18559056520462036	0.20313142	Yes	
row_18	RPS24	na	1338	0.1769651621580124	0.20584622	Yes	
row_19	RPL37A	na	1349	0.1763157695531845	0.21692906	Yes	
row_20	RPL27A	na	1386	0.1741485744714737	0.22640106	Yes	
row_21	RPL18	na	1458	0.1707325428724289	0.23367168	Yes	
row_22	RPL32	na	1469	0.17034393548965454	0.24436003	Yes	
row_23	RPS19	na	1489	0.16955415904521942	0.25448817	Yes	
row_24	RPS27	na	1493	0.16928613185882568	0.2655018	Yes	
row_25	RPL41	na	1508	0.16817106306552887	0.2758208	Yes	
row_26	RPL35A	na	1530	0.16729077696800232	0.28568652	Yes	
row_27	RPS27A	na	1562	0.16554118692874908	0.29487216	Yes	
row_28	RPS11	na	1580	0.16445454955101013	0.30477634	Yes	
row_29	RPS29	na	1587	0.16407263278961182	0.3152762	Yes	
row_30	RPS16	na	1604	0.16325944662094116	0.32515785	Yes	
row_31	RPL37	na	1627	0.16215495765209198	0.33462787	Yes	
row_32	PPP2R1A	na	1721	0.15801919996738434	0.33981675	Yes	
row_33	RPL27	na	1740	0.1572853922843933	0.34919086	Yes	
row_34	RPS7	na	1778	0.1554761528968811	0.3573729	Yes	
row_35	RPL14	na	1786	0.15517061948776245	0.36722827	Yes	
row_36	RPL13A	na	1854	0.15253408253192902	0.37352252	Yes	
row_37	RPL8	na	1866	0.15213781595230103	0.3829517	Yes	
row_38	RPS15	na	1873	0.1518920511007309	0.39264694	Yes	
row_39	RPS18	na	1892	0.15117549896240234	0.40161744	Yes	
row_40	RPS13	na	1917	0.1503174602985382	0.41019258	Yes	
row_41	RPS2	na	1926	0.14997777342796326	0.41964844	Yes	
row_42	RPL9	na	1964	0.14864054322242737	0.42737895	Yes	
row_43	RBM8A	na	2000	0.14741843938827515	0.43514162	Yes	
row_44	RPS15A	na	2052	0.1452481746673584	0.44185773	Yes	
row_45	RPL23	na	2066	0.14437730610370636	0.4506614	Yes	
