NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RPL36A	na	20	0.380055695772171	0.022023678	Yes	
row_1	RPL39	na	262	0.27577099204063416	0.025206115	Yes	
row_2	RPS21	na	346	0.26448315382003784	0.03662894	Yes	
row_3	RPS10	na	511	0.24227571487426758	0.04212179	Yes	
row_4	RPL23A	na	723	0.2206314355134964	0.04364021	Yes	
row_5	RPL18A	na	812	0.21260909736156464	0.051620223	Yes	
row_6	SEC61G	na	895	0.2047848403453827	0.059462603	Yes	
row_7	RPS5	na	900	0.20454254746437073	0.07169775	Yes	
row_8	KDELR3	na	967	0.19927218556404114	0.0801084	Yes	
row_9	RPL36	na	988	0.19773724675178528	0.09102484	Yes	
row_10	RPL38	na	1006	0.19679155945777893	0.10205319	Yes	
row_11	RPS12	na	1057	0.19280105829238892	0.11097371	Yes	
row_12	RPL28	na	1115	0.1892320066690445	0.11928125	Yes	
row_13	RPLP2	na	1118	0.18903173506259918	0.13068445	Yes	
row_14	RPL17	na	1133	0.18804612755775452	0.14134954	Yes	
row_15	RPL26	na	1170	0.18609853088855743	0.15065283	Yes	
row_16	RPSA	na	1178	0.18559056520462036	0.16156384	Yes	
row_17	RPS24	na	1338	0.1769651621580124	0.16336037	Yes	
row_18	RPL37A	na	1349	0.1763157695531845	0.17353685	Yes	
row_19	RPL27A	na	1386	0.1741485744714737	0.18211211	Yes	
row_20	PDIA2	na	1436	0.17194707691669464	0.18981867	Yes	
row_21	RPL18	na	1458	0.1707325428724289	0.19903342	Yes	
row_22	RPL32	na	1469	0.17034393548965454	0.20884608	Yes	
row_23	RPS19	na	1489	0.16955415904521942	0.21810205	Yes	
row_24	RPS27	na	1493	0.16928613185882568	0.22824581	Yes	
row_25	RPL41	na	1508	0.16817106306552887	0.23770006	Yes	
row_26	RPL35A	na	1530	0.16729077696800232	0.24670513	Yes	
row_27	RPS27A	na	1562	0.16554118692874908	0.25503856	Yes	
row_28	RPS11	na	1580	0.16445454955101013	0.26409686	Yes	
row_29	RPS29	na	1587	0.16407263278961182	0.27375346	Yes	
row_30	RPS16	na	1604	0.16325944662094116	0.2827955	Yes	
row_31	RPL37	na	1627	0.16215495765209198	0.29143116	Yes	
row_32	RPL27	na	1740	0.1572853922843933	0.2946846	Yes	
row_33	RPS7	na	1778	0.1554761528968811	0.30206576	Yes	
row_34	RPL14	na	1786	0.15517061948776245	0.31112355	Yes	
row_35	RPL13A	na	1854	0.15253408253192902	0.3166303	Yes	
row_36	RPL8	na	1866	0.15213781595230103	0.3252773	Yes	
row_37	RPS15	na	1873	0.1518920511007309	0.33419186	Yes	
row_38	PPP1R15A	na	1887	0.15133416652679443	0.34267685	Yes	
row_39	RPS18	na	1892	0.15117549896240234	0.35166076	Yes	
row_40	PMM1	na	1911	0.15055453777313232	0.35981575	Yes	
row_41	RPS13	na	1917	0.1503174602985382	0.36869088	Yes	
row_42	RPS2	na	1926	0.14997777342796326	0.3773758	Yes	
row_43	RPL9	na	1964	0.14864054322242737	0.38434055	Yes	
row_44	GRIK5	na	2051	0.1452963501214981	0.38833275	Yes	
row_45	RPS15A	na	2052	0.1452481746673584	0.39718157	Yes	
row_46	RPL23	na	2066	0.14437730610370636	0.40524277	Yes	
row_47	RPL30	na	2095	0.14339113235473633	0.41239628	Yes	
row_48	RPL31	na	2107	0.14266474545001984	0.42046615	Yes	
row_49	RPL7	na	2108	0.14256533980369568	0.42915154	Yes	
row_50	RPS17	na	2129	0.14193207025527954	0.43666822	Yes	
row_51	RPL29	na	2134	0.14166119694709778	0.44507247	Yes	
row_52	RPS3	na	2163	0.14037960767745972	0.45204252	Yes	
row_53	RPS28	na	2190	0.1394168734550476	0.45906693	Yes	
row_54	RPS4X	na	2210	0.1389683037996292	0.46645954	Yes	
row_55	UBA52	na	2220	0.13853497803211212	0.47439083	Yes	
row_56	RPL21	na	2248	0.13778063654899597	0.48125905	Yes	
row_57	RPL24	na	2287	0.13613419234752655	0.4874054	Yes	
row_58	RPS23	na	2298	0.13566699624061584	0.49510545	Yes	
row_59	RPS9	na	2327	0.13430926203727722	0.50170565	Yes	
row_60	CHMP4B	na	2338	0.13394011557102203	0.50930053	Yes	
