NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	AURKB	na	15	0.3943713903427124	0.030527117	Yes	
row_1	CDT1	na	33	0.36431536078453064	0.058550503	Yes	
row_2	CDCA5	na	35	0.36397770047187805	0.08744895	Yes	
row_3	PTTG1	na	59	0.3487653434276581	0.1138971	Yes	
row_4	CCNB1	na	78	0.3306625485420227	0.139187	Yes	
row_5	NEK2	na	103	0.3178350031375885	0.16311823	Yes	
row_6	PLK1	na	119	0.3114051818847656	0.1870453	Yes	
row_7	KIF2C	na	123	0.308544784784317	0.21142125	Yes	
row_8	TRIP13	na	129	0.3039973974227905	0.23532273	Yes	
row_9	CDC20	na	183	0.2914217710494995	0.25551805	Yes	
row_10	TTK	na	261	0.27607688307762146	0.27313977	Yes	
row_11	TACC3	na	304	0.26986634731292725	0.2922404	Yes	
row_12	LCMT1	na	319	0.26851317286491394	0.31281173	Yes	
row_13	BUB1	na	394	0.25687113404273987	0.32907474	Yes	
row_14	RMI2	na	471	0.24690860509872437	0.34443247	Yes	
row_15	CDC6	na	474	0.2467428296804428	0.3639484	Yes	
row_16	RAD18	na	521	0.24157290160655975	0.38057277	Yes	
row_17	MKI67	na	553	0.23700061440467834	0.39767894	Yes	
row_18	MAD2L1	na	558	0.23652295768260956	0.41626912	Yes	
row_19	NDC80	na	636	0.2283315658569336	0.43009266	Yes	
row_20	SPDL1	na	760	0.2170286476612091	0.44042405	Yes	
row_21	CENPF	na	769	0.2159704864025116	0.45715377	Yes	
row_22	RACGAP1	na	786	0.2145034819841385	0.47331583	Yes	
row_23	DLGAP5	na	795	0.21401818096637726	0.48989025	Yes	
row_24	SPAG5	na	986	0.1977578103542328	0.49491182	Yes	
row_25	ESPL1	na	1066	0.19258365035057068	0.50577885	Yes	
row_26	FEN1	na	1110	0.18952886760234833	0.5184322	Yes	
row_27	BUB1B	na	1138	0.18775728344917297	0.53184646	Yes	
row_28	MAPK15	na	1259	0.18115776777267456	0.5394934	Yes	
row_29	NSMCE2	na	1286	0.17975807189941406	0.55232775	Yes	
row_30	XRCC3	na	1412	0.17291095852851868	0.55903673	Yes	
row_31	ANAPC11	na	1575	0.16454631090164185	0.56299466	Yes	
row_32	DDX11	na	1671	0.16002081334590912	0.57036936	Yes	
row_33	NAA10	na	1682	0.15982386469841003	0.5825198	Yes	
row_34	ECT2	na	1956	0.14883238077163696	0.5789707	No	
row_35	CSNK2A1	na	2347	0.1336209923028946	0.56761616	No	
row_36	MAD1L1	na	2552	0.1274661123752594	0.56625676	No	
row_37	FBXO5	na	2646	0.1247122660279274	0.57093537	No	
row_38	ANAPC1	na	2660	0.12418170273303986	0.58008134	No	
row_39	RCC2	na	3101	0.11075851321220398	0.5640896	No	
