NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	AURKB	na	15	0.3943713903427124	0.04530224	Yes	
row_1	CDT1	na	33	0.36431536078453064	0.08697505	Yes	
row_2	PTTG1	na	59	0.3487653434276581	0.1263783	Yes	
row_3	CCNB1	na	78	0.3306625485420227	0.16405709	Yes	
row_4	PLK1	na	119	0.3114051818847656	0.19824491	Yes	
row_5	TRIP13	na	129	0.3039973974227905	0.23330986	Yes	
row_6	CDC20	na	183	0.2914217710494995	0.26442808	Yes	
row_7	TTK	na	261	0.27607688307762146	0.29240063	Yes	
row_8	TACC3	na	304	0.26986634731292725	0.3216154	Yes	
row_9	LCMT1	na	319	0.26851317286491394	0.35224703	Yes	
row_10	BUB1	na	394	0.25687113404273987	0.37814105	Yes	
row_11	CDC6	na	474	0.2467428296804428	0.40256864	Yes	
row_12	MAD2L1	na	558	0.23652295768260956	0.42557538	Yes	
row_13	NDC80	na	636	0.2283315658569336	0.44796115	Yes	
row_14	SPDL1	na	760	0.2170286476612091	0.46643662	Yes	
row_15	CENPF	na	769	0.2159704864025116	0.49125764	Yes	
row_16	DLGAP5	na	795	0.21401818096637726	0.5148939	Yes	
row_17	ESPL1	na	1066	0.19258365035057068	0.5222394	Yes	
row_18	BUB1B	na	1138	0.18775728344917297	0.5402151	Yes	
row_19	MAPK15	na	1259	0.18115776777267456	0.554662	Yes	
row_20	NSMCE2	na	1286	0.17975807189941406	0.5742331	Yes	
row_21	XRCC3	na	1412	0.17291095852851868	0.58743376	Yes	
row_22	ANAPC11	na	1575	0.16454631090164185	0.59757423	Yes	
row_23	CSNK2A1	na	2347	0.1336209923028946	0.5698363	No	
row_24	MAD1L1	na	2552	0.1274661123752594	0.5732752	No	
row_25	FBXO5	na	2646	0.1247122660279274	0.58263624	No	
row_26	ANAPC1	na	2660	0.12418170273303986	0.5964356	No	
row_27	MAD2L2	na	3158	0.10916375368833542	0.58125	No	
row_28	CENPE	na	3291	0.10542203485965729	0.5861599	No	
row_29	BUB3	na	3698	0.09481555223464966	0.5744147	No	
row_30	DYNC1LI1	na	4030	0.08747491985559464	0.5660296	No	
row_31	CSNK2A2	na	4827	0.06955130398273468	0.5293884	No	
row_32	PSMG2	na	4901	0.06816444545984268	0.53325784	No	
row_33	PCID2	na	5335	0.05972052738070488	0.51588714	No	
row_34	RAD21	na	5839	0.05084073171019554	0.49353954	No	
row_35	IK	na	6344	0.04096495360136032	0.46998006	No	
row_36	NEK6	na	6591	0.03685522824525833	0.4604537	No	
row_37	ZNF207	na	6685	0.035127121955156326	0.4593322	No	
row_38	ANAPC5	na	6686	0.03511760011315346	0.46344137	No	
row_39	KLHL22	na	7422	0.022319525480270386	0.42470512	No	
row_40	CDC26	na	7719	0.017295699566602707	0.41007724	No	
row_41	ANAPC4	na	7896	0.014411565847694874	0.4018626	No	
row_42	ZW10	na	8414	0.0054900022223591805	0.37342083	No	
row_43	ANAPC15	na	8995	-0.005103341303765774	0.34138972	No	
row_44	CDC23	na	9380	-0.012031846679747105	0.32119542	No	
row_45	CDC27	na	9951	-0.02219955064356327	0.2917273	No	
row_46	CDK5RAP2	na	10406	-0.03107484243810177	0.26982337	No	
row_47	TPR	na	11071	-0.042660877108573914	0.23746148	No	
row_48	RIOK2	na	11266	-0.046501219272613525	0.23198907	No	
row_49	TEX14	na	12625	-0.07392658293247223	0.1642442	No	
row_50	CUL3	na	13154	-0.08583042770624161	0.1445844	No	
row_51	GEN1	na	13826	-0.10187972337007523	0.11875799	No	
row_52	RB1	na	14506	-0.11903180181980133	0.09448853	No	
row_53	NUMA1	na	15121	-0.1386139839887619	0.07616704	No	
row_54	ATM	na	15221	-0.14183257520198822	0.0871938	No	
row_55	DUSP1	na	15358	-0.1463920921087265	0.09667263	No	
row_56	APC	na	15686	-0.15737609565258026	0.096691884	No	
row_57	HECW2	na	16691	-0.20538568496704102	0.06424376	No	
