NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	OXTR	na	1313	0.17814601957798004	-0.060512617	No	
row_1	MKKS	na	1541	0.16668307781219482	-0.060599893	No	
row_2	CHGA	na	1781	0.15532927215099335	-0.06223137	No	
row_3	ATP2B1	na	2890	0.11690239608287811	-0.115848385	No	
row_4	PLOD3	na	3296	0.10525453090667725	-0.13067305	No	
row_5	ITGB1BP1	na	3481	0.10019631683826447	-0.1334093	No	
row_6	HTR1D	na	3637	0.09629546850919724	-0.13480644	No	
row_7	TRPM4	na	3836	0.09157318621873856	-0.13899131	No	
row_8	ADRA1D	na	4148	0.08447133004665375	-0.1500968	No	
row_9	ADORA2B	na	4609	0.07402036339044571	-0.1704107	No	
row_10	PPARD	na	5006	0.06598219275474548	-0.18772572	No	
row_11	KCNMB4	na	5352	0.05937209352850914	-0.20266668	No	
row_12	PTAFR	na	5705	0.05352375656366348	-0.21844926	No	
row_13	HMGCR	na	5912	0.04926449805498123	-0.2263159	No	
row_14	ADRA2C	na	6352	0.04084142670035362	-0.24797758	No	
row_15	ATG5	na	6359	0.04077059403061867	-0.24520348	No	
row_16	COMP	na	6404	0.04022933170199394	-0.24461567	No	
row_17	RHOA	na	6528	0.0379694364964962	-0.24865964	No	
row_18	GPX1	na	6847	0.032272953540086746	-0.26414552	No	
row_19	RGS2	na	7064	0.02831975370645523	-0.27417573	No	
row_20	HRH1	na	7255	0.024968428537249565	-0.28299418	No	
row_21	ACE	na	7437	0.02204403094947338	-0.29152793	No	
row_22	ADCY6	na	7516	0.02071758732199669	-0.29434896	No	
row_23	FOXC2	na	8056	0.011422994546592236	-0.3239013	No	
row_24	UCN	na	8206	0.0090918755158782	-0.33161762	No	
row_25	KCNA5	na	8226	0.008827601559460163	-0.33201614	No	
row_26	KCNMB1	na	8273	0.00824729260057211	-0.33398297	No	
row_27	ECE1	na	8304	0.007591679226607084	-0.33509675	No	
row_28	AGT	na	8319	0.0073209526017308235	-0.33532807	No	
row_29	ADRA2A	na	8922	-0.0035657426342368126	-0.3690364	No	
row_30	EDNRA	na	9437	-0.012880237773060799	-0.39706632	No	
row_31	ADORA2A	na	9460	-0.013314461335539818	-0.39729163	No	
row_32	CRP	na	9601	-0.015923136845231056	-0.40397838	No	
row_33	GPER1	na	9668	-0.017142020165920258	-0.40639505	No	
row_34	ADORA1	na	9876	-0.02096310630440712	-0.4164789	No	
row_35	APOE	na	9901	-0.021370308473706245	-0.416202	No	
row_36	SOD1	na	9957	-0.022290049120783806	-0.41760474	No	
row_37	SLC6A4	na	10073	-0.02433359995484352	-0.42223823	No	
row_38	GJA1	na	10081	-0.024569706991314888	-0.42075747	No	
row_39	CALCA	na	10083	-0.02460002340376377	-0.41893575	No	
row_40	SERPINF2	na	10178	-0.026564162224531174	-0.42221355	No	
row_41	CD38	na	10376	-0.03024984523653984	-0.43102393	No	
row_42	AGTR1	na	10494	-0.03252307325601578	-0.43514502	No	
row_43	NPR1	na	10495	-0.03254247084259987	-0.43266046	No	
row_44	HMOX1	na	10516	-0.03293876722455025	-0.43127456	No	
row_45	ADM	na	10690	-0.035965144634246826	-0.43829387	No	
row_46	PLA2G6	na	10905	-0.03980637341737747	-0.44733417	No	
row_47	ADRB1	na	10972	-0.041082266718149185	-0.44792306	No	
row_48	GRIP2	na	11168	-0.04480976611375809	-0.4555089	No	
row_49	FOXC1	na	11233	-0.045874807983636856	-0.45561898	No	
row_50	ROCK2	na	11255	-0.0462837778031826	-0.45327064	No	
row_51	GUCY1A1	na	11357	-0.048377927392721176	-0.45527813	No	
row_52	F2RL1	na	11516	-0.05137783661484718	-0.460274	No	
row_53	AKT1	na	11605	-0.05310408025979996	-0.46118686	No	
row_54	P2RX1	na	11729	-0.05561433359980583	-0.46388367	No	
row_55	HTR7	na	11797	-0.056784696877002716	-0.46333012	No	
row_56	PRKG1	na	12035	-0.06205379217863083	-0.47197014	No	
row_57	GJA5	na	12641	-0.07438728213310242	-0.5004407	No	
row_58	PER2	na	12884	-0.07913738489151001	-0.50805867	No	
row_59	BDKRB2	na	12968	-0.0808819904923439	-0.5065685	No	
row_60	KEL	na	13219	-0.08723293989896774	-0.5140199	No	
row_61	ADCYAP1	na	13443	-0.0929049625992775	-0.51951426	No	
row_62	APLN	na	13499	-0.09398764371871948	-0.51544297	No	
row_63	TBXA2R	na	13928	-0.10464068502187729	-0.53161275	Yes	
row_64	P2RY2	na	14010	-0.10678108781576157	-0.5280323	Yes	
row_65	F2R	na	14096	-0.1089688315987587	-0.5245106	Yes	
row_66	CAV1	na	14116	-0.10951992869377136	-0.51722145	Yes	
row_67	ITGA1	na	14129	-0.10997876524925232	-0.5095021	Yes	
row_68	ICAM1	na	14160	-0.1106695830821991	-0.50274605	Yes	
row_69	ACTA2	na	14256	-0.11306275427341461	-0.49947622	Yes	
row_70	AVPR2	na	14350	-0.11568998545408249	-0.49589297	Yes	
row_71	GCLM	na	14511	-0.11920525878667831	-0.4958232	Yes	
row_72	GCLC	na	14627	-0.12301746755838394	-0.49292234	Yes	
row_73	BMPR2	na	14629	-0.12307178974151611	-0.48358244	Yes	
