NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	OXTR	na	1313	0.17814601957798004	-0.04666361	No	
row_1	ATP2B1	na	2890	0.11690239608287811	-0.11745754	No	
row_2	TRPM4	na	3836	0.09157318621873856	-0.15663138	No	
row_3	ADRA1D	na	4148	0.08447133004665375	-0.16123636	No	
row_4	KCNMB4	na	5352	0.05937209352850914	-0.21982977	No	
row_5	PTAFR	na	5705	0.05352375656366348	-0.23146048	No	
row_6	ADRA2C	na	6352	0.04084142670035362	-0.26155815	No	
row_7	RHOA	na	6528	0.0379694364964962	-0.2656079	No	
row_8	HRH1	na	7255	0.024968428537249565	-0.30262518	No	
row_9	ACE	na	7437	0.02204403094947338	-0.30944127	No	
row_10	KCNA5	na	8226	0.008827601559460163	-0.35240686	No	
row_11	ECE1	na	8304	0.007591679226607084	-0.35557896	No	
row_12	AGT	na	8319	0.0073209526017308235	-0.35524964	No	
row_13	ADRA2A	na	8922	-0.0035657426342368126	-0.38855833	No	
row_14	GJA1	na	10081	-0.024569706991314888	-0.44992933	No	
row_15	CD38	na	10376	-0.03024984523653984	-0.46184823	No	
row_16	AGTR1	na	10494	-0.03252307325601578	-0.46346712	No	
row_17	ADM	na	10690	-0.035965144634246826	-0.4689472	No	
row_18	AKT1	na	11605	-0.05310408025979996	-0.5122451	No	
row_19	P2RX1	na	11729	-0.05561433359980583	-0.51067954	No	
row_20	GJA5	na	12641	-0.07438728213310242	-0.5505626	No	
row_21	PER2	na	12884	-0.07913738489151001	-0.5521011	No	
row_22	BDKRB2	na	12968	-0.0808819904923439	-0.5444322	No	
row_23	APLN	na	13499	-0.09398764371871948	-0.55990094	No	
row_24	TBXA2R	na	13928	-0.10464068502187729	-0.568009	Yes	
row_25	F2R	na	14096	-0.1089688315987587	-0.56078	Yes	
row_26	CAV1	na	14116	-0.10951992869377136	-0.5451444	Yes	
row_27	ICAM1	na	14160	-0.1106695830821991	-0.530683	Yes	
row_28	AVPR2	na	14350	-0.11568998545408249	-0.523666	Yes	
row_29	BMPR2	na	14629	-0.12307178974151611	-0.52052796	Yes	
row_30	PTGS2	na	14990	-0.13442763686180115	-0.520269	Yes	
row_31	SMTNL1	na	14993	-0.13454246520996094	-0.49986094	Yes	
row_32	ADRA2B	na	15012	-0.13494959473609924	-0.48029053	Yes	
row_33	ATP1A2	na	15017	-0.1351153552532196	-0.4599076	Yes	
row_34	EGFR	na	15242	-0.14253084361553192	-0.45076498	Yes	
row_35	CHRM3	na	15306	-0.14472082257270813	-0.4322348	Yes	
row_36	FGB	na	15647	-0.15604442358016968	-0.42755416	Yes	
row_37	FGG	na	15990	-0.1691385805606842	-0.4209889	Yes	
row_38	DOCK5	na	16084	-0.17326027154922485	-0.39979282	Yes	
row_39	FGA	na	16090	-0.17346228659152985	-0.3736174	Yes	
row_40	DOCK4	na	16232	-0.18120624125003815	-0.35390863	Yes	
row_41	EDN2	na	16726	-0.207675039768219	-0.349957	Yes	
row_42	HRH2	na	17171	-0.2390502691268921	-0.33846453	Yes	
row_43	CASR	na	17379	-0.2619427442550659	-0.3101532	Yes	
row_44	EDN1	na	17508	-0.2769501507282257	-0.27511045	Yes	
row_45	AVPR1A	na	17543	-0.28251487016677856	-0.23393302	Yes	
row_46	DBH	na	17550	-0.28317323327064514	-0.19108064	Yes	
row_47	ADRA1A	na	17668	-0.30970415472984314	-0.15042368	Yes	
row_48	ARHGAP42	na	17673	-0.3119593560695648	-0.103068344	Yes	
row_49	ACE2	na	17688	-0.31530386209487915	-0.055765253	Yes	
row_50	ADRA1B	na	17822	-0.4187159836292267	6.185466E-4	Yes	
