NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	EMG1	na	146	0.2994905412197113	-0.0010222415	Yes	
row_1	ISY1	na	158	0.2963396906852722	0.005627369	Yes	
row_2	GEMIN7	na	163	0.29595333337783813	0.012669301	Yes	
row_3	FBLL1	na	277	0.2738286554813385	0.012910815	Yes	
row_4	RPP30	na	310	0.26920998096466064	0.01768841	Yes	
row_5	NPM3	na	313	0.2689564526081085	0.024181835	Yes	
row_6	RPLP0P6	na	314	0.2688983678817749	0.030788638	Yes	
row_7	NOP56	na	337	0.26514896750450134	0.036040474	Yes	
row_8	RPS21	na	346	0.26448315382003784	0.04207958	Yes	
row_9	FBL	na	388	0.257356196641922	0.04604931	Yes	
row_10	SNRPD1	na	445	0.250043660402298	0.048978344	Yes	
row_11	SNRPB	na	473	0.2467651069164276	0.05349148	Yes	
row_12	NLE1	na	479	0.2462213635444641	0.059254102	Yes	
row_13	SMN1	na	491	0.24448388814926147	0.06462962	Yes	
row_14	RPS10	na	511	0.24227571487426758	0.06949167	Yes	
row_15	SNRPE	na	528	0.23958639800548553	0.07445985	Yes	
row_16	RRP9	na	538	0.23846399784088135	0.07980226	Yes	
row_17	EXOSC5	na	540	0.23831938207149506	0.08560034	Yes	
row_18	SNRPD2	na	662	0.22563691437244415	0.08419857	Yes	
row_19	FAM207A	na	685	0.22342798113822937	0.08842533	Yes	
row_20	SRPK3	na	686	0.22338755428791046	0.093913935	Yes	
row_21	RPL23A	na	723	0.2206314355134964	0.09726836	Yes	
row_22	SUV39H1	na	777	0.21557247638702393	0.09952264	Yes	
row_23	RRP1	na	784	0.2146991789340973	0.10445336	Yes	
row_24	SNRPF	na	820	0.21145278215408325	0.10763966	Yes	
row_25	SENP3	na	821	0.21142880618572235	0.112834446	Yes	
row_26	LYAR	na	843	0.209993377327919	0.11678852	Yes	
row_27	BRIX1	na	862	0.2087959200143814	0.12088537	Yes	
row_28	RPS5	na	900	0.20454254746437073	0.12378709	Yes	
row_29	SF3A2	na	999	0.19720304012298584	0.12300695	Yes	
row_30	EXOSC1	na	1001	0.1971006840467453	0.12779228	Yes	
row_31	RPL38	na	1006	0.19679155945777893	0.13239783	Yes	
row_32	BYSL	na	1013	0.19639427959918976	0.1368788	Yes	
row_33	NSUN5	na	1060	0.19272184371948242	0.13897346	Yes	
row_34	RRP7BP	na	1074	0.191841259598732	0.14294076	Yes	
row_35	POP7	na	1106	0.1899728775024414	0.1458289	Yes	
row_36	RBIS	na	1168	0.18611784279346466	0.14690028	Yes	
row_37	RPL26	na	1170	0.18609853088855743	0.15141529	Yes	
row_38	RPSA	na	1178	0.18559056520462036	0.15557341	Yes	
row_39	METTL16	na	1200	0.18425367772579193	0.15889508	Yes	
row_40	SNRPG	na	1240	0.181806281208992	0.16112335	Yes	
row_41	EXOSC4	na	1251	0.1814088672399521	0.16500653	Yes	
row_42	PIH1D1	na	1256	0.18126234412193298	0.16923052	Yes	
row_43	BOP1	na	1280	0.17993125319480896	0.17233115	Yes	
row_44	GEMIN2	na	1289	0.17950439453125	0.17628235	Yes	
row_45	ZNF622	na	1331	0.17719565331935883	0.17828254	Yes	
row_46	PRPF6	na	1335	0.17701828479766846	0.18245965	Yes	
row_47	RPS24	na	1338	0.1769651621580124	0.18669286	Yes	
row_48	SRSF12	na	1375	0.17452964186668396	0.18891457	Yes	
row_49	RPUSD1	na	1426	0.17232654988765717	0.19027852	Yes	
row_50	SNRPC	na	1437	0.17193405330181122	0.1939289	Yes	
row_51	PELP1	na	1474	0.1701870560646057	0.1960439	Yes	
row_52	CELF5	na	1485	0.16974994540214539	0.19964062	Yes	
row_53	RPS19	na	1489	0.16955415904521942	0.20363434	Yes	
row_54	RPS27	na	1493	0.16928613185882568	0.20762147	Yes	
row_55	RPL35A	na	1530	0.16729077696800232	0.20966531	Yes	
row_56	PPAN	na	1535	0.16691498458385468	0.21353678	Yes	
row_57	DDX27	na	1540	0.16677629947662354	0.21740486	Yes	
row_58	RPS16	na	1604	0.16325944662094116	0.2177998	Yes	
row_59	NOP53	na	1628	0.1621401309967041	0.2204633	Yes	
row_60	RPF2	na	1676	0.15989762544631958	0.22169408	Yes	
row_61	CRNKL1	na	1687	0.15954835712909698	0.22504015	Yes	
row_62	PRPF31	na	1703	0.15879759192466736	0.22808076	Yes	
row_63	RPL27	na	1740	0.1572853922843933	0.22987877	Yes	
row_64	EXOSC7	na	1763	0.1559118926525116	0.23244667	Yes	
row_65	AGO2	na	1766	0.1557980328798294	0.2361598	Yes	
row_66	RPS7	na	1778	0.1554761528968811	0.23934841	Yes	
row_67	GTPBP4	na	1782	0.15522125363349915	0.24298997	Yes	
row_68	RPL14	na	1786	0.15517061948776245	0.2466303	Yes	
row_69	WDR46	na	1796	0.15490643680095673	0.24991971	Yes	
row_70	ISG20	na	1848	0.1528325229883194	0.2507473	Yes	
row_71	NOB1	na	1852	0.1525842398405075	0.25432405	Yes	
row_72	RPL13A	na	1854	0.15253408253192902	0.2580144	Yes	
row_73	RPS15	na	1873	0.1518920511007309	0.26071313	Yes	
row_74	CD2BP2	na	1880	0.15153968334197998	0.26409203	Yes	
row_75	DDX49	na	1893	0.1511511355638504	0.26711696	Yes	
row_76	RPS2	na	1926	0.14997777342796326	0.26896504	Yes	
row_77	EIF2S2	na	1958	0.1487952619791031	0.27084148	Yes	
row_78	NOP58	na	1973	0.14835312962532043	0.27368286	Yes	
row_79	DHX37	na	1974	0.14831680059432983	0.277327	Yes	
row_80	PRPF3	na	1986	0.14783833920955658	0.28032795	Yes	
row_81	RUVBL2	na	2006	0.1471107453107834	0.2828518	Yes	
row_82	GEMIN4	na	2069	0.14427843689918518	0.28283778	Yes	
row_83	LSM4	na	2082	0.1438109278678894	0.28568238	Yes	
row_84	RPL7	na	2108	0.14256533980369568	0.28775012	Yes	
row_85	AATF	na	2111	0.14246401190757751	0.29113567	Yes	
row_86	RPS17	na	2129	0.14193207025527954	0.29364708	Yes	
row_87	EIF6	na	2173	0.14017489552497864	0.29462287	Yes	
row_88	MCTS1	na	2176	0.1401222199201584	0.29795086	Yes	
row_89	RPS28	na	2190	0.1394168734550476	0.3006301	Yes	
row_90	LTO1	na	2213	0.13867205381393433	0.3027744	Yes	
row_91	EIF3K	na	2215	0.1386648565530777	0.30612397	Yes	
row_92	DDX10	na	2218	0.13858798146247864	0.30941427	Yes	
row_93	MRPL11	na	2284	0.1361532062292099	0.30902842	Yes	
row_94	RPL24	na	2287	0.13613419234752655	0.3122584	Yes	
