NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RPLP0P6	na	314	0.2688983678817749	0.023377504	Yes	
row_1	NLE1	na	479	0.2462213635444641	0.051732957	Yes	
row_2	RPS10	na	511	0.24227571487426758	0.086969	Yes	
row_3	RPL23A	na	723	0.2206314355134964	0.108774185	Yes	
row_4	BRIX1	na	862	0.2087959200143814	0.13287994	Yes	
row_5	RPS5	na	900	0.20454254746437073	0.16201895	Yes	
row_6	RPL38	na	1006	0.19679155945777893	0.18614906	Yes	
row_7	RRP7BP	na	1074	0.191841259598732	0.21166153	Yes	
row_8	RPSA	na	1178	0.18559056520462036	0.23419447	Yes	
row_9	BOP1	na	1280	0.17993125319480896	0.25597614	Yes	
row_10	RPS19	na	1489	0.16955415904521942	0.27015382	Yes	
row_11	RPS27	na	1493	0.16928613185882568	0.29582432	Yes	
row_12	PPAN	na	1535	0.16691498458385468	0.31899494	Yes	
row_13	NOP53	na	1628	0.1621401309967041	0.33856738	Yes	
row_14	RPF2	na	1676	0.15989762544631958	0.3603293	Yes	
row_15	RPS15	na	1873	0.1518920511007309	0.37248626	Yes	
row_16	EIF6	na	2173	0.14017489552497864	0.37705976	Yes	
row_17	RPS28	na	2190	0.1394168734550476	0.3974397	Yes	
row_18	MRPL11	na	2284	0.1361532062292099	0.41298932	Yes	
row_19	RPL24	na	2287	0.13613419234752655	0.43365586	Yes	
row_20	RRP7A	na	2396	0.13209311664104462	0.44774184	Yes	
row_21	RPS10P5	na	2453	0.13024626672267914	0.46447152	Yes	
row_22	RPS14	na	2673	0.12389949709177017	0.47106177	Yes	
row_23	RPL10	na	3037	0.11264147609472275	0.46783188	Yes	
row_24	RPLP0	na	3138	0.10969720035791397	0.47894952	Yes	
row_25	MRTO4	na	3203	0.10768389701843262	0.49178526	Yes	
row_26	ERAL1	na	3218	0.10720313340425491	0.50736076	Yes	
row_27	RPL6	na	3224	0.10703423619270325	0.52341676	Yes	
row_28	C1QBP	na	3236	0.10674769431352615	0.5390915	Yes	
row_29	RPL12	na	3261	0.10605912655591965	0.55392975	Yes	
row_30	NPM1	na	3272	0.10587731748819351	0.56952786	Yes	
row_31	NOP2	na	3359	0.1035168245434761	0.5804898	Yes	
row_32	PWP2	na	3370	0.10321474075317383	0.59568155	Yes	
row_33	MRPL22	na	3408	0.10200896859169006	0.60917014	Yes	
row_34	RPL5	na	3483	0.1001475527882576	0.62029296	Yes	
row_35	RRS1	na	3520	0.0993351936340332	0.63342977	Yes	
row_36	ABT1	na	3725	0.09416605532169342	0.6363255	Yes	
row_37	RPL11	na	3869	0.09075332432985306	0.64213234	Yes	
row_38	MRPL20	na	4836	0.06933664530515671	0.59836656	No	
row_39	RSL24D1	na	5215	0.06193690001964569	0.5865534	No	
row_40	RPL3	na	5710	0.05345623195171356	0.5669194	No	
row_41	MTERF4	na	5731	0.05300468951463699	0.5738846	No	
row_42	MRPS7	na	6084	0.04592030122876167	0.5610895	No	
row_43	MRPS2	na	6589	0.03689881041646004	0.5383656	No	
row_44	DDX28	na	6628	0.0363551527261734	0.5417768	No	
row_45	EIF2A	na	6680	0.035189252346754074	0.5442786	No	
row_46	NIP7	na	6838	0.032430604100227356	0.54039556	No	
row_47	MPV17L2	na	6959	0.030086727812886238	0.5382365	No	
row_48	DHX30	na	7412	0.022425057366490364	0.516229	No	
row_49	RPL3L	na	7572	0.01987273246049881	0.5103166	No	
row_50	FASTKD2	na	7739	0.016977062448859215	0.5035685	No	
row_51	MRPS11	na	8042	0.011594090610742569	0.48834702	No	
row_52	VCX	na	8353	0.0067831180058419704	0.47194117	No	
row_53	EFL1	na	9498	-0.014124778099358082	0.40973344	No	
row_54	SBDS	na	10314	-0.029115604236721992	0.36832407	No	
row_55	MTERF3	na	10863	-0.039052803069353104	0.3434534	No	
row_56	NSUN4	na	12313	-0.06751031428575516	0.27223438	No	
row_57	MDN1	na	12811	-0.07766001671552658	0.25612596	No	
row_58	RPS27L	na	13136	-0.0851360559463501	0.25089195	No	
row_59	DDX3X	na	13218	-0.08722732216119766	0.25964883	No	
