NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	EMG1	na	146	0.2994905412197113	0.0019450211	Yes	
row_1	FBLL1	na	277	0.2738286554813385	0.0039222757	Yes	
row_2	RPP30	na	310	0.26920998096466064	0.011326218	Yes	
row_3	NPM3	na	313	0.2689564526081085	0.020431165	Yes	
row_4	RPLP0P6	na	314	0.2688983678817749	0.0296481	Yes	
row_5	NOP56	na	337	0.26514896750450134	0.03748274	Yes	
row_6	RPS21	na	346	0.26448315382003784	0.046092417	Yes	
row_7	FBL	na	388	0.257356196641922	0.052577145	Yes	
row_8	NLE1	na	479	0.2462213635444641	0.055887707	Yes	
row_9	RPS10	na	511	0.24227571487426758	0.06242542	Yes	
row_10	RRP9	na	538	0.23846399784088135	0.069117434	Yes	
row_11	EXOSC5	na	540	0.23831938207149506	0.07722923	Yes	
row_12	FAM207A	na	685	0.22342798113822937	0.07668106	Yes	
row_13	RPL23A	na	723	0.2206314355134964	0.08213495	Yes	
row_14	SUV39H1	na	777	0.21557247638702393	0.08650359	Yes	
row_15	RRP1	na	784	0.2146991789340973	0.09352082	Yes	
row_16	SENP3	na	821	0.21142880618572235	0.09871626	Yes	
row_17	LYAR	na	843	0.209993377327919	0.104717344	Yes	
row_18	BRIX1	na	862	0.2087959200143814	0.110848345	Yes	
row_19	RPS5	na	900	0.20454254746437073	0.11575076	Yes	
row_20	EXOSC1	na	1001	0.1971006840467453	0.11680773	Yes	
row_21	RPL38	na	1006	0.19679155945777893	0.123325124	Yes	
row_22	BYSL	na	1013	0.19639427959918976	0.12971492	Yes	
row_23	NSUN5	na	1060	0.19272184371948242	0.13369925	Yes	
row_24	RRP7BP	na	1074	0.191841259598732	0.13953406	Yes	
row_25	POP7	na	1106	0.1899728775024414	0.144279	Yes	
row_26	RBIS	na	1168	0.18611784279346466	0.14718212	Yes	
row_27	RPL26	na	1170	0.18609853088855743	0.15350397	Yes	
row_28	RPSA	na	1178	0.18559056520462036	0.15946646	Yes	
row_29	METTL16	na	1200	0.18425367772579193	0.16458528	Yes	
row_30	EXOSC4	na	1251	0.1814088672399521	0.16795388	Yes	
row_31	PIH1D1	na	1256	0.18126234412193298	0.17393899	Yes	
row_32	BOP1	na	1280	0.17993125319480896	0.17879565	Yes	
row_33	ZNF622	na	1331	0.17719565331935883	0.18201984	Yes	
row_34	RPS24	na	1338	0.1769651621580124	0.18774368	Yes	
row_35	RPUSD1	na	1426	0.17232654988765717	0.18869233	Yes	
row_36	PELP1	na	1474	0.1701870560646057	0.19184726	Yes	
row_37	RPS19	na	1489	0.16955415904521942	0.19686115	Yes	
row_38	RPS27	na	1493	0.16928613185882568	0.20249274	Yes	
row_39	RPL35A	na	1530	0.16729077696800232	0.20617528	Yes	
row_40	PPAN	na	1535	0.16691498458385468	0.21166861	Yes	
row_41	DDX27	na	1540	0.16677629947662354	0.21715717	Yes	
row_42	RPS16	na	1604	0.16325944662094116	0.2191628	Yes	
row_43	NOP53	na	1628	0.1621401309967041	0.22340967	Yes	
row_44	RPF2	na	1676	0.15989762544631958	0.22621189	Yes	
row_45	RPL27	na	1740	0.1572853922843933	0.22801276	Yes	
row_46	EXOSC7	na	1763	0.1559118926525116	0.23210311	Yes	
row_47	RPS7	na	1778	0.1554761528968811	0.23663446	Yes	
row_48	GTPBP4	na	1782	0.15522125363349915	0.24178395	Yes	
row_49	RPL14	na	1786	0.15517061948776245	0.24693172	Yes	
row_50	WDR46	na	1796	0.15490643680095673	0.25172848	Yes	
row_51	ISG20	na	1848	0.1528325229883194	0.2540606	Yes	
row_52	NOB1	na	1852	0.1525842398405075	0.2591197	Yes	
row_53	RPS15	na	1873	0.1518920511007309	0.26318625	Yes	
row_54	DDX49	na	1893	0.1511511355638504	0.2672844	Yes	
row_55	RPS2	na	1926	0.14997777342796326	0.27060145	Yes	
row_56	NOP58	na	1973	0.14835312962532043	0.27306497	Yes	
row_57	DHX37	na	1974	0.14831680059432983	0.27814877	Yes	
row_58	GEMIN4	na	2069	0.14427843689918518	0.2777371	Yes	
row_59	RPL7	na	2108	0.14256533980369568	0.28045815	Yes	
row_60	AATF	na	2111	0.14246401190757751	0.2852274	Yes	
row_61	RPS17	na	2129	0.14193207025527954	0.2891235	Yes	
row_62	EIF6	na	2173	0.14017489552497864	0.29147768	Yes	
row_63	RPS28	na	2190	0.1394168734550476	0.29534456	Yes	
row_64	LTO1	na	2213	0.13867205381393433	0.298844	Yes	
row_65	DDX10	na	2218	0.13858798146247864	0.3033664	Yes	
row_66	MRPL11	na	2284	0.1361532062292099	0.30432892	Yes	
row_67	RPL24	na	2287	0.13613419234752655	0.30888116	Yes	
row_68	RPP38	na	2301	0.13540464639663696	0.3127815	Yes	
row_69	PES1	na	2318	0.1346724033355713	0.3164858	Yes	
row_70	SNU13	na	2324	0.13441506028175354	0.32080814	Yes	
row_71	MYBBP1A	na	2325	0.134396493434906	0.3254148	Yes	
row_72	RPS9	na	2327	0.13430926203727722	0.32996148	Yes	
row_73	TSR3	na	2334	0.13411039113998413	0.33421642	Yes	
row_74	RRP7A	na	2396	0.13209311664104462	0.33526775	Yes	
row_75	POP4	na	2403	0.13185904920101166	0.33944547	Yes	
row_76	LAS1L	na	2408	0.13173052668571472	0.3437328	Yes	
row_77	REXO4	na	2411	0.13162054121494293	0.34813035	Yes	
row_78	RPL10A	na	2440	0.13071241974830627	0.351015	Yes	
row_79	RPL35	na	2450	0.13027805089950562	0.3549676	Yes	
row_80	RPS10P5	na	2453	0.13024626672267914	0.35931802	Yes	
row_81	EIF4A3	na	2464	0.1299806535243988	0.36320344	Yes	
row_82	MRPL36	na	2491	0.12940585613250732	0.3661573	Yes	
row_83	RPP40	na	2518	0.12858915328979492	0.36908317	Yes	
row_84	MALSU1	na	2523	0.1285267174243927	0.37326068	Yes	
row_85	PDCD11	na	2538	0.12801508605480194	0.37685072	Yes	
row_86	UTP18	na	2540	0.12792234122753143	0.3811785	Yes	
row_87	RIOK1	na	2557	0.1273968368768692	0.3846334	Yes	
row_88	EXOSC8	na	2582	0.12641586363315582	0.38759875	Yes	
row_89	RPP25	na	2588	0.1262860894203186	0.39164245	Yes	
row_90	POP5	na	2606	0.12579144537448883	0.39498535	Yes	
row_91	ZNHIT3	na	2611	0.12569354474544525	0.39906573	Yes	
row_92	NVL	na	2630	0.12521280348300934	0.4023318	Yes	
row_93	RPS14	na	2673	0.12389949709177017	0.4041851	Yes	
row_94	UTP14A	na	2696	0.12281044572591782	0.40714085	Yes	
row_95	NOP10	na	2710	0.12238875031471252	0.41059506	Yes	
row_96	RRP36	na	2714	0.12229704856872559	0.41461602	Yes	
