NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	AURKB	na	15	0.3943713903427124	0.016576435	Yes	
row_1	CDT1	na	33	0.36431536078453064	0.031711493	Yes	
row_2	CDCA5	na	35	0.36397770047187805	0.047737945	Yes	
row_3	PTTG1	na	59	0.3487653434276581	0.06184603	Yes	
row_4	CCNB1	na	78	0.3306625485420227	0.07543743	Yes	
row_5	NEK2	na	103	0.3178350031375885	0.088122144	Yes	
row_6	KIFC1	na	106	0.31509754061698914	0.10193208	Yes	
row_7	PLK1	na	119	0.3114051818847656	0.11501242	Yes	
row_8	KIF2C	na	123	0.308544784784317	0.12847616	Yes	
row_9	DSCC1	na	124	0.30760201811790466	0.14206818	Yes	
row_10	TRIP13	na	129	0.3039973974227905	0.15527435	Yes	
row_11	KIF4A	na	173	0.29429230093955994	0.16584255	Yes	
row_12	CDC20	na	183	0.2914217710494995	0.17820981	Yes	
row_13	TTK	na	261	0.27607688307762146	0.18604721	Yes	
row_14	DSN1	na	267	0.27471739053726196	0.19790293	Yes	
row_15	NUF2	na	295	0.2713779807090759	0.20836492	Yes	
row_16	TACC3	na	304	0.26986634731292725	0.21983635	Yes	
row_17	LCMT1	na	319	0.26851317286491394	0.23090814	Yes	
row_18	BUB1	na	394	0.25687113404273987	0.23806682	Yes	
row_19	ZWINT	na	440	0.25076502561569214	0.2465984	Yes	
row_20	HASPIN	na	464	0.2477513551712036	0.25624296	Yes	
row_21	RMI2	na	471	0.24690860509872437	0.26681325	Yes	
row_22	CDC6	na	474	0.2467428296804428	0.2776028	Yes	
row_23	CDCA8	na	503	0.24301625788211823	0.28675494	Yes	
row_24	KIF18B	na	526	0.2406197339296341	0.29614103	Yes	
row_25	SGO2	na	539	0.23838524520397186	0.3059948	Yes	
row_26	MAD2L1	na	558	0.23652295768260956	0.31542647	Yes	
row_27	RAD51C	na	561	0.23600667715072632	0.32574162	Yes	
row_28	NCAPH	na	585	0.23366384208202362	0.3347637	Yes	
row_29	NDC80	na	636	0.2283315658569336	0.34202078	Yes	
row_30	SGO1	na	663	0.22545400261878967	0.35051018	Yes	
row_31	PRC1	na	664	0.2252463698387146	0.36046314	Yes	
row_32	SPDL1	na	760	0.2170286476612091	0.36467177	Yes	
row_33	CENPF	na	769	0.2159704864025116	0.3737617	Yes	
row_34	RACGAP1	na	786	0.2145034819841385	0.38233367	Yes	
row_35	DLGAP5	na	795	0.21401818096637726	0.39133734	Yes	
row_36	NCAPG	na	857	0.20928460359573364	0.3971297	Yes	
row_37	TOP2A	na	944	0.2008243352174759	0.4011321	Yes	
row_38	NUSAP1	na	971	0.1989731788635254	0.4084514	Yes	
row_39	SPAG5	na	986	0.1977578103542328	0.4163967	Yes	
row_40	STAG3L4	na	1011	0.1964827924966812	0.42371923	Yes	
row_41	ESPL1	na	1066	0.19258365035057068	0.42917013	Yes	
row_42	KIF23	na	1082	0.19126980006694794	0.4367721	Yes	
row_43	FEN1	na	1110	0.18952886760234833	0.44361743	Yes	
row_44	KIF18A	na	1120	0.18882864713668823	0.45145142	Yes	
row_45	BUB1B	na	1138	0.18775728344917297	0.4587849	Yes	
row_46	MAPK15	na	1259	0.18115776777267456	0.4599924	Yes	
row_47	NCAPD2	na	1270	0.1804589480161667	0.4673999	Yes	
row_48	NSMCE2	na	1286	0.17975807189941406	0.4744932	Yes	
row_49	NCAPH2	na	1292	0.17935845255851746	0.4821353	Yes	
row_50	KIF22	na	1308	0.17870651185512543	0.48918214	Yes	
row_51	XRCC3	na	1412	0.17291095852851868	0.4909882	Yes	
row_52	KIF14	na	1455	0.17080873250961304	0.49615666	Yes	
row_53	NUP62	na	1506	0.16831594705581665	0.5007618	Yes	
row_54	PSRC1	na	1516	0.1679786592721939	0.5076745	Yes	
row_55	MSTO1	na	1532	0.16727440059185028	0.5142162	Yes	
row_56	ANAPC11	na	1575	0.16454631090164185	0.51910794	Yes	
row_57	DDX11	na	1671	0.16002081334590912	0.52079755	Yes	
row_58	NAA10	na	1682	0.15982386469841003	0.52729326	Yes	
row_59	PPP2R1A	na	1721	0.15801919996738434	0.5321232	Yes	
row_60	CHMP4B	na	2338	0.13394011557102203	0.5031487	No	
row_61	AKAP8L	na	2419	0.13138821721076965	0.5044228	No	
row_62	MAD1L1	na	2552	0.1274661123752594	0.5025781	No	
row_63	FBXO5	na	2646	0.1247122660279274	0.5028208	No	
row_64	ANAPC1	na	2660	0.12418170273303986	0.50757164	No	
row_65	MRE11	na	2811	0.11936645209789276	0.5043494	No	
row_66	CHMP6	na	2927	0.11568715423345566	0.5029472	No	
row_67	CHMP2A	na	2933	0.11556220799684525	0.5077703	No	
row_68	ESCO2	na	2974	0.1145254373550415	0.5105651	No	
row_69	MAD2L2	na	3158	0.10916375368833542	0.50502276	No	
row_70	AURKC	na	3253	0.10633298009634018	0.50439674	No	
row_71	CENPE	na	3291	0.10542203485965729	0.5069592	No	
row_72	KNSTRN	na	3399	0.10225759446620941	0.5054167	No	
row_73	CENPK	na	3411	0.10183316469192505	0.5092933	No	
row_74	RRS1	na	3520	0.0993351936340332	0.5075651	No	
row_75	CHMP1A	na	3569	0.09795509278774261	0.50917447	No	
row_76	BUB3	na	3698	0.09481555223464966	0.5061136	No	
row_77	BOD1	na	3744	0.09369049966335297	0.5077045	No	
row_78	VPS4A	na	3856	0.09111900627613068	0.5054433	No	
row_79	AKAP8	na	3978	0.0884331539273262	0.5024969	No	
row_80	DYNC1LI1	na	4030	0.08747491985559464	0.5034733	No	
row_81	SMC1B	na	4056	0.08676550537347794	0.5058911	No	
row_82	RAN	na	4313	0.08081188052892685	0.49496096	No	
row_83	DDX12P	na	4796	0.07008452713489532	0.4707552	No	
row_84	CHMP4A	na	4879	0.0685800090432167	0.4691407	No	
row_85	TUBG1	na	4880	0.06857691705226898	0.47217092	No	
row_86	PSMG2	na	4901	0.06816444545984268	0.47405002	No	
row_87	SLF2	na	4919	0.06767588108778	0.47607744	No	
row_88	PHF23	na	5240	0.06150806322693825	0.4606691	No	
row_89	REC8	na	5298	0.060536663979291916	0.4601153	No	
row_90	NAA50	na	5307	0.060320381075143814	0.46232754	No	
row_91	PCID2	na	5335	0.05972052738070488	0.46343702	No	
row_92	MACROH2A1	na	5347	0.059458255767822266	0.4654412	No	
row_93	HNRNPU	na	5496	0.05700473114848137	0.4595767	No	
row_94	RAD21	na	5839	0.05084073171019554	0.44245082	No	
row_95	SEH1L	na	5843	0.050800662487745285	0.44452563	No	
row_96	POGZ	na	5880	0.050047844648361206	0.4446979	No	
row_97	NSL1	na	5925	0.048876624554395676	0.44436526	No	
row_98	MCMBP	na	5961	0.04827854409813881	0.44451597	No	
row_99	CHMP4C	na	6001	0.04760519415140152	0.44441038	No	
row_100	KPNB1	na	6009	0.0475221686065197	0.44611374	No	
row_101	INCENP	na	6231	0.04341832920908928	0.43551385	No	
row_102	SFPQ	na	6323	0.04139209911227226	0.4321882	No	
row_103	IK	na	6344	0.04096495360136032	0.43286544	No	
row_104	RAB11A	na	6499	0.03843965381383896	0.42584074	No	
row_105	KATNB1	na	6554	0.03745878115296364	0.42443714	No	
row_106	NEK6	na	6591	0.03685522824525833	0.42402646	No	
row_107	ZNF207	na	6685	0.035127121955156326	0.4203107	No	
row_108	ANAPC5	na	6686	0.03511760011315346	0.42186245	No	
row_109	PHB2	na	6782	0.033523350954055786	0.41796252	No	
row_110	WAPL	na	6801	0.033103641122579575	0.41840568	No	
row_111	PINX1	na	7131	0.027096057310700417	0.40096697	No	
row_112	KLHL22	na	7422	0.022319525480270386	0.38552633	No	
row_113	CDC26	na	7719	0.017295699566602707	0.36952382	No	
row_114	HIRA	na	7859	0.01494603231549263	0.36231068	No	
row_115	ANAPC4	na	7896	0.014411565847694874	0.3609083	No	
row_116	MAU2	na	8080	0.011102954857051373	0.35103297	No	
row_117	CHMP7	na	8221	0.008965501561760902	0.34349892	No	
row_118	ZW10	na	8414	0.0054900022223591805	0.33286577	No	
row_119	CTCF	na	8431	0.0050466665998101234	0.33218247	No	
row_120	CHMP2B	na	8599	0.002238342771306634	0.32282177	No	
row_121	TUBG2	na	8682	6.890465156175196E-4	0.31820738	No	
row_122	TOP2B	na	8783	-8.334707235917449E-4	0.31257975	No	
row_123	STAG3	na	8885	-0.002932491945102811	0.30698827	No	
row_124	KIF25	na	8890	-0.003095524851232767	0.30689847	No	
row_125	ANAPC15	na	8995	-0.005103341303765774	0.30123296	No	
row_126	DIS3L2	na	8996	-0.005107514094561338	0.30145863	No	
row_127	HDAC8	na	9059	-0.006260192487388849	0.29822332	No	
row_128	PDS5A	na	9105	-0.006946028675884008	0.29598123	No	
row_129	ANKRD53	na	9188	-0.008378813974559307	0.29170662	No	
