NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RPL36A	na	20	0.380055695772171	0.016167289	Yes	
row_1	TFAP4	na	232	0.28112438321113586	0.017003946	Yes	
row_2	RPL39	na	262	0.27577099204063416	0.02791378	Yes	
row_3	RPS21	na	346	0.26448315382003784	0.035248715	Yes	
row_4	RPS10	na	511	0.24227571487426758	0.03698114	Yes	
row_5	RAE1	na	527	0.2402547150850296	0.047067795	Yes	
row_6	RPL23A	na	723	0.2206314355134964	0.046057653	Yes	
row_7	RPL18A	na	812	0.21260909736156464	0.05074773	Yes	
row_8	RPS5	na	900	0.20454254746437073	0.055127285	Yes	
row_9	NELFE	na	936	0.20177267491817474	0.062328428	Yes	
row_10	TRIM11	na	956	0.19980767369270325	0.0703471	Yes	
row_11	RPL36	na	988	0.19773724675178528	0.077591285	Yes	
row_12	RPL38	na	1006	0.19679155945777893	0.08558603	Yes	
row_13	RPS12	na	1057	0.19280105829238892	0.09152847	Yes	
row_14	POLR2H	na	1080	0.1915348321199417	0.09900048	Yes	
row_15	RPL28	na	1115	0.1892320066690445	0.10568743	Yes	
row_16	RPLP2	na	1118	0.18903173506259918	0.11417922	Yes	
row_17	NUP37	na	1124	0.18866391479969025	0.1224842	Yes	
row_18	RPL17	na	1133	0.18804612755775452	0.130591	Yes	
row_19	NUP43	na	1141	0.1876537948846817	0.13873664	Yes	
row_20	RPL26	na	1170	0.18609853088855743	0.14562106	Yes	
row_21	RPSA	na	1178	0.18559056520462036	0.15367277	Yes	
row_22	NUP93	na	1265	0.18089476227760315	0.1570325	Yes	
row_23	POLR2I	na	1307	0.17871174216270447	0.16284375	Yes	
row_24	RPS24	na	1338	0.1769651621580124	0.16919902	Yes	
row_25	RPL37A	na	1349	0.1763157695531845	0.17665847	Yes	
row_26	RPL27A	na	1386	0.1741485744714737	0.18254541	Yes	
row_27	RPL18	na	1458	0.1707325428724289	0.18629283	Yes	
row_28	RPL32	na	1469	0.17034393548965454	0.19348042	Yes	
row_29	RPS19	na	1489	0.16955415904521942	0.20012188	Yes	
row_30	RPS27	na	1493	0.16928613185882568	0.20765811	Yes	
row_31	NUP62	na	1506	0.16831594705581665	0.21464002	Yes	
row_32	RPL41	na	1508	0.16817106306552887	0.22223887	Yes	
row_33	RPL35A	na	1530	0.16729077696800232	0.22866392	Yes	
row_34	RPS27A	na	1562	0.16554118692874908	0.23444246	Yes	
row_35	RPS11	na	1580	0.16445454955101013	0.24096514	Yes	
row_36	RPS29	na	1587	0.16407263278961182	0.24809399	Yes	
row_37	RPS16	na	1604	0.16325944662094116	0.25461897	Yes	
row_38	RPL37	na	1627	0.16215495765209198	0.26075354	Yes	
row_39	POLR2J	na	1705	0.1586054265499115	0.26360878	Yes	
row_40	RPL27	na	1740	0.1572853922843933	0.26884145	Yes	
row_41	RPS7	na	1778	0.1554761528968811	0.2738217	Yes	
row_42	RPL14	na	1786	0.15517061948776245	0.2804886	Yes	
row_43	HMGA2	na	1799	0.15475980937480927	0.2868534	Yes	
row_44	RPL13A	na	1854	0.15253408253192902	0.29073608	Yes	
row_45	RPL8	na	1866	0.15213781595230103	0.2970382	Yes	
row_46	RPS15	na	1873	0.1518920511007309	0.30361253	Yes	
row_47	RPS18	na	1892	0.15117549896240234	0.30947405	Yes	
row_48	RPS13	na	1917	0.1503174602985382	0.31495637	Yes	
row_49	RPS2	na	1926	0.14997777342796326	0.32133022	Yes	
row_50	RPL9	na	1964	0.14864054322242737	0.3259993	Yes	
row_51	RPS15A	na	2052	0.1452481746673584	0.32767963	Yes	
row_52	RPL23	na	2066	0.14437730610370636	0.3335151	Yes	
row_53	RPL30	na	2095	0.14339113235473633	0.33845538	Yes	
row_54	RPL31	na	2107	0.14266474545001984	0.34432626	Yes	
row_55	RPL7	na	2108	0.14256533980369568	0.35081616	Yes	
row_56	NELFCD	na	2113	0.14239676296710968	0.35707167	Yes	
row_57	RPS17	na	2129	0.14193207025527954	0.36268243	Yes	
row_58	RPL29	na	2134	0.14166119694709778	0.36890444	Yes	
row_59	RPS3	na	2163	0.14037960767745972	0.37370762	Yes	
row_60	MCTS1	na	2176	0.1401222199201584	0.3794061	Yes	
row_61	TAF11	na	2189	0.13949771225452423	0.3850761	Yes	
row_62	RPS28	na	2190	0.1394168734550476	0.3914227	Yes	
row_63	RPS4X	na	2210	0.1389683037996292	0.3966718	Yes	
row_64	UBA52	na	2220	0.13853497803211212	0.40246806	Yes	
row_65	NUP85	na	2241	0.13804596662521362	0.40761852	Yes	
row_66	RPL21	na	2248	0.13778063654899597	0.4135505	Yes	
row_67	RPL24	na	2287	0.13613419234752655	0.41759357	Yes	
row_68	RPS23	na	2298	0.13566699624061584	0.42320257	Yes	
row_69	RPS9	na	2327	0.13430926203727722	0.42772943	Yes	
row_70	EIF3B	na	2336	0.13402408361434937	0.43337703	Yes	
row_71	RPL13	na	2391	0.13230441510677338	0.43633878	Yes	
row_72	TARBP2	na	2424	0.1312139928340912	0.440498	Yes	
row_73	RPL10A	na	2440	0.13071241974830627	0.44559804	Yes	
row_74	RPL35	na	2450	0.13027805089950562	0.4510184	Yes	
row_75	RPLP1	na	2476	0.1296459287405014	0.45550305	Yes	
row_76	NUP155	na	2486	0.12945209443569183	0.46088582	Yes	
row_77	RPS14	na	2673	0.12389949709177017	0.4559824	Yes	
row_78	RPS3A	na	2679	0.12344777584075928	0.46131858	Yes	
row_79	RPS25	na	2690	0.12297889590263367	0.46635002	Yes	
row_80	EIF3D	na	2708	0.12241367250680923	0.4709589	Yes	
row_81	RPS8	na	2763	0.12091497331857681	0.47340217	Yes	
row_82	RPL22	na	2848	0.11828912794589996	0.47402534	Yes	
row_83	RPS26	na	2873	0.11740526556968689	0.47800943	Yes	
row_84	NUP210	na	2922	0.11579477787017822	0.48055974	Yes	
row_85	EIF3F	na	2949	0.11518679559230804	0.48432946	Yes	
row_86	RPL10	na	3037	0.11264147609472275	0.48452547	Yes	
row_87	RPS20	na	3093	0.11108367890119553	0.48646453	Yes	
row_88	RPLP0	na	3138	0.10969720035791397	0.488964	Yes	
row_89	SMARCB1	na	3184	0.1084081158041954	0.49134812	Yes	
row_90	SUPT5H	na	3215	0.10731237381696701	0.49453264	Yes	
row_91	RPL6	na	3224	0.10703423619270325	0.49895158	Yes	
row_92	RPL12	na	3261	0.10605912655591965	0.50173897	Yes	
row_93	USF1	na	3375	0.10310042649507523	0.50002676	Yes	
row_94	RPL7A	na	3443	0.10105722397565842	0.50082916	Yes	
row_95	RPS6	na	3466	0.100635826587677	0.50416327	Yes	
row_96	SUPT4H1	na	3475	0.10026556998491287	0.5082741	Yes	
row_97	EIF3G	na	3476	0.10023634880781174	0.51283705	Yes	
row_98	RPL5	na	3483	0.1001475527882576	0.5170559	Yes	
row_99	POLR2G	na	3606	0.09711162000894547	0.51456094	Yes	
row_100	RPL19	na	3764	0.093316450715065	0.5099092	Yes	
row_101	RPL11	na	3869	0.09075332432985306	0.50814515	Yes	
row_102	INPP5K	na	3892	0.0902974009513855	0.51100856	Yes	
row_103	POLR2K	na	3893	0.09028893709182739	0.5151188	Yes	
row_104	SSB	na	3923	0.08960755914449692	0.517554	Yes	
row_105	RPL15	na	3927	0.08955656737089157	0.5214608	Yes	
row_106	RPL4	na	3930	0.08945966511964798	0.5254198	Yes	
row_107	POLR2D	na	3973	0.0885336697101593	0.5270692	Yes	
row_108	HDAC1	na	4062	0.08665476739406586	0.5260256	Yes	
row_109	DENR	na	4171	0.08392030000686646	0.5237237	Yes	
row_110	NUP133	na	4193	0.08331179618835449	0.5263259	Yes	
row_111	RPL34	na	4214	0.08279118686914444	0.528961	Yes	
row_112	GTF2F2	na	4358	0.07991039007902145	0.52449256	No	
row_113	NDC1	na	4560	0.07507848739624023	0.5165164	No	
row_114	NELFA	na	4757	0.07080747187137604	0.50862926	No	
row_115	POLR2L	na	4792	0.07012003660202026	0.50989395	No	
row_116	POM121C	na	4916	0.06774057447910309	0.5060053	No	
row_117	SMARCA4	na	4939	0.067427858710289	0.50782764	No	
row_118	GTF2F1	na	4976	0.06659391522407532	0.50881845	No	
row_119	NUP35	na	5088	0.06442900747060776	0.50545925	No	
row_120	POLR2C	na	5176	0.06274058669805527	0.50338364	No	
row_121	SEC13	na	5219	0.06188498064875603	0.50381994	No	
row_122	NUCKS1	na	5487	0.0571417436003685	0.491286	No	
row_123	AAAS	na	5545	0.056202758103609085	0.49061337	No	
row_124	USF2	na	5556	0.055966489017009735	0.49259424	No	
row_125	NELFB	na	5572	0.05568065121769905	0.49427864	No	
row_126	RRP1B	na	5599	0.05533253028988838	0.4953237	No	
row_127	IFITM3	na	5621	0.05486692115664482	0.49663094	No	
row_128	TRIM27	na	5648	0.05432142689824104	0.49762994	No	
row_129	RPL3	na	5710	0.05345623195171356	0.49660555	No	
row_130	SEH1L	na	5843	0.050800662487745285	0.49143553	No	
row_131	PSMC3	na	6205	0.043890513479709625	0.47296983	No	
row_132	PTBP1	na	6285	0.042208295315504074	0.47041306	No	
row_133	POU2F3	na	6507	0.03831900283694267	0.45962977	No	
row_134	NUP88	na	6521	0.03812527284026146	0.46062842	No	
row_135	TARDBP	na	6657	0.03567571938037872	0.45459983	No	
row_136	NUP205	na	6675	0.035310544073581696	0.4552436	No	
row_137	NUP107	na	6863	0.03183368965983391	0.44609243	No	
row_138	PCBP2	na	6915	0.030817104503512383	0.44460428	No	
row_139	TRIM8	na	7184	0.026184143498539925	0.43060437	No	
row_140	EIF2D	na	7379	0.023118700832128525	0.4206597	No	
