NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	GSTO2	na	443	0.2502838373184204	-0.008092538	No	
row_1	CYP2W1	na	730	0.22004172205924988	-0.00936864	No	
row_2	NQO1	na	1976	0.148248091340065	-0.069607355	No	
row_3	CYP26B1	na	2761	0.12113156169652939	-0.1056647	No	
row_4	HSP90AB1	na	2970	0.11462362855672836	-0.10965963	No	
row_5	STAT5A	na	3492	0.10002216696739197	-0.13230243	No	
row_6	ARNT2	na	3767	0.09328478574752808	-0.14146282	No	
row_7	PTGES3	na	3768	0.09326609969139099	-0.13516344	No	
row_8	PHGDH	na	4209	0.08291032910346985	-0.15439142	No	
row_9	CYP2S1	na	4491	0.07645010948181152	-0.16508384	No	
row_10	GSTO1	na	4643	0.07322409003973007	-0.16865863	No	
row_11	AIP	na	4689	0.07229458540678024	-0.16631493	No	
row_12	AKR1C1	na	5132	0.06363911926746368	-0.18695737	No	
row_13	GGT1	na	5196	0.06232529133558273	-0.18630272	No	
row_14	CBR3	na	5431	0.05812531337141991	-0.19558075	No	
row_15	MGST3	na	5725	0.053081315010786057	-0.20852867	No	
row_16	UGT1A10	na	6480	0.03872830420732498	-0.24845886	No	
row_17	CYP2R1	na	6498	0.038465093821287155	-0.24682012	No	
row_18	GUK1	na	6717	0.034644775092601776	-0.25678125	No	
row_19	CYP3A7	na	6926	0.030542442575097084	-0.26645517	No	
row_20	GSTM3	na	7118	0.027317935600876808	-0.27538764	No	
row_21	DPEP1	na	7307	0.024222055450081825	-0.2843599	No	
row_22	AHRR	na	7650	0.018492255359888077	-0.30240896	No	
row_23	CYB5B	na	7974	0.013129145838320255	-0.31974813	No	
row_24	AKR7A2	na	8779	-8.060807595029473E-4	-0.365061	No	
row_25	SULT1A2	na	8936	-0.0037903671618551016	-0.37360764	No	
row_26	GSTP1	na	9179	-0.008212449960410595	-0.3867083	No	
row_27	GSTA4	na	9606	-0.01601051725447178	-0.40966484	No	
row_28	N6AMT1	na	9838	-0.020158052444458008	-0.42133796	No	
row_29	CYB5R3	na	10112	-0.025238238275051117	-0.4350379	No	
row_30	ARNT	na	10184	-0.026656460016965866	-0.43724382	No	
row_31	PTGS1	na	10230	-0.02727552317082882	-0.43794078	No	
row_32	GSTA2	na	10477	-0.03223247826099396	-0.4496448	No	
row_33	CES3	na	10594	-0.03405274078249931	-0.45389035	No	
row_34	CYP2E1	na	10839	-0.03861165791749954	-0.46505064	No	
row_35	GSTA1	na	10873	-0.03916439041495323	-0.4642675	No	
row_36	CYP2A13	na	11583	-0.052575938403606415	-0.5007232	No	
row_37	UGT2B11	na	11620	-0.05346313491463661	-0.49914357	No	
row_38	FMO1	na	11712	-0.05535868927836418	-0.50053936	No	
row_39	NQO2	na	11721	-0.055477600544691086	-0.49724373	No	
row_40	STAT5B	na	11934	-0.0599697083234787	-0.5051558	No	
row_41	CYP3A5	na	11953	-0.06036944314837456	-0.50209403	No	
row_42	AOC2	na	12092	-0.06325086206197739	-0.50560886	No	
row_43	CYP2C19	na	12195	-0.0652686357498169	-0.5069561	No	
row_44	POR	na	12254	-0.06652691215276718	-0.5057355	No	
row_45	UGT1A7	na	12759	-0.07642161846160889	-0.52901304	No	
row_46	SULT1A1	na	12849	-0.07841437309980392	-0.5287388	No	
row_47	GSTM1	na	13150	-0.08577938377857208	-0.53987324	Yes	
row_48	EPHX1	na	13196	-0.08679550886154175	-0.5365501	Yes	
row_49	CYP2D6	na	13204	-0.08690056949853897	-0.53107566	Yes	
row_50	ALDH3A1	na	13368	-0.09104564040899277	-0.5341239	Yes	
row_51	ACSM1	na	13571	-0.0959395170211792	-0.53904223	Yes	
row_52	BPHL	na	13630	-0.09733397513628006	-0.53574085	Yes	
row_53	HNF4A	na	13775	-0.10052812099456787	-0.5370765	Yes	
row_54	MGST2	na	13827	-0.10197428613901138	-0.53306675	Yes	
row_55	UGT2B28	na	13882	-0.10344626754522324	-0.5291268	Yes	
row_56	GSTM2	na	14009	-0.10676290839910507	-0.5290257	Yes	
row_57	CYP2A7	na	14013	-0.107024185359478	-0.52196634	Yes	
row_58	ACAA1	na	14133	-0.11009323596954346	-0.52124524	Yes	
row_59	AS3MT	na	14195	-0.11152558773756027	-0.5171547	Yes	
row_60	CYP2C9	na	14289	-0.1140543594956398	-0.5146989	Yes	
row_61	UGT1A8	na	14531	-0.11973569542169571	-0.5202107	Yes	
row_62	RORC	na	14556	-0.12037312984466553	-0.5134347	Yes	
row_63	AHR	na	14727	-0.12615956366062164	-0.5145062	Yes	
row_64	ACY1	na	14777	-0.12794382870197296	-0.5086296	Yes	
row_65	CDO1	na	14836	-0.12974663078784943	-0.503139	Yes	
row_66	CYP2A6	na	15128	-0.1388426274061203	-0.5101816	Yes	
row_67	PON3	na	15167	-0.13989777863025665	-0.5028769	Yes	
row_68	GSTM4	na	15215	-0.1417100727558136	-0.49595758	Yes	
row_69	MGST1	na	15256	-0.14303629100322723	-0.48855373	Yes	
row_70	CYP2D7	na	15355	-0.1462731957435608	-0.48420402	Yes	
row_71	BAAT	na	15370	-0.14705024659633636	-0.47506195	Yes	
row_72	UGT2B15	na	15445	-0.14940908551216125	-0.46914616	Yes	
row_73	ACSM2B	na	15472	-0.15033400058746338	-0.46045944	Yes	
row_74	NAT1	na	15615	-0.15489476919174194	-0.4580102	Yes	
row_75	AKR7L	na	15631	-0.1555360108613968	-0.4483514	Yes	
row_76	CYP2J2	na	15644	-0.15597406029701233	-0.43849376	Yes	
row_77	CES1	na	15861	-0.1646379679441452	-0.43956202	Yes	
row_78	CES2	na	15923	-0.16666831076145172	-0.431747	Yes	
row_79	CYP1A1	na	16161	-0.17674916982650757	-0.43318224	Yes	
row_80	UGT1A6	na	16163	-0.17690937221050262	-0.42128986	Yes	
row_81	UGT1A9	na	16164	-0.17705976963043213	-0.4093309	Yes	
row_82	CYP2C18	na	16170	-0.17718522250652313	-0.39764562	Yes	
row_83	AADAC	na	16201	-0.17903386056423187	-0.38724616	Yes	
row_84	CRYZ	na	16206	-0.17945370078086853	-0.37535122	Yes	
row_85	AOC3	na	16253	-0.18262167274951935	-0.36561224	Yes	
row_86	CYP2B6	na	16439	-0.19134807586669922	-0.36312723	Yes	
row_87	BCHE	na	16513	-0.19495439529418945	-0.35407883	Yes	
row_88	CYP46A1	na	16519	-0.1952163130044937	-0.3411757	Yes	
row_89	AOC1	na	16621	-0.20032475888729095	-0.33334452	Yes	
row_90	CYP1A2	na	16698	-0.20581145584583282	-0.32373208	Yes	
row_91	UGT1A1	na	16756	-0.2092658281326294	-0.3128142	Yes	
row_92	AKR7A3	na	16792	-0.21197892725467682	-0.3004717	Yes	
row_93	EPHX2	na	16824	-0.2139517068862915	-0.28777024	Yes	
