NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GO_MONOCARBOXYLIC_ACID_CATABOLIC_PROCESS	GO_MONOCARBOXYLIC_ACID_CATABOLIC_PROCESS	Details ...	123	-0.5795576	-2.583868	0.0	0.0	0.0	4173	tags=59%, list=23%, signal=77%	
GO_ORGANIC_ACID_CATABOLIC_PROCESS	GO_ORGANIC_ACID_CATABOLIC_PROCESS	Details ...	259	-0.5302875	-2.5759645	0.0	0.0	0.0	4173	tags=53%, list=23%, signal=69%	
GO_FATTY_ACID_CATABOLIC_PROCESS	GO_FATTY_ACID_CATABOLIC_PROCESS	Details ...	101	-0.58247864	-2.509344	0.0	0.0	0.0	4291	tags=59%, list=24%, signal=78%	
GO_CELLULAR_AMINO_ACID_CATABOLIC_PROCESS	GO_CELLULAR_AMINO_ACID_CATABOLIC_PROCESS	Details ...	117	-0.5449042	-2.455869	0.0	0.0	0.0	3457	tags=50%, list=19%, signal=62%	
GO_XENOBIOTIC_METABOLIC_PROCESS	GO_XENOBIOTIC_METABOLIC_PROCESS	Details ...	112	-0.54566693	-2.4032035	0.0	0.0	0.0	4685	tags=58%, list=26%, signal=78%	
GO_REGULATION_OF_TUBE_SIZE	GO_REGULATION_OF_TUBE_SIZE	Details ...	118	-0.5396019	-2.4025955	0.0	0.0	0.0	3907	tags=47%, list=22%, signal=59%	
GO_FATTY_ACID_METABOLIC_PROCESS	GO_FATTY_ACID_METABOLIC_PROCESS	Details ...	339	-0.46771696	-2.368738	0.0	0.0	0.0	3882	tags=42%, list=22%, signal=53%	
GO_CELLULAR_LIPID_CATABOLIC_PROCESS	GO_CELLULAR_LIPID_CATABOLIC_PROCESS	Details ...	195	-0.4960577	-2.3547752	0.0	0.0	0.0	4321	tags=50%, list=24%, signal=66%	
GO_ALPHA_AMINO_ACID_CATABOLIC_PROCESS	GO_ALPHA_AMINO_ACID_CATABOLIC_PROCESS	Details ...	99	-0.5509233	-2.349789	0.0	0.0	0.0	4852	tags=63%, list=27%, signal=86%	
GO_LIPID_OXIDATION	GO_LIPID_OXIDATION	Details ...	99	-0.5288189	-2.2917476	0.0	1.2131716E-4	0.001	4512	tags=54%, list=25%, signal=71%	
GO_VASCULAR_PROCESS_IN_CIRCULATORY_SYSTEM	GO_VASCULAR_PROCESS_IN_CIRCULATORY_SYSTEM	Details ...	146	-0.49745697	-2.2801225	0.0	1.10288325E-4	0.001	3907	tags=45%, list=22%, signal=57%	
GO_LIPID_CATABOLIC_PROCESS	GO_LIPID_CATABOLIC_PROCESS	Details ...	286	-0.46299785	-2.273867	0.0	2.0250282E-4	0.002	3766	tags=42%, list=21%, signal=52%	
GO_SMALL_MOLECULE_CATABOLIC_PROCESS	GO_SMALL_MOLECULE_CATABOLIC_PROCESS	Details ...	410	-0.44243082	-2.2679868	0.0	1.8692568E-4	0.002	4173	tags=44%, list=23%, signal=57%	
GO_REGULATION_OF_VASOCONSTRICTION	GO_REGULATION_OF_VASOCONSTRICTION	Details ...	51	-0.5839689	-2.2340026	0.0	6.072016E-4	0.007	3907	tags=53%, list=22%, signal=68%	
GO_NEGATIVE_REGULATION_OF_BLOOD_VESSEL_DIAMETER	GO_NEGATIVE_REGULATION_OF_BLOOD_VESSEL_DIAMETER	Details ...	71	-0.5461975	-2.2102582	0.0	5.667215E-4	0.007	3907	tags=49%, list=22%, signal=63%	
GO_CELLULAR_RESPONSE_TO_XENOBIOTIC_STIMULUS	GO_CELLULAR_RESPONSE_TO_XENOBIOTIC_STIMULUS	Details ...	164	-0.46936405	-2.20328	0.0	8.3659077E-4	0.011	4685	tags=54%, list=26%, signal=73%	
GO_TRIGLYCERIDE_METABOLIC_PROCESS	GO_TRIGLYCERIDE_METABOLIC_PROCESS	Details ...	87	-0.51835	-2.1891844	0.0	0.0010048443	0.014	4229	tags=52%, list=24%, signal=67%	
GO_FATTY_ACID_BETA_OXIDATION	GO_FATTY_ACID_BETA_OXIDATION	Details ...	69	-0.5446059	-2.183608	0.0	0.0010176672	0.015	5221	tags=62%, list=29%, signal=88%	
GO_LONG_CHAIN_FATTY_ACID_METABOLIC_PROCESS	GO_LONG_CHAIN_FATTY_ACID_METABOLIC_PROCESS	Details ...	96	-0.50989723	-2.1657043	0.0	0.0014776783	0.022	3826	tags=47%, list=21%, signal=59%	
GO_NEUROTRANSMITTER_METABOLIC_PROCESS	GO_NEUROTRANSMITTER_METABOLIC_PROCESS	Details ...	126	-0.48702127	-2.1632185	0.0	0.0014037944	0.022	3789	tags=44%, list=21%, signal=56%	
GO_ALPHA_AMINO_ACID_METABOLIC_PROCESS	GO_ALPHA_AMINO_ACID_METABOLIC_PROCESS		189	-0.4599833	-2.158051	0.0	0.0015090656	0.025	3457	tags=40%, list=19%, signal=49%	
GO_ETHANOL_METABOLIC_PROCESS	GO_ETHANOL_METABOLIC_PROCESS		19	-0.7047305	-2.1154563	0.0	0.0026050534	0.044	2323	tags=58%, list=13%, signal=66%	
GO_DRUG_CATABOLIC_PROCESS	GO_DRUG_CATABOLIC_PROCESS		117	-0.47495413	-2.0982955	0.0	0.0035001345	0.063	4024	tags=47%, list=23%, signal=60%	
GO_PROTEIN_ACTIVATION_CASCADE	GO_PROTEIN_ACTIVATION_CASCADE		24	-0.65139204	-2.096266	0.0	0.0035086188	0.066	3998	tags=67%, list=22%, signal=86%	
GO_URONIC_ACID_METABOLIC_PROCESS	GO_URONIC_ACID_METABOLIC_PROCESS		23	-0.6673748	-2.089416	0.0	0.0036136033	0.071	2441	tags=61%, list=14%, signal=70%	
GO_RETINOIC_ACID_METABOLIC_PROCESS	GO_RETINOIC_ACID_METABOLIC_PROCESS		30	-0.6149513	-2.0810087	0.0	0.0038962667	0.08	2760	tags=53%, list=15%, signal=63%	
GO_LIPID_MODIFICATION	GO_LIPID_MODIFICATION		232	-0.4283097	-2.0776615	0.0	0.0038868613	0.083	3854	tags=37%, list=22%, signal=47%	
GO_PRIMARY_ALCOHOL_METABOLIC_PROCESS	GO_PRIMARY_ALCOHOL_METABOLIC_PROCESS		80	-0.5073585	-2.0733123	0.0	0.0039666397	0.088	3084	tags=41%, list=17%, signal=50%	
GO_POSITIVE_REGULATION_OF_VASOCONSTRICTION	GO_POSITIVE_REGULATION_OF_VASOCONSTRICTION		29	-0.6121352	-2.068492	0.0	0.0044199917	0.102	3907	tags=62%, list=22%, signal=79%	
GO_BRANCHED_CHAIN_AMINO_ACID_METABOLIC_PROCESS	GO_BRANCHED_CHAIN_AMINO_ACID_METABOLIC_PROCESS		20	-0.6821208	-2.0619178	0.0	0.004881999	0.116	3095	tags=70%, list=17%, signal=85%	
GO_CELLULAR_GLUCURONIDATION	GO_CELLULAR_GLUCURONIDATION		18	-0.6908011	-2.0542822	0.0	0.0055874498	0.136	2441	tags=61%, list=14%, signal=71%	
GO_NEUTRAL_LIPID_METABOLIC_PROCESS	GO_NEUTRAL_LIPID_METABOLIC_PROCESS		109	-0.47047442	-2.052334	0.0	0.005526401	0.139	3759	tags=45%, list=21%, signal=57%	
GO_ACUTE_PHASE_RESPONSE	GO_ACUTE_PHASE_RESPONSE		42	-0.5634778	-2.0518909	0.0	0.005395242	0.14	4819	tags=60%, list=27%, signal=81%	
GO_THIOESTER_METABOLIC_PROCESS	GO_THIOESTER_METABOLIC_PROCESS		100	-0.47836688	-2.0442145	0.0	0.0061027496	0.159	4671	tags=49%, list=26%, signal=66%	
GO_ORGANIC_HYDROXY_COMPOUND_METABOLIC_PROCESS	GO_ORGANIC_HYDROXY_COMPOUND_METABOLIC_PROCESS		488	-0.39123204	-2.0428472	0.0	0.0059969863	0.161	3765	tags=34%, list=21%, signal=42%	
GO_EPOXYGENASE_P450_PATHWAY	GO_EPOXYGENASE_P450_PATHWAY		18	-0.68522465	-2.0349472	0.0	0.0062371274	0.169	3822	tags=72%, list=21%, signal=92%	
GO_NUCLEOSIDE_BISPHOSPHATE_METABOLIC_PROCESS	GO_NUCLEOSIDE_BISPHOSPHATE_METABOLIC_PROCESS		131	-0.4493012	-2.0342917	0.0	0.0061019235	0.17	5026	tags=48%, list=28%, signal=66%	
GO_VASCULAR_SMOOTH_MUSCLE_CONTRACTION	GO_VASCULAR_SMOOTH_MUSCLE_CONTRACTION		22	-0.6360389	-2.0322666	0.0	0.00606837	0.173	2823	tags=55%, list=16%, signal=65%	
GO_POSITIVE_REGULATION_OF_BLOOD_VESSEL_DIAMETER	GO_POSITIVE_REGULATION_OF_BLOOD_VESSEL_DIAMETER		51	-0.54337186	-2.0322056	0.0	0.0059127705	0.173	3206	tags=41%, list=18%, signal=50%	
GO_RETINOL_METABOLIC_PROCESS	GO_RETINOL_METABOLIC_PROCESS		40	-0.5579905	-2.0303614	0.0	0.0060386495	0.181	2752	tags=45%, list=15%, signal=53%	
GO_ACYLGLYCEROL_HOMEOSTASIS	GO_ACYLGLYCEROL_HOMEOSTASIS		32	-0.6009103	-2.029991	0.0	0.0059507503	0.182	4408	tags=56%, list=25%, signal=75%	
GO_COENZYME_METABOLIC_PROCESS	GO_COENZYME_METABOLIC_PROCESS		246	-0.42094168	-2.0291984	0.0	0.0058966028	0.185	4926	tags=48%, list=28%, signal=66%	
GO_NEUROTRANSMITTER_BIOSYNTHETIC_PROCESS	GO_NEUROTRANSMITTER_BIOSYNTHETIC_PROCESS		84	-0.48403186	-2.026641	0.0	0.0060159024	0.194	3766	tags=43%, list=21%, signal=54%	
GO_UNSATURATED_FATTY_ACID_METABOLIC_PROCESS	GO_UNSATURATED_FATTY_ACID_METABOLIC_PROCESS		97	-0.4730225	-2.0251455	0.0	0.0060178763	0.199	3826	tags=44%, list=21%, signal=56%	
GO_RESPONSE_TO_XENOBIOTIC_STIMULUS	GO_RESPONSE_TO_XENOBIOTIC_STIMULUS		249	-0.41316608	-2.020481	0.0	0.0064004064	0.217	4685	tags=48%, list=26%, signal=64%	
GO_REGULATION_OF_EXCRETION	GO_REGULATION_OF_EXCRETION		17	-0.67621773	-2.015339	0.0	0.006740329	0.231	327	tags=24%, list=2%, signal=24%	
GO_POSITIVE_REGULATION_OF_WOUND_HEALING	GO_POSITIVE_REGULATION_OF_WOUND_HEALING		54	-0.51724046	-2.0104408	0.0	0.0072721704	0.248	4159	tags=48%, list=23%, signal=63%	
GO_LIPID_LOCALIZATION	GO_LIPID_LOCALIZATION		352	-0.39361718	-2.0099082	0.0	0.007146096	0.249	4549	tags=41%, list=26%, signal=55%	
GO_PEROXISOMAL_TRANSPORT	GO_PEROXISOMAL_TRANSPORT		69	-0.4928741	-2.0081785	0.0	0.0071258224	0.253	4129	tags=48%, list=23%, signal=62%	
GO_REGULATION_OF_COAGULATION	GO_REGULATION_OF_COAGULATION		80	-0.4866719	-2.0076416	0.0	0.006983306	0.253	3998	tags=45%, list=22%, signal=58%	
GO_REGULATION_OF_WOUND_HEALING	GO_REGULATION_OF_WOUND_HEALING		134	-0.4434438	-2.0069547	0.0	0.006870094	0.254	3998	tags=40%, list=22%, signal=52%	
GO_ICOSANOID_METABOLIC_PROCESS	GO_ICOSANOID_METABOLIC_PROCESS		96	-0.46986023	-2.0001638	0.0	0.007206487	0.271	3822	tags=43%, list=21%, signal=54%	
GO_REGULATION_OF_SYSTEMIC_ARTERIAL_BLOOD_PRESSURE	GO_REGULATION_OF_SYSTEMIC_ARTERIAL_BLOOD_PRESSURE		73	-0.4929503	-1.9979854	0.0	0.0072562275	0.278	3206	tags=36%, list=18%, signal=43%	
GO_CELLULAR_HORMONE_METABOLIC_PROCESS	GO_CELLULAR_HORMONE_METABOLIC_PROCESS		116	-0.45280284	-1.9957887	0.0	0.0072116856	0.28	2760	tags=35%, list=15%, signal=42%	
GO_PEROXISOME_ORGANIZATION	GO_PEROXISOME_ORGANIZATION		80	-0.47556463	-1.9833027	0.0	0.008457547	0.328	4259	tags=48%, list=24%, signal=62%	
GO_HORMONE_METABOLIC_PROCESS	GO_HORMONE_METABOLIC_PROCESS		204	-0.411645	-1.9782737	0.0	0.008829136	0.343	3813	tags=38%, list=21%, signal=47%	
