NAME	TITLE	SCORE	
RPS7P1	na	0.4941751	
RPL13AP5	na	0.47894004	
PFDN4	na	0.46056142	
RPS7P11	na	0.4405195	
NMB	na	0.43956026	
RPS7P10	na	0.43072304	
RPS11P5	na	0.4265424	
RPL13AP7	na	0.4256615	
NUDT1	na	0.4148837	
RPL39P3	na	0.40644562	
ZNF581	na	0.4050524	
ACP4	na	0.40131253	
MIS18A	na	0.3968665	
MYBL2	na	0.3966431	
UBE2S	na	0.3960095	
AURKB	na	0.3943714	
RPL23AP65	na	0.3916318	
RPS10P3	na	0.38862088	
H2AX	na	0.38495573	
RPS7P4	na	0.38408685	
RPL36A	na	0.3800557	
RPL37P2	na	0.3798932	
RPS2P46	na	0.37937653	
RPL23AP42	na	0.3785378	
RPS10P2	na	0.37626362	
RPL13AP6	na	0.37518093	
BCL2L12	na	0.3747035	
NXT1	na	0.37384817	
HSPB1P2	na	0.37162438	
HSPB1P1	na	0.3701517	
C19orf48	na	0.3696187	
RPL18AP3	na	0.3682496	
HNRNPA1P48	na	0.36642265	
CDT1	na	0.36431536	
CKLF	na	0.36411637	
CDCA5	na	0.3639777	
MAMSTR	na	0.36393154	
DLK2	na	0.36340728	
RPS23P8	na	0.3632374	
PRR36	na	0.36300752	
UBE2SP1	na	0.36174956	
WDR4	na	0.3614468	
RPS15AP1	na	0.35941344	
EEF1A1P22	na	0.35790426	
PRR7	na	0.35784343	
CTU1	na	0.35737485	
RPL37P23	na	0.35717732	
SPATC1L	na	0.356088	
NR2C2AP	na	0.3553536	
RPL37P6	na	0.3545055	
SOX12	na	0.35437787	
ARHGAP4	na	0.35267955	
PIMREG	na	0.3524298	
RPSAP12	na	0.35179493	
HPDL	na	0.35082307	
NAT14	na	0.3504129	
UBE2C	na	0.35024998	
MZT2A	na	0.3495408	
DHDH	na	0.3488131	
PTTG1	na	0.34876534	
RAD51	na	0.34771392	
C5orf34	na	0.34705418	
DQX1	na	0.3464932	
TRAIP	na	0.34415853	
RPL14P1	na	0.34136787	
RPS24P8	na	0.3404478	
ZFAS1	na	0.3402108	
SSUH2	na	0.33937114	
HMGA1	na	0.33889917	
BIRC5	na	0.33888352	
AURKA	na	0.33852264	
RPL24P8	na	0.33751816	
CDCA3	na	0.33738685	
CENPW	na	0.33477318	
EFNA3	na	0.33236805	
SNHG25	na	0.33233595	
RPL10P16	na	0.3321526	
RPL7AP6	na	0.33142114	
CCNB1	na	0.33066255	
NRM	na	0.3300926	
LSM2	na	0.3297855	
HDAC11	na	0.32880872	
BEX2	na	0.32741943	
TROAP	na	0.32656753	
SCNM1	na	0.3250679	
TGIF2	na	0.3248754	
MRPL53	na	0.32330933	
GPR89A	na	0.3226435	
RPS27AP5	na	0.32216185	
WNK4	na	0.3220155	
GDPD3	na	0.32177827	
CENPA	na	0.32171717	
TEX19	na	0.32146478	
SCX	na	0.3214003	
TPM3P9	na	0.32128042	
NT5DC2	na	0.32103503	
CERS1	na	0.32097805	
CCNB2	na	0.31994778	
CKS1B	na	0.31923297	
TICRR	na	0.31919867	
RPS15AP12	na	0.31919336	
RPL23AP2	na	0.31803116	
RP9P	na	0.31790084	
NEK2	na	0.317835	
PRIM2	na	0.31659332	
IGF2BP1	na	0.31591174	
KIFC1	na	0.31509754	
MTFR2	na	0.31423616	
MYLK-AS1	na	0.31373084	
UPK3A	na	0.31365603	
DCLRE1C	na	0.31308946	
BCAS4	na	0.31299946	
NUDT17	na	0.31291232	
SPC25	na	0.31283218	
SNHG17	na	0.31269974	
PAFAH1B3	na	0.31230995	
EEF1B2P3	na	0.3118665	
SNRPEP4	na	0.31159326	
ZNF296	na	0.31149977	
PLK1	na	0.31140518	
RPL13AP25	na	0.31097966	
AFP	na	0.31095237	
CDC25C	na	0.30938745	
KIF2C	na	0.30854478	
DSCC1	na	0.30760202	
WSCD1	na	0.30719277	
RPL17P36	na	0.3069021	
MARCKSL1	na	0.30663726	
CIB2	na	0.3064444	
TRIP13	na	0.3039974	
EIF4A1P10	na	0.30395114	
DCTPP1	na	0.30364034	
RPL9P7	na	0.30361193	
CENPM	na	0.3032309	
RPS27AP16	na	0.30293667	
SREBF2-AS1	na	0.30286306	
HROB	na	0.30285048	
TIGD1	na	0.30257106	
CKMT1A	na	0.30207312	
HJURP	na	0.30146325	
CDKN3	na	0.301083	
SAMD10	na	0.3009818	
RPL10P3	na	0.30059993	
ETV4	na	0.2997587	
SNHG6	na	0.29975402	
PKMYT1	na	0.29971704	
EMG1	na	0.29949054	
BRI3P1	na	0.2994136	
FAM72D	na	0.29884374	
RPL15P3	na	0.29871416	
RPS2P7	na	0.29869708	
PRR11	na	0.29863876	
TPX2	na	0.29863524	
CCDC61	na	0.2985565	
LENG1	na	0.29837435	
NACA4P	na	0.29802117	
PNMA3	na	0.29798803	
FAM228B	na	0.29790974	
ISY1	na	0.2963397	
RBM38	na	0.29630804	
BEND3	na	0.29621175	
EME1	na	0.29608384	
PDRG1	na	0.29604134	
GEMIN7	na	0.29595333	
RPL7AP30	na	0.2956876	
POLR3F	na	0.29551336	
HOXC9	na	0.2954272	
ZNF580	na	0.29525217	
PRR3	na	0.29519793	
ALYREF	na	0.29498112	
UBE2T	na	0.29480866	
MCM10	na	0.29464808	
EXO1	na	0.29453138	
KIF4A	na	0.2942923	
FER1L5	na	0.29421315	
GPRC5D-AS1	na	0.29409114	
NACA2	na	0.29398715	
PCLAF	na	0.2935959	
RPS18P12	na	0.29347014	
CSKMT	na	0.29301018	
ZSWIM1	na	0.29219702	
PET117	na	0.29210058	
SUV39H2	na	0.29148188	
CDC20	na	0.29142177	
NANOS1	na	0.29118115	
REEP2	na	0.29102436	
RPL7P6	na	0.29100353	
MSI1	na	0.29072806	
STX1A	na	0.2902498	
SAAL1	na	0.2898706	
RPS19P1	na	0.28972292	
DUSP15	na	0.2896666	
TMEM237	na	0.28945273	
METTL1	na	0.28918305	
GINS1	na	0.28892517	
CCNF	na	0.28846532	
RNU6-8	na	0.28842056	
KLHDC8A	na	0.2883771	
TMEM91	na	0.28813875	
RPSAP54	na	0.28789994	
DMKN	na	0.28785494	
MRGBP	na	0.2878047	
DANCR	na	0.2877034	
ZNF579	na	0.28714862	
EFNA4	na	0.2870944	
SAPCD2	na	0.28682902	
DDX11-AS1	na	0.2858309	
SNHG3	na	0.28539407	
RPL41P2	na	0.28536892	
CHEK1	na	0.2853126	
EEF1DP1	na	0.28515688	
REP15	na	0.28491154	
MDK	na	0.284635	
UBOX5	na	0.284566	
ASF1B	na	0.2844571	
THUMPD2	na	0.28439498	
RPL10P15	na	0.28396407	
E2F1	na	0.28378135	
NREP	na	0.28366742	
SNRPEP2	na	0.28355858	
PPIAP29	na	0.2833375	
TET1	na	0.2832773	
ETV5	na	0.28311315	
TLCD1	na	0.2829242	
CHAF1B	na	0.28252244	
PIK3R2	na	0.28247893	
PFN1P1	na	0.28242663	
TMEM191C	na	0.28228635	
UBE2MP1	na	0.28151006	
CNIH2	na	0.28150374	
P3H4	na	0.28129837	
PPP1R35	na	0.28115425	
TFAP4	na	0.28112438	
BLMH	na	0.28107303	
POLD1	na	0.28072676	
ACRV1	na	0.28040624	
OIP5	na	0.28022662	
LINC01234	na	0.2800192	
MROH6	na	0.279824	
ARID3A	na	0.27943403	
CEP55	na	0.27916425	
RPL13AP20	na	0.2791293	
MIR4435-2HG	na	0.27906656	
ZNF628	na	0.27897123	
ERCC6L	na	0.27859282	
DNM1P35	na	0.27855867	
ARL2	na	0.27845	
LINC02585	na	0.2781542	
CCDC34	na	0.2780796	
FAAP24	na	0.27790055	
RPL13AP3	na	0.27776748	
ZBTB45	na	0.27774978	
ANO7	na	0.2775023	
INAFM1	na	0.2774575	
RPL6P27	na	0.2774556	
SNORC	na	0.27715647	
CDC25A	na	0.2767591	
CPNE1	na	0.27655643	
RPL23P8	na	0.27645546	
ARL16	na	0.27631396	
VAC14-AS1	na	0.27631223	
TTK	na	0.27607688	
RPL39	na	0.275771	
MFSD10	na	0.27532938	
CNBD2	na	0.27502355	
H2AC20	na	0.27492693	
RPL41P5	na	0.27487305	
DSN1	na	0.2747174	
SPATA24	na	0.27460253	
CENPO	na	0.27457297	
AIFM3	na	0.2745559	
NME6	na	0.2743694	
TNNT1	na	0.2743396	
EEF1E1	na	0.27428603	
RPL4P4	na	0.2742821	
AGAP1-IT1	na	0.2740721	
SOAT2	na	0.27406797	
FBLL1	na	0.27382866	
TIGD7	na	0.27325514	
RP9	na	0.27323487	
MELTF-AS1	na	0.2731542	
NPEPL1	na	0.27303866	
CDK1	na	0.27276567	
WRAP53	na	0.27252465	
TEDC2	na	0.27248386	
CXCL17	na	0.272483	
ZSCAN5A	na	0.27232513	
RAD51D	na	0.27232254	
FRAT2	na	0.272303	
FAM241B	na	0.27198136	
ZNF473	na	0.27193066	
C20orf27	na	0.27180552	
BMS1P8	na	0.27176422	
TFPT	na	0.2717321	
SLC1A5	na	0.27166414	
NUF2	na	0.27137798	
THUMPD3-AS1	na	0.27129868	
RPP21	na	0.2712939	
SPIRE2	na	0.27120352	
WDR62	na	0.27105668	
RPL26P19	na	0.2706866	
ORC6	na	0.27054924	
GPR35	na	0.27037984	
BCORL1	na	0.27020103	
TACC3	na	0.26986635	
FANCD2	na	0.26982275	
SLC12A5	na	0.26955214	
GNB1L	na	0.2694218	
RGS19	na	0.269402	
GAREM2	na	0.26931775	
RPP30	na	0.26920998	
KPTN	na	0.26919514	
DHX34	na	0.26913404	
NPM3	na	0.26895645	
RPLP0P6	na	0.26889837	
SLC1A7	na	0.2688888	
DUSP9	na	0.26882374	
HAUS8	na	0.26877597	
RPSAP15	na	0.2685215	
LCMT1	na	0.26851317	
RPS2P55	na	0.26828802	
RECQL4	na	0.26815847	
CCDC167	na	0.26798284	
PLCB1	na	0.26776877	
DIRAS1	na	0.26775208	
TLL2	na	0.26767668	
ZNRD1	na	0.26753816	
RPLP0P2	na	0.26735044	
LINC02802	na	0.26734054	
TPM3P6	na	0.2672963	
ZKSCAN3	na	0.26726198	
RPL7P23	na	0.26724553	
RPL37AP1	na	0.26708427	
RPL35P1	na	0.26688674	
RPL7AP50	na	0.26666552	
SNHG30	na	0.26654854	
GAS5	na	0.2651659	
NOP56	na	0.26514897	
HCG18	na	0.26511812	
RPL4P5	na	0.26504695	
CDCA7	na	0.26492804	
ITPA	na	0.26492628	
PSMG3	na	0.2648882	
RNFT2	na	0.26460305	
LINC00672	na	0.26458016	
SH2D5	na	0.2645655	
RPS21	na	0.26448315	
MARCKS	na	0.26446962	
