NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	H4C14	na	114	0.37940335273742676	0.06375296	Yes	
row_1	CENPI	na	255	0.33249348402023315	0.117657885	Yes	
row_2	CENPA	na	355	0.31445735692977905	0.17027634	Yes	
row_3	CENPQ	na	358	0.31400585174560547	0.22756743	Yes	
row_4	CENPL	na	627	0.27442800998687744	0.26458523	Yes	
row_5	H4C2	na	648	0.27175650000572205	0.31327224	Yes	
row_6	HJURP	na	664	0.2702963650226593	0.3619375	Yes	
row_7	H4C8	na	944	0.24290598928928375	0.39265493	Yes	
row_8	H4-16	na	1127	0.2294192612171173	0.42566264	Yes	
row_9	CENPS	na	1323	0.2169283777475357	0.45575014	Yes	
row_10	OIP5	na	1666	0.1983013153076172	0.47522706	Yes	
row_11	CENPO	na	1699	0.19599123299121857	0.5094786	Yes	
row_12	H4C12	na	1727	0.19393114745616913	0.5435987	Yes	
row_13	CENPN	na	2051	0.17827822268009186	0.56034756	Yes	
row_14	MIS18A	na	2883	0.14577941596508026	0.54625356	Yes	
row_15	H4C3	na	2956	0.14253292977809906	0.5687739	Yes	
row_16	KNL1	na	3376	0.12879028916358948	0.57177204	Yes	
row_17	HELLS	na	3533	0.12408546358346939	0.586803	Yes	
row_18	CENPW	na	3746	0.11785263568162918	0.5979496	Yes	
row_19	H4C5	na	4296	0.10207638144493103	0.5896925	Yes	
row_20	RUVBL1	na	4302	0.1019342914223671	0.60807735	Yes	
row_21	CENPV	na	4625	0.09328117221593857	0.6093407	Yes	
row_22	H4C9	na	5593	0.0709116980433464	0.5748966	No	
row_23	MIS18BP1	na	5758	0.06763240694999695	0.5792178	No	
row_24	CENPT	na	6170	0.05934163182973862	0.5699153	No	
row_25	NASP	na	6576	0.05230042710900307	0.55962	No	
row_26	H3-3A	na	7495	0.03635173663496971	0.52126163	No	
row_27	H4C11	na	7613	0.034198909997940063	0.5217764	No	
row_28	CENPK	na	7690	0.032809074968099594	0.5240471	No	
row_29	RSF1	na	7891	0.029383383691310883	0.5196129	No	
row_30	ITGB3BP	na	7982	0.0277056023478508	0.5202645	No	
row_31	CENPM	na	9339	0.0064712692983448505	0.45497337	No	
row_32	POLE3	na	9844	-8.871716563589871E-4	0.43042845	No	
row_33	RBBP7	na	10290	-0.0068499320186674595	0.40986556	No	
row_34	CENPP	na	10612	-0.011240902356803417	0.39618394	No	
row_35	CENPX	na	11289	-0.020657943561673164	0.3668206	No	
row_36	RBBP4	na	11683	-0.026444852352142334	0.3523881	No	
row_37	CENPH	na	11847	-0.028904831036925316	0.3496803	No	
row_38	SMARCA5	na	12525	-0.038420580327510834	0.32351434	No	
row_39	H3-3B	na	13773	-0.056204792112112045	0.2726561	No	
row_40	CENPU	na	14437	-0.06622005254030228	0.2522572	No	
row_41	NPM1	na	16477	-0.10269635915756226	0.17107058	No	
row_42	CENPC	na	17537	-0.12695813179016113	0.1423597	No	
