NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MAP10	na	66	0.4048425853252411	0.00933704	Yes	
row_1	NUF2	na	68	0.40294143557548523	0.021841932	Yes	
row_2	CCNE1	na	110	0.38214197754859924	0.03171287	Yes	
row_3	DDX12P	na	137	0.3693723678588867	0.041930657	Yes	
row_4	SMC1B	na	219	0.3403354287147522	0.048513122	Yes	
row_5	KIF14	na	245	0.33403196930885315	0.057679445	Yes	
row_6	KIF18B	na	272	0.329205721616745	0.06664575	Yes	
row_7	MCMDC2	na	297	0.32452571392059326	0.07556553	Yes	
row_8	NEK2	na	327	0.3189433813095093	0.08406315	Yes	
row_9	MAPK15	na	346	0.31566354632377625	0.093004696	Yes	
row_10	DSN1	na	354	0.31447234749794006	0.10245525	Yes	
row_11	CENPQ	na	358	0.31400585174560547	0.112089865	Yes	
row_12	TTK	na	363	0.3131227493286133	0.12164731	Yes	
row_13	TOP2A	na	371	0.31120726466178894	0.13099614	Yes	
row_14	KIFC1	na	375	0.31069299578666687	0.14052753	Yes	
row_15	SGO2	na	447	0.2983461618423462	0.1462982	Yes	
row_16	CDC6	na	481	0.29372766613960266	0.15381157	Yes	
row_17	P3H4	na	562	0.2827363908290863	0.15864906	Yes	
row_18	DSCC1	na	596	0.27870264649391174	0.1656943	Yes	
row_19	STAG3L2	na	635	0.27346310019493103	0.17232804	Yes	
row_20	EME1	na	642	0.27242711186408997	0.18051822	Yes	
row_21	SHOC1	na	658	0.2706514596939087	0.18820627	Yes	
row_22	HJURP	na	664	0.2702963650226593	0.19637972	Yes	
row_23	MRE11	na	709	0.2650390565395355	0.2024531	Yes	
row_24	MSTO1	na	719	0.26394936442375183	0.21023022	Yes	
row_25	RMI2	na	726	0.26349076628685	0.21814197	Yes	
row_26	SKA3	na	756	0.2593412399291992	0.22478256	Yes	
row_27	SPAG5	na	780	0.2574175298213959	0.23166108	Yes	
row_28	PSRC1	na	869	0.24844083189964294	0.23503283	Yes	
row_29	ESPL1	na	881	0.24767766892910004	0.24220365	Yes	
row_30	KIF4A	na	887	0.24718709290027618	0.24965708	Yes	
row_31	SGO1	na	893	0.24671855568885803	0.2570959	Yes	
row_32	STAG3	na	917	0.2450871765613556	0.26359025	Yes	
row_33	FAM83D	na	953	0.24229292571544647	0.26940176	Yes	
row_34	NCAPH	na	1003	0.23804998397827148	0.27438602	Yes	
row_35	NDC80	na	1005	0.2379596084356308	0.28175053	Yes	
row_36	BUB1	na	1123	0.22967863082885742	0.28309792	Yes	
row_37	BRCA1	na	1152	0.22787408530712128	0.28880772	Yes	
row_38	CENPF	na	1224	0.22226688265800476	0.292208	Yes	
row_39	CENPS	na	1323	0.2169283777475357	0.29410142	Yes	
row_40	KIF23	na	1344	0.21574385464191437	0.29983044	Yes	
row_41	KIF2C	na	1384	0.2133660763502121	0.3045421	Yes	
row_42	TEX15	na	1418	0.2108987718820572	0.30947474	Yes	
row_43	OIP5	na	1666	0.1983013153076172	0.30339032	Yes	
row_44	TRIP13	na	1745	0.19323241710662842	0.30553842	Yes	
row_45	PLK1	na	1768	0.19184671342372894	0.31042358	Yes	
row_46	NEK8	na	1844	0.18762394785881042	0.31254587	Yes	
row_47	AURKB	na	1898	0.18491584062576294	0.315676	Yes	
row_48	SPC25	na	1900	0.18477259576320648	0.32138336	Yes	
row_49	CDC20	na	1944	0.18278877437114716	0.32494372	Yes	
row_50	HASPIN	na	2046	0.17847992479801178	0.32549027	Yes	
row_51	CENPN	na	2051	0.17827822268009186	0.3308463	Yes	
row_52	TOP3B	na	2058	0.17810748517513275	0.33609778	Yes	
row_53	CDCA8	na	2083	0.17672650516033173	0.34041253	Yes	
row_54	DLGAP5	na	2124	0.17513521015644073	0.34388337	Yes	
row_55	NSMCE2	na	2160	0.1738814413547516	0.34756336	Yes	
row_56	SLX4	na	2170	0.17363692820072174	0.35252658	Yes	
row_57	AXIN2	na	2199	0.17243869602680206	0.35650918	Yes	
row_58	INCENP	na	2310	0.16808860003948212	0.35628513	Yes	
row_59	DMC1	na	2385	0.16475456953048706	0.35774451	Yes	
row_60	RACGAP1	na	2421	0.16257107257843018	0.3610721	Yes	
row_61	BUB1B	na	2450	0.16179025173187256	0.3647229	Yes	
row_62	EME2	na	2485	0.16060782968997955	0.36803898	Yes	
row_63	CDCA5	na	2594	0.156263530254364	0.3675458	Yes	
row_64	KIF18A	na	2686	0.152756467461586	0.36778733	Yes	
row_65	TACC3	na	2725	0.15119843184947968	0.37061167	Yes	
row_66	KIF22	na	2832	0.14737094938755035	0.3699407	Yes	
row_67	MIS18A	na	2883	0.14577941596508026	0.3720004	Yes	
row_68	SKA1	na	2912	0.1442989557981491	0.37510625	Yes	
row_69	FANCM	na	2945	0.14299502968788147	0.37797284	Yes	
row_70	CENPE	na	2967	0.14223426580429077	0.38136187	Yes	
row_71	DDX11	na	3051	0.13894197344779968	0.3815702	Yes	
row_72	HORMAD1	na	3104	0.1374051570892334	0.38326967	Yes	
row_73	SYCE1L	na	3121	0.1369331330060959	0.38674176	Yes	
row_74	PRC1	na	3177	0.13489502668380737	0.3882141	Yes	
row_75	SPDL1	na	3235	0.13279685378074646	0.38952178	Yes	
row_76	FBXO5	na	3265	0.13183185458183289	0.39218953	Yes	
row_77	ERCC4	na	3267	0.13182583451271057	0.3962472	Yes	
row_78	STAG3L3	na	3332	0.1300491988658905	0.39712173	Yes	
row_79	NCAPD2	na	3345	0.12965142726898193	0.40056556	Yes	
row_80	KNL1	na	3376	0.12879028916358948	0.40308887	Yes	
row_81	MEIOC	na	3468	0.12617966532707214	0.40250236	Yes	
row_82	MLH1	na	3484	0.12553471326828003	0.40566897	Yes	
row_83	CDT1	na	3535	0.12400468438863754	0.40705022	Yes	
row_84	TUBG2	na	3544	0.12380629032850266	0.4105105	Yes	
row_85	MAJIN	na	3572	0.1229441687464714	0.41300064	Yes	
row_86	KNSTRN	na	3660	0.12031389027833939	0.41242996	Yes	
row_87	SMC4	na	3673	0.11978605389595032	0.41556638	Yes	
row_88	SMC6	na	3735	0.11825466901063919	0.41622236	Yes	
row_89	CENPW	na	3746	0.11785263568162918	0.41939786	Yes	
row_90	GEN1	na	3787	0.11671249568462372	0.4210484	Yes	
row_91	CEP85	na	3800	0.11623562127351761	0.4240742	Yes	
row_92	ANAPC1	na	3812	0.11575409024953842	0.42713466	Yes	
row_93	SUN1	na	3836	0.11519861221313477	0.42958203	Yes	
row_94	XRCC3	na	3843	0.11488962918519974	0.4328638	Yes	
row_95	CCDC155	na	3895	0.11315642297267914	0.4338574	Yes	
row_96	SPICE1	na	3917	0.1124599426984787	0.43631876	Yes	
row_97	FANCD2	na	3979	0.11063559353351593	0.43673736	Yes	
row_98	BIRC5	na	4005	0.10978128761053085	0.43891665	Yes	
row_99	MAD2L2	na	4008	0.10973325371742249	0.44223633	Yes	
row_100	NEK11	na	4026	0.10938960313796997	0.44480062	Yes	
row_101	HFM1	na	4052	0.10869987308979034	0.4469462	Yes	
