NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	H4C14	na	114	0.37940335273742676	0.016046993	Yes	
row_1	TSPY26P	na	176	0.3532750606536865	0.033215836	Yes	
row_2	HMGA2	na	193	0.3487032949924469	0.052343145	Yes	
row_3	CDKN2A	na	236	0.3364667296409607	0.06948912	Yes	
row_4	CENPI	na	255	0.33249348402023315	0.087591946	Yes	
row_5	H2BC19P	na	257	0.3321647346019745	0.106514506	Yes	
row_6	CENPA	na	355	0.31445735692977905	0.11969057	Yes	
row_7	CENPQ	na	358	0.31400585174560547	0.13752665	Yes	
row_8	TOP2A	na	371	0.31120726466178894	0.15470964	Yes	
row_9	H2BC15	na	568	0.2820338010787964	0.1611507	Yes	
row_10	SMYD3	na	608	0.2770810127258301	0.17505276	Yes	
row_11	CENPL	na	627	0.27442800998687744	0.18983912	Yes	
row_12	H4C2	na	648	0.27175650000572205	0.20437425	Yes	
row_13	HJURP	na	664	0.2702963650226593	0.21907261	Yes	
row_14	H2BC11	na	844	0.2506682276725769	0.22456071	Yes	
row_15	H4C8	na	944	0.24290598928928375	0.2335514	Yes	
row_16	NCAPH	na	1003	0.23804998397827148	0.24428703	Yes	
row_17	H2BC18	na	1080	0.23262768983840942	0.25382513	Yes	
row_18	H2BC8	na	1086	0.23222802579402924	0.26684242	Yes	
row_19	H4-16	na	1127	0.2294192612171173	0.27797294	Yes	
row_20	H2BU1	na	1159	0.2274876981973648	0.28943703	Yes	
row_21	H3C12	na	1163	0.2272760421037674	0.30227014	Yes	
row_22	H3C10	na	1320	0.21737040579319	0.30699086	Yes	
row_23	CENPS	na	1323	0.2169283777475357	0.31928226	Yes	
row_24	H2BC17	na	1431	0.21019110083580017	0.3260098	Yes	
row_25	H2BC5	na	1447	0.20958545804023743	0.3372406	Yes	
row_26	GATAD1	na	1640	0.19957493245601654	0.33916926	Yes	
row_27	OIP5	na	1666	0.1983013153076172	0.3492623	Yes	
row_28	H2BC13	na	1693	0.19621509313583374	0.3591869	Yes	
row_29	CENPO	na	1699	0.19599123299121857	0.37013447	Yes	
row_30	H2BC7	na	1721	0.1944105327129364	0.3802026	Yes	
row_31	H4C12	na	1727	0.19393114745616913	0.39103252	Yes	
row_32	H3C7	na	1843	0.1876291036605835	0.39607683	Yes	
row_33	CENPN	na	2051	0.17827822268009186	0.39604923	Yes	
row_34	H3C8	na	2129	0.17493030428886414	0.40224257	Yes	
row_35	H1-0	na	2188	0.17288117110729218	0.409256	Yes	
row_36	H2BC21	na	2289	0.1691684126853943	0.4139858	Yes	
row_37	H3C4	na	2487	0.16040559113025665	0.41343063	Yes	
row_38	CHD5	na	2507	0.15967214107513428	0.42161328	Yes	
row_39	TSSK6	na	2573	0.15688955783843994	0.4273681	Yes	
row_40	CDK1	na	2576	0.15676923096179962	0.43622345	Yes	
row_41	CDCA5	na	2594	0.156263530254364	0.44431007	Yes	
row_42	CDAN1	na	2871	0.14613142609596252	0.43904302	Yes	
row_43	MIS18A	na	2883	0.14577941596508026	0.44682676	Yes	
row_44	H4C3	na	2956	0.14253292977809906	0.4514163	Yes	
row_45	PIWIL1	na	3161	0.1355099231004715	0.44909394	Yes	
row_46	NCAPD2	na	3345	0.12965142726898193	0.44747275	Yes	
row_47	KNL1	na	3376	0.12879028916358948	0.453349	Yes	
row_48	H2BC9	na	3477	0.1259719431400299	0.45561156	Yes	
row_49	HELLS	na	3533	0.12408546358346939	0.45998597	Yes	
row_50	H1-3	na	3641	0.12092707306146622	0.46161515	Yes	
row_51	SMC4	na	3673	0.11978605389595032	0.46692777	Yes	
row_52	H3C13	na	3678	0.11961273849010468	0.47356227	Yes	
row_53	CENPW	na	3746	0.11785263568162918	0.4769888	Yes	
row_54	NCAPG2	na	3963	0.11115945130586624	0.47268373	Yes	
row_55	H4C5	na	4296	0.10207638144493103	0.46213827	Yes	
row_56	RUVBL1	na	4302	0.1019342914223671	0.4677137	Yes	
row_57	H1-4	na	4412	0.0988067016005516	0.4679808	Yes	
row_58	MACROH2A2	na	4520	0.09630578011274338	0.4682037	Yes	
row_59	H2AX	na	4555	0.09511061012744904	0.471959	Yes	
row_60	SMC2	na	4618	0.09337688982486725	0.4742342	Yes	
row_61	CENPV	na	4625	0.09328117221593857	0.47926608	Yes	
row_62	MCM2	na	4676	0.09186442941427231	0.48204678	Yes	
row_63	M1AP	na	4719	0.09077270328998566	0.48515972	Yes	
row_64	NOC2L	na	4725	0.09064467996358871	0.49009037	Yes	
row_65	H2BC14	na	4834	0.08834338933229446	0.48980916	Yes	
row_66	NCAPG	na	4843	0.0882033258676529	0.4944524	Yes	
row_67	SHPRH	na	4902	0.08702167868614197	0.49656188	Yes	
row_68	H1-5	na	4951	0.08558809757232666	0.49908277	Yes	
row_69	H2BC4	na	5044	0.08345392346382141	0.49931148	Yes	
row_70	TENT4A	na	5346	0.07639333605766296	0.48882815	No	
row_71	NUSAP1	na	5524	0.07274923473596573	0.4842529	No	
row_72	PHF13	na	5584	0.07102878391742706	0.48539963	No	
row_73	H4C9	na	5593	0.0709116980433464	0.48905522	No	
row_74	TTN	na	5724	0.06822558492422104	0.48653984	No	
row_75	ASF1B	na	5735	0.06790222972631454	0.48992488	No	
row_76	NCAPD3	na	5739	0.06782246381044388	0.49365067	No	
row_77	MIS18BP1	na	5758	0.06763240694999695	0.49662572	No	
row_78	H1-2	na	5883	0.06497260928153992	0.49422047	No	
row_79	IPO4	na	6021	0.06196768209338188	0.49100238	No	
row_80	H2BC12	na	6040	0.06154201179742813	0.49362957	No	
row_81	CENPT	na	6170	0.05934163182973862	0.4906561	No	
row_82	ASH1L	na	6171	0.05930112302303314	0.49404314	No	
