NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	H4C14	na	114	0.37940335273742676	0.11852573	Yes	
row_1	H4C2	na	648	0.27175650000572205	0.1813173	Yes	
row_2	H4C8	na	944	0.24290598928928375	0.24632779	Yes	
row_3	H4-16	na	1127	0.2294192612171173	0.31246087	Yes	
row_4	H3C12	na	1163	0.2272760421037674	0.3850924	Yes	
row_5	H3C10	na	1320	0.21737040579319	0.4485575	Yes	
row_6	H4C12	na	1727	0.19393114745616913	0.49211112	Yes	
row_7	H3C7	na	1843	0.1876291036605835	0.5478554	Yes	
row_8	H3C8	na	2129	0.17493030428886414	0.59111965	Yes	
row_9	H3C4	na	2487	0.16040559113025665	0.6261064	Yes	
row_10	H4C3	na	2956	0.14253292977809906	0.6498103	Yes	
row_11	H4C5	na	4296	0.10207638144493103	0.6176217	No	
row_12	H4C9	na	5593	0.0709116980433464	0.5773447	No	
row_13	ASF1B	na	5735	0.06790222972631454	0.59265095	No	
row_14	IPO4	na	6021	0.06196768209338188	0.5989633	No	
row_15	H3C11	na	6300	0.05684103071689606	0.6039415	No	
row_16	NASP	na	6576	0.05230042710900307	0.6075813	No	
row_17	CHAF1A	na	7480	0.03658691793680191	0.5753238	No	
row_18	H4C11	na	7613	0.034198909997940063	0.580046	No	
row_19	CHAF1B	na	7938	0.028500733897089958	0.5735007	No	
row_20	ASF1A	na	10056	-0.00371018098667264	0.4710313	No	
row_21	HAT1	na	10191	-0.0055929915979504585	0.46629804	No	
row_22	RBBP4	na	11683	-0.026444852352142334	0.40192476	No	
row_23	H3C6	na	15396	-0.08242201060056686	0.24708597	No	
