NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	H4C14	na	114	0.37940335273742676	0.06289	Yes	
row_1	CENPI	na	255	0.33249348402023315	0.11603799	Yes	
row_2	CENPA	na	355	0.31445735692977905	0.16794114	Yes	
row_3	CENPQ	na	358	0.31400585174560547	0.22451955	Yes	
row_4	CENPL	na	627	0.27442800998687744	0.26091003	Yes	
row_5	H4C2	na	648	0.27175650000572205	0.30897996	Yes	
row_6	HJURP	na	664	0.2702963650226593	0.35703152	Yes	
row_7	H4C8	na	944	0.24290598928928375	0.38719302	Yes	
row_8	H4-16	na	1127	0.2294192612171173	0.419677	Yes	
row_9	CENPS	na	1323	0.2169283777475357	0.4492689	Yes	
row_10	OIP5	na	1666	0.1983013153076172	0.46829003	Yes	
row_11	CENPO	na	1699	0.19599123299121857	0.50209624	Yes	
row_12	H4C12	na	1727	0.19393114745616913	0.5357758	Yes	
row_13	CENPN	na	2051	0.17827822268009186	0.5521146	Yes	
row_14	MIS18A	na	2883	0.14577941596508026	0.5376758	Yes	
row_15	H4C3	na	2956	0.14253292977809906	0.5598715	Yes	
row_16	KNL1	na	3376	0.12879028916358948	0.5625702	Yes	
row_17	CENPW	na	3746	0.11785263568162918	0.56574667	Yes	
row_18	H4C5	na	4296	0.10207638144493103	0.55724865	Yes	
row_19	RUVBL1	na	4302	0.1019342914223671	0.5754021	Yes	
row_20	H4C9	na	5593	0.0709116980433464	0.5249412	No	
row_21	ASF1B	na	5735	0.06790222972631454	0.53028274	No	
row_22	MIS18BP1	na	5758	0.06763240694999695	0.5414112	No	
row_23	IPO4	na	6021	0.06196768209338188	0.5397479	No	
row_24	CENPT	na	6170	0.05934163182973862	0.543201	No	
row_25	NASP	na	6576	0.05230042710900307	0.53278023	No	
row_26	UBN1	na	6605	0.05167344957590103	0.54073393	No	
row_27	H3-3A	na	7495	0.03635173663496971	0.5036997	No	
row_28	HIRA	na	7516	0.03582056984305382	0.5091844	No	
row_29	H4C11	na	7613	0.034198909997940063	0.5106494	No	
row_30	CENPK	na	7690	0.032809074968099594	0.5128443	No	
row_31	RSF1	na	7891	0.029383383691310883	0.5083401	No	
row_32	ITGB3BP	na	7982	0.0277056023478508	0.50892735	No	
row_33	ATRX	na	8165	0.024525480344891548	0.504429	No	
row_34	CENPM	na	9339	0.0064712692983448505	0.4480745	No	
row_35	SUPT16H	na	9490	0.004329615272581577	0.44150013	No	
row_36	POLE3	na	9844	-8.871716563589871E-4	0.42434955	No	
row_37	ASF1A	na	10056	-0.00371018098667264	0.41467202	No	
row_38	HAT1	na	10191	-0.0055929915979504585	0.4091103	No	
row_39	RBBP7	na	10290	-0.0068499320186674595	0.40554088	No	
row_40	CENPP	na	10612	-0.011240902356803417	0.39182836	No	
row_41	CENPX	na	11289	-0.020657943561673164	0.36240676	No	
row_42	RBBP4	na	11683	-0.026444852352142334	0.34790766	No	
row_43	CENPH	na	11847	-0.028904831036925316	0.34513152	No	
row_44	CABIN1	na	11961	-0.030641566962003708	0.34512076	No	
row_45	SMARCA5	na	12525	-0.038420580327510834	0.32444662	No	
row_46	H3-3B	na	13773	-0.056204792112112045	0.27343988	No	
row_47	CENPU	na	14437	-0.06622005254030228	0.25287953	No	
row_48	NPM1	na	16477	-0.10269635915756226	0.17142552	No	
row_49	CENPC	na	17537	-0.12695813179016113	0.1424087	No	
