NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CCNE1	na	110	0.38214197754859924	0.085634924	Yes	
row_1	MCMDC2	na	297	0.32452571392059326	0.15382136	Yes	
row_2	CDC6	na	481	0.29372766613960266	0.21481878	Yes	
row_3	TICRR	na	696	0.26693272590637207	0.26791453	Yes	
row_4	MCM10	na	749	0.2601947784423828	0.32734418	Yes	
row_5	POLE2	na	1873	0.1862068623304367	0.31666544	Yes	
row_6	LRWD1	na	2023	0.17927682399749756	0.35206708	Yes	
row_7	PRIM1	na	2228	0.17135794460773468	0.38288715	Yes	
row_8	ORC6	na	2318	0.16753968596458435	0.41843334	Yes	
row_9	PRIM2	na	2439	0.16205184161663055	0.45115313	Yes	
row_10	RPA4	na	2925	0.14363518357276917	0.46159926	Yes	
row_11	CDT1	na	3535	0.12400468438863754	0.46129277	Yes	
row_12	MCM7	na	3855	0.11460232734680176	0.47295818	Yes	
row_13	CDC45	na	3960	0.11124219000339508	0.4943593	Yes	
row_14	POLA1	na	4011	0.10966084897518158	0.51803005	Yes	
row_15	WRNIP1	na	4310	0.10171827673912048	0.5276556	Yes	
row_16	POLE	na	4365	0.10014811903238297	0.5488644	Yes	
row_17	MCM3	na	4658	0.09242475777864456	0.5565703	Yes	
row_18	MCM2	na	4676	0.09186442941427231	0.57761914	Yes	
row_19	CDK2	na	4897	0.08715789020061493	0.58759886	Yes	
row_20	ORC3	na	5117	0.08185780793428421	0.5963651	Yes	
row_21	POLA2	na	5215	0.07960271835327148	0.6105728	Yes	
row_22	CCNE2	na	5628	0.07031175494194031	0.60713077	No	
row_23	ORC1	na	6085	0.06062602996826172	0.5992254	No	
row_24	ORC5	na	6610	0.05159569904208183	0.5858367	No	
row_25	POLE4	na	6762	0.04892110824584961	0.5900898	No	
row_26	ORC2	na	6973	0.04531528800725937	0.59059274	No	
row_27	MCM4	na	7346	0.039100807160139084	0.58167654	No	
row_28	MCM6	na	8267	0.0226595476269722	0.54198927	No	
row_29	POLE3	na	9844	-8.871716563589871E-4	0.46496838	No	
row_30	CDC34	na	10776	-0.013567677699029446	0.42257634	No	
row_31	MCM5	na	11028	-0.016938667744398117	0.41431078	No	
row_32	ORC4	na	11894	-0.029652953147888184	0.37898457	No	
row_33	WDR18	na	12813	-0.04238760843873024	0.34409446	No	
row_34	PURA	na	13921	-0.05859332159161568	0.30380252	No	
row_35	NBN	na	14405	-0.0657537430524826	0.29579544	No	
