NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	H4C14	na	114	0.37940335273742676	0.059400283	Yes	
row_1	CENPI	na	255	0.33249348402023315	0.109489836	Yes	
row_2	CENPA	na	355	0.31445735692977905	0.15850061	Yes	
row_3	CENPQ	na	358	0.31400585174560547	0.21219128	Yes	
row_4	CENPL	na	627	0.27442800998687744	0.2460567	Yes	
row_5	H4C2	na	648	0.27175650000572205	0.29162735	Yes	
row_6	HJURP	na	664	0.2702963650226593	0.33719307	Yes	
row_7	H4C8	na	944	0.24290598928928375	0.36511934	Yes	
row_8	H4-16	na	1127	0.2294192612171173	0.39549258	Yes	
row_9	CENPS	na	1323	0.2169283777475357	0.4230886	Yes	
row_10	OIP5	na	1666	0.1983013153076172	0.4402844	Yes	
row_11	CENPO	na	1699	0.19599123299121857	0.47228804	Yes	
row_12	H4C12	na	1727	0.19393114745616913	0.504184	Yes	
row_13	CENPN	na	2051	0.17827822268009186	0.5188817	Yes	
row_14	CHD5	na	2507	0.15967214107513428	0.52391845	Yes	
row_15	MIS18A	na	2883	0.14577941596508026	0.53049886	Yes	
row_16	H4C3	na	2956	0.14253292977809906	0.55138344	Yes	
row_17	PIWIL1	na	3161	0.1355099231004715	0.56459117	Yes	
row_18	KNL1	na	3376	0.12879028916358948	0.57615745	Yes	
row_19	CENPW	na	3746	0.11785263568162918	0.5782483	Yes	
row_20	VPS72	na	3881	0.11378886550664902	0.59116834	Yes	
row_21	H4C5	na	4296	0.10207638144493103	0.5883498	Yes	
row_22	RUVBL1	na	4302	0.1019342914223671	0.6055658	Yes	
row_23	ANP32E	na	4559	0.09504285454750061	0.6092913	Yes	
row_24	H4C9	na	5593	0.0709116980433464	0.5707763	No	
row_25	MIS18BP1	na	5758	0.06763240694999695	0.57431847	No	
row_26	CENPT	na	6170	0.05934163182973862	0.5643267	No	
row_27	NASP	na	6576	0.05230042710900307	0.553423	No	
row_28	H4C11	na	7613	0.034198909997940063	0.50847197	No	
row_29	CENPK	na	7690	0.032809074968099594	0.51036483	No	
row_30	RSF1	na	7891	0.029383383691310883	0.5055894	No	
row_31	ITGB3BP	na	7982	0.0277056023478508	0.5059214	No	
row_32	PSME4	na	7995	0.02736094407737255	0.5100198	No	
row_33	SRCAP	na	8943	0.012226524762809277	0.46566984	No	
row_34	SYCP3	na	9236	0.008050723001360893	0.45272818	No	
row_35	CENPM	na	9339	0.0064712692983448505	0.44883424	No	
row_36	RNF8	na	9362	0.006219057831913233	0.4488206	No	
row_37	POLE3	na	9844	-8.871716563589871E-4	0.42538255	No	
row_38	DMAP1	na	9913	-0.002001510001718998	0.42239046	No	
row_39	ZNHIT1	na	10003	-0.0030893273651599884	0.41855478	No	
row_40	RBBP7	na	10290	-0.0068499320186674595	0.40570167	No	
row_41	CENPP	na	10612	-0.011240902356803417	0.3918842	No	
row_42	CENPX	na	11289	-0.020657943561673164	0.36226937	No	
row_43	RBBP4	na	11683	-0.026444852352142334	0.34752518	No	
row_44	SPTY2D1	na	11695	-0.026589062064886093	0.3515404	No	
row_45	CENPH	na	11847	-0.028904831036925316	0.34908614	No	
row_46	SMARCA5	na	12525	-0.038420580327510834	0.32246497	No	
row_47	PTMA	na	12601	-0.039570532739162445	0.32556507	No	
row_48	ACTR6	na	13155	-0.04704013839364052	0.30650187	No	
row_49	CENPU	na	14437	-0.06622005254030228	0.25502035	No	
row_50	NPM1	na	16477	-0.10269635915756226	0.17261207	No	
row_51	CENPC	na	17537	-0.12695813179016113	0.1424226	No	
