NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	INHA	na	915	0.2451307475566864	-0.029048832	No	
row_1	IL20RB	na	1579	0.20261549949645996	-0.04847228	No	
row_2	PGLYRP4	na	2513	0.15936121344566345	-0.08398211	No	
row_3	NR1H4	na	2566	0.157124325633049	-0.076323695	No	
row_4	XCL1	na	2939	0.1431698054075241	-0.08530504	No	
row_5	RARA	na	2958	0.142489954829216	-0.07692645	No	
row_6	ZP3	na	3210	0.13394023478031158	-0.080558956	No	
row_7	SIRPA	na	4702	0.0910530611872673	-0.14794326	No	
row_8	HRAS	na	5168	0.08065284043550491	-0.16556121	No	
row_9	ZFPM1	na	5205	0.07990756630897522	-0.16213618	No	
row_10	VTCN1	na	5493	0.07344026863574982	-0.17147182	No	
row_11	FADD	na	6357	0.05580505356192589	-0.21027254	No	
row_12	FZD5	na	6488	0.05384746566414833	-0.21316317	No	
row_13	CEBPG	na	6728	0.04962033033370972	-0.2216875	No	
row_14	IL12RB2	na	6879	0.04678918048739433	-0.22602028	No	
row_15	ISG15	na	6882	0.04675964266061783	-0.22307867	No	
row_16	TRIM27	na	7444	0.03733307868242264	-0.24823269	No	
row_17	HMGB1	na	7470	0.03686407953500748	-0.2470652	No	
row_18	HSPD1	na	8175	0.024330466985702515	-0.28009504	No	
row_19	IL12A	na	8696	0.015995129942893982	-0.30462053	No	
row_20	AVPR2	na	9961	-0.002616498153656721	-0.366594	No	
row_21	IL27	na	9965	-0.0026727954391390085	-0.36656773	No	
row_22	IL23R	na	9966	-0.0026728766970336437	-0.36639395	No	
row_23	PGLYRP3	na	9974	-0.0027635502628982067	-0.36655846	No	
row_24	BCL3	na	10440	-0.009147369302809238	-0.38882512	No	
row_25	INHBA	na	10903	-0.015350759029388428	-0.410541	No	
row_26	PGLYRP2	na	11095	-0.01784662716090679	-0.41877112	No	
row_27	CD160	na	11383	-0.021853268146514893	-0.43146053	No	
row_28	IL33	na	11822	-0.028582993894815445	-0.4511362	No	
row_29	PRNP	na	12030	-0.03168243169784546	-0.45925346	No	
row_30	ABL1	na	12293	-0.03553047031164169	-0.46982458	No	
row_31	IL23A	na	12855	-0.042968809604644775	-0.49461222	No	
row_32	PGLYRP1	na	13305	-0.04934940114617348	-0.51347864	No	
row_33	ZC3H12A	na	13495	-0.05209193378686905	-0.5193841	No	
row_34	CD276	na	13734	-0.055711474269628525	-0.52746326	No	
row_35	WNT5A	na	13826	-0.05713631585240364	-0.5282227	No	
row_36	TCIRG1	na	14625	-0.06950821727514267	-0.56293684	No	
row_37	ISL1	na	14981	-0.07537725567817688	-0.5754897	No	
row_38	GATA3	na	15224	-0.07943833619356155	-0.582223	No	
row_39	BTN3A2	na	15529	-0.08470624685287476	-0.59166205	No	
row_40	TNFSF4	na	15888	-0.09130223095417023	-0.6033271	No	
row_41	SLC11A1	na	16273	-0.09871845692396164	-0.6157883	No	
row_42	CD47	na	16414	-0.10141081362962723	-0.6160783	No	
row_43	IL1RL1	na	16633	-0.10603071004152298	-0.61990285	No	
row_44	TNF	na	17136	-0.11719147115945816	-0.63696444	No	
row_45	RIPK2	na	17296	-0.12094465643167496	-0.6369187	No	
row_46	IL12B	na	17505	-0.12606260180473328	-0.63894933	Yes	
row_47	LGALS9C	na	17558	-0.12737104296684265	-0.6332252	Yes	
row_48	RIPK3	na	17592	-0.1283637285232544	-0.62650245	Yes	
row_49	IL1R1	na	17807	-0.1336200088262558	-0.6283367	Yes	
row_50	C1QBP	na	17944	-0.1370941400527954	-0.6261103	Yes	
row_51	GAS6	na	18020	-0.13917742669582367	-0.6207494	Yes	
row_52	SPN	na	18181	-0.14515084028244019	-0.6191792	Yes	
row_53	AXL	na	18215	-0.14606894552707672	-0.61130536	Yes	
row_54	IRF8	na	18399	-0.15263612568378448	-0.6103792	Yes	
row_55	IL1B	na	18436	-0.15394043922424316	-0.6021412	Yes	
row_56	CD244	na	18526	-0.1577214002609253	-0.59626305	Yes	
row_57	PYCARD	na	18605	-0.16076050698757172	-0.5896465	Yes	
row_58	LGALS9B	na	18715	-0.16452214121818542	-0.5843095	Yes	
row_59	AZI2	na	18832	-0.1682976335287094	-0.57907116	Yes	
row_60	IL27RA	na	18834	-0.16834408044815063	-0.568176	Yes	
row_61	IL10	na	18965	-0.17395202815532684	-0.56325835	Yes	
row_62	TXK	na	19007	-0.17603734135627747	-0.5538296	Yes	
row_63	CD226	na	19061	-0.1788017749786377	-0.54481107	Yes	
row_64	FOXP3	na	19166	-0.18391181528568268	-0.5379677	Yes	
row_65	CCR7	na	19185	-0.1848457008600235	-0.52683544	Yes	
row_66	VSIR	na	19220	-0.1873195618391037	-0.51632905	Yes	
row_67	BTN3A1	na	19233	-0.18832780420780182	-0.50467545	Yes	
row_68	EOMES	na	19255	-0.18968522548675537	-0.4933761	Yes	
row_69	CCR2	na	19310	-0.19334155321121216	-0.48346144	Yes	
row_70	IL12RB1	na	19347	-0.19564186036586761	-0.4725123	Yes	
row_71	CLEC7A	na	19424	-0.20107920467853546	-0.46317625	Yes	
row_72	EBI3	na	19445	-0.2024049311876297	-0.4510008	Yes	
row_73	LGALS9	na	19486	-0.20509660243988037	-0.43963364	Yes	
row_74	KLRK1	na	19561	-0.21178652346134186	-0.42950314	Yes	
row_75	IL18RAP	na	19609	-0.21571940183639526	-0.41778955	Yes	
row_76	TLR4	na	19683	-0.22099778056144714	-0.40701103	Yes	
row_77	LTA	na	19737	-0.22649572789669037	-0.39489183	Yes	
row_78	IL18	na	19750	-0.22780734300613403	-0.3806716	Yes	
row_79	TLR8	na	19831	-0.23614788055419922	-0.3692523	Yes	
row_80	HLA-DPB1	na	19864	-0.2397773712873459	-0.3552372	Yes	
row_81	SLAMF6	na	19889	-0.24228160083293915	-0.34066594	Yes	
row_82	IL18R1	na	19910	-0.2440156787633896	-0.32578528	Yes	
row_83	RASGRP1	na	19923	-0.24591995775699615	-0.31038752	Yes	
row_84	SASH3	na	19950	-0.24934257566928864	-0.29545555	Yes	
row_85	F2RL1	na	19967	-0.2506813704967499	-0.2799449	Yes	
row_86	TLR7	na	19986	-0.2525220215320587	-0.26441294	Yes	
row_87	ITK	na	19988	-0.2527790665626526	-0.24802844	Yes	
row_88	PTPN22	na	20008	-0.25483396649360657	-0.23239532	Yes	
row_89	CD274	na	20090	-0.2627348303794861	-0.21929672	Yes	
row_90	LILRB1	na	20096	-0.2634999454021454	-0.2024119	Yes	
row_91	CD2	na	20105	-0.26424235105514526	-0.18562633	Yes	
row_92	KLRC4-KLRK1	na	20132	-0.2676007151603699	-0.16950735	Yes	
row_93	CD96	na	20156	-0.27120184898376465	-0.15300678	Yes	
row_94	HLA-DPA1	na	20158	-0.27167683839797974	-0.13539371	Yes	
row_95	CD3E	na	20230	-0.28363123536109924	-0.12044496	Yes	
row_96	HAVCR2	na	20258	-0.2884103059768677	-0.10302229	Yes	
row_97	PDE4B	na	20295	-0.2965385317802429	-0.085513666	Yes	
row_98	CD14	na	20304	-0.2991177439689636	-0.066460766	Yes	
row_99	PDCD1LG2	na	20318	-0.30323198437690735	-0.047386203	Yes	
row_100	PDE4D	na	20411	-0.35566484928131104	-0.02878686	Yes	
row_101	TLR3	na	20438	-0.46471932530403137	1.4716331E-4	Yes	
