NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	BMP7	na	117	0.37836194038391113	0.0034948366	No	
row_1	PODXL2	na	809	0.25435754656791687	-0.024581324	No	
row_2	FOXJ1	na	925	0.24450720846652985	-0.02428012	No	
row_3	ARG2	na	1266	0.22005942463874817	-0.035759933	No	
row_4	DPP4	na	1327	0.2167743742465973	-0.03340821	No	
row_5	RAG1	na	1478	0.20830899477005005	-0.035736576	No	
row_6	IL20RB	na	1579	0.20261549949645996	-0.035720658	No	
row_7	ERBB2	na	2137	0.17466287314891815	-0.05909936	No	
row_8	APOA4	na	2543	0.15803124010562897	-0.0753348	No	
row_9	IL1RL2	na	2642	0.1543494313955307	-0.076406926	No	
row_10	CARD11	na	2884	0.14574213325977325	-0.084796034	No	
row_11	XCL1	na	2939	0.1431698054075241	-0.08395696	No	
row_12	RARA	na	2958	0.142489954829216	-0.08134588	No	
row_13	SRC	na	2962	0.14241477847099304	-0.077991344	No	
row_14	PLA2G2F	na	2998	0.14143209159374237	-0.07625097	No	
row_15	IHH	na	3139	0.13619065284729004	-0.07985667	No	
row_16	ZP3	na	3210	0.13394023478031158	-0.08003965	No	
row_17	ZC3H8	na	3405	0.12794573605060577	-0.08653129	No	
row_18	F11R	na	3409	0.12786386907100677	-0.083534725	No	
row_19	SFTPD	na	3434	0.12729190289974213	-0.08159566	No	
row_20	NKAP	na	3465	0.12621814012527466	-0.07998113	No	
row_21	HSPH1	na	3974	0.1109020859003067	-0.10249378	No	
row_22	CEBPB	na	4568	0.09490714222192764	-0.12962331	No	
row_23	GPAM	na	4701	0.09108952432870865	-0.13394107	No	
row_24	SIRPA	na	4702	0.0910530611872673	-0.13170104	No	
row_25	AGER	na	4873	0.08761214464902878	-0.13799244	No	
row_26	HLA-G	na	4950	0.08560505509376526	-0.13966265	No	
row_27	HES1	na	5152	0.08105035126209259	-0.14765579	No	
row_28	ADORA2A	na	5226	0.07933779805898666	-0.14933112	No	
row_29	MAD1L1	na	5303	0.07737450301647186	-0.15120381	No	
row_30	VTCN1	na	5493	0.07344026863574982	-0.15878792	No	
row_31	DLG5	na	5832	0.06588392704725266	-0.17396128	No	
row_32	SART1	na	5860	0.06535182148218155	-0.17369509	No	
row_33	TNFSF11	na	5983	0.06288392841815948	-0.17820987	No	
row_34	GLMN	na	6355	0.055842284113168716	-0.19526994	No	
row_35	FADD	na	6357	0.05580505356192589	-0.19394675	No	
row_36	YES1	na	6494	0.05373445153236389	-0.19938225	No	
row_37	IGF2	na	6533	0.05309594050049782	-0.19996412	No	
row_38	NCK2	na	6677	0.050413038581609726	-0.20582913	No	
