NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MSH5	na	20	0.4634953439235687	0.039036714	Yes	
row_1	CCNE1	na	110	0.38214197754859924	0.06765796	Yes	
row_2	RAD54B	na	247	0.3336119055747986	0.08977904	Yes	
row_3	MCMDC2	na	297	0.32452571392059326	0.1153914	Yes	
row_4	MAPK15	na	346	0.31566354632377625	0.14028773	Yes	
row_5	TOP2A	na	371	0.31120726466178894	0.16597882	Yes	
row_6	AURKA	na	446	0.29844990372657776	0.18811104	Yes	
row_7	P3H4	na	562	0.2827363908290863	0.20687145	Yes	
row_8	C11orf80	na	588	0.279288113117218	0.2297574	Yes	
row_9	EME1	na	642	0.27242711186408997	0.2506748	Yes	
row_10	SHOC1	na	658	0.2706514596939087	0.27330652	Yes	
row_11	MRE11	na	709	0.2650390565395355	0.29373345	Yes	
row_12	ESPL1	na	881	0.24767766892910004	0.30671453	Yes	
row_13	STAG3	na	917	0.2450871765613556	0.326156	Yes	
row_14	BRCA2	na	1041	0.23576687276363373	0.34046775	Yes	
row_15	CDC25B	na	1198	0.22438731789588928	0.3521751	Yes	
row_16	CENPS	na	1323	0.2169283777475357	0.3648111	Yes	
row_17	TEX15	na	1418	0.2108987718820572	0.37840092	Yes	
row_18	CDC25C	na	1484	0.20783421397209167	0.39315143	Yes	
row_19	MYBL1	na	1696	0.19614966213703156	0.3997175	Yes	
row_20	TRIP13	na	1745	0.19323241710662842	0.41404274	Yes	
row_21	PLK1	na	1768	0.19184671342372894	0.42952618	Yes	
row_22	RAD51B	na	2038	0.1788627952337265	0.43174914	Yes	
row_23	SLX4	na	2170	0.17363692820072174	0.4403032	Yes	
row_24	DMC1	na	2385	0.16475456953048706	0.44401112	Yes	
row_25	EME2	na	2485	0.16060782968997955	0.4530129	Yes	
row_26	RAD54L	na	2908	0.1445581465959549	0.44475436	Yes	
row_27	FANCM	na	2945	0.14299502968788147	0.4553317	Yes	
row_28	HORMAD1	na	3104	0.1374051570892334	0.45943046	Yes	
row_29	SYCE1L	na	3121	0.1369331330060959	0.47046733	Yes	
row_30	FBXO5	na	3265	0.13183185458183289	0.47482204	Yes	
row_31	ERCC4	na	3267	0.13182583451271057	0.48615515	Yes	
row_32	MEIOC	na	3468	0.12617966532707214	0.48722047	Yes	
row_33	MLH1	na	3484	0.12553471326828003	0.49732232	Yes	
row_34	MAJIN	na	3572	0.1229441687464714	0.5036619	Yes	
row_35	SUN1	na	3836	0.11519861221313477	0.5006828	Yes	
row_36	SLC2A8	na	3870	0.11411012709140778	0.5089135	Yes	
row_37	CCDC155	na	3895	0.11315642297267914	0.5175043	Yes	
row_38	FANCD2	na	3979	0.11063559353351593	0.5229777	Yes	
row_39	HFM1	na	4052	0.10869987308979034	0.52882457	Yes	
row_40	MLH3	na	4364	0.10016340762376785	0.5221882	Yes	
