NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MSH5	na	20	0.4634953439235687	0.023404254	Yes	
row_1	TDRKH	na	35	0.4351497292518616	0.04561266	Yes	
row_2	NUF2	na	68	0.40294143557548523	0.06523892	Yes	
row_3	CCNE1	na	110	0.38214197754859924	0.08332705	Yes	
row_4	RAD54B	na	247	0.3336119055747986	0.09417861	Yes	
row_5	MCMDC2	na	297	0.32452571392059326	0.1088405	Yes	
row_6	MAPK15	na	346	0.31566354632377625	0.12308534	Yes	
row_7	TTK	na	363	0.3131227493286133	0.13877384	Yes	
row_8	TOP2A	na	371	0.31120726466178894	0.15480517	Yes	
row_9	AURKA	na	446	0.29844990372657776	0.16686259	Yes	
row_10	SGO2	na	447	0.2983461618423462	0.18256219	Yes	
row_11	P3H4	na	562	0.2827363908290863	0.19182102	Yes	
row_12	C11orf80	na	588	0.279288113117218	0.20528543	Yes	
row_13	EME1	na	642	0.27242711186408997	0.21700862	Yes	
row_14	SHOC1	na	658	0.2706514596939087	0.23051147	Yes	
row_15	MRE11	na	709	0.2650390565395355	0.24199376	Yes	
row_16	ASPM	na	751	0.2601810097694397	0.25366405	Yes	
row_17	SPIRE2	na	775	0.25780174136161804	0.26609638	Yes	
row_18	ESPL1	na	881	0.24767766892910004	0.27395397	Yes	
row_19	SGO1	na	893	0.24671855568885803	0.2863946	Yes	
row_20	STAG3	na	917	0.2450871765613556	0.29815787	Yes	
row_21	NCAPH	na	1003	0.23804998397827148	0.3064947	Yes	
row_22	BRCA2	na	1041	0.23576687276363373	0.31707743	Yes	
row_23	FIGNL1	na	1091	0.23197230696678162	0.32686895	Yes	
row_24	BUB1	na	1123	0.22967863082885742	0.33742708	Yes	
row_25	PLCB1	na	1171	0.2266402393579483	0.3470366	Yes	
row_26	CDC25B	na	1198	0.22438731789588928	0.35756272	Yes	
row_27	CENPS	na	1323	0.2169283777475357	0.36286566	Yes	
row_28	TEX15	na	1418	0.2108987718820572	0.3693301	Yes	
row_29	CDC25C	na	1484	0.20783421397209167	0.37706277	Yes	
row_30	MYBL1	na	1696	0.19614966213703156	0.37698382	Yes	
row_31	TRIP13	na	1745	0.19323241710662842	0.38478607	Yes	
row_32	PLK1	na	1768	0.19184671342372894	0.393797	Yes	
row_33	OVOL1	na	1855	0.18699203431606293	0.39939776	Yes	
row_34	CDC20	na	1944	0.18278877437114716	0.40467873	Yes	
row_35	RAD51B	na	2038	0.1788627952337265	0.40950665	Yes	
row_36	SLX4	na	2170	0.17363692820072174	0.41218647	Yes	
row_37	DMC1	na	2385	0.16475456953048706	0.4103076	Yes	
row_38	FBXO43	na	2396	0.16413702070713043	0.41845188	Yes	
row_39	WNT4	na	2405	0.16365401446819305	0.42666936	Yes	
row_40	BUB1B	na	2450	0.16179025173187256	0.43301424	Yes	
row_41	EME2	na	2485	0.16060782968997955	0.4397898	Yes	
row_42	MASTL	na	2681	0.15305611491203308	0.4382319	Yes	
row_43	KIF18A	na	2686	0.152756467461586	0.44607309	Yes	
row_44	SPDYA	na	2749	0.1502295434474945	0.45092234	Yes	
row_45	RAD54L	na	2908	0.1445581465959549	0.45074105	Yes	
row_46	FANCM	na	2945	0.14299502968788147	0.4564912	Yes	
row_47	GPR3	na	2991	0.1416555941104889	0.46172726	Yes	
row_48	HORMAD1	na	3104	0.1374051570892334	0.46343702	Yes	
row_49	TAF1L	na	3118	0.13697859644889832	0.47000432	Yes	
