NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MAPK15	na	346	0.31566354632377625	0.07402809	Yes	
row_1	TTK	na	363	0.3131227493286133	0.16348456	Yes	
row_2	TOP2A	na	371	0.31120726466178894	0.25282973	Yes	
row_3	EME1	na	642	0.27242711186408997	0.3181192	Yes	
row_4	SHOC1	na	658	0.2706514596939087	0.39538467	Yes	
row_5	ESPL1	na	881	0.24767766892910004	0.45589215	Yes	
row_6	NCAPH	na	1003	0.23804998397827148	0.5185711	Yes	
row_7	CENPS	na	1323	0.2169283777475357	0.5654666	Yes	
row_8	SLX4	na	2170	0.17363692820072174	0.57407767	Yes	
row_9	EME2	na	2485	0.16060782968997955	0.6049867	Yes	
row_10	FANCM	na	2945	0.14299502968788147	0.62371904	Yes	
row_11	ERCC4	na	3267	0.13182583451271057	0.64599055	Yes	
row_12	MLH1	na	3484	0.12553471326828003	0.67159104	Yes	
row_13	HFM1	na	4052	0.10869987308979034	0.67515075	Yes	
row_14	M1AP	na	4719	0.09077270328998566	0.6686958	No	
row_15	NCAPH2	na	6583	0.052145037800073624	0.5924896	No	
row_16	TEX11	na	7976	0.02788572758436203	0.53235763	No	
row_17	MUS81	na	9838	-7.061383221298456E-4	0.44142497	No	
row_18	RMI1	na	11155	-0.018690166994929314	0.38236475	No	
row_19	CENPX	na	11289	-0.020657943561673164	0.381805	No	
row_20	TOP2B	na	13972	-0.059530310332775116	0.26761946	No	
row_21	MSH4	na	18884	-0.1704716980457306	0.07624881	No	
