NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	XCL1	na	2939	0.1431698054075241	-0.13374622	No	
row_1	CCL26	na	3537	0.12398801743984222	-0.15378039	No	
row_2	DAPK2	na	3563	0.12321805953979492	-0.14574772	No	
row_3	SAA1	na	3674	0.11972758919000626	-0.1421568	No	
row_4	XG	na	4400	0.09906678646802902	-0.17035784	No	
row_5	MOSPD2	na	5393	0.07563431560993195	-0.21344836	No	
row_6	LBP	na	6046	0.06142834946513176	-0.2408892	No	
row_7	CXCL6	na	7308	0.0397685207426548	-0.2999021	No	
row_8	CXCL5	na	7328	0.03936983644962311	-0.297877	No	
row_9	CCL24	na	7599	0.03435077890753746	-0.30857062	No	
row_10	CXADR	na	8239	0.02319061942398548	-0.3382465	No	
row_11	PF4	na	8365	0.021451031789183617	-0.34278023	No	
row_12	S100A9	na	8546	0.0179500263184309	-0.35028142	No	
row_13	RAC1	na	9308	0.006922142114490271	-0.38717872	No	
row_14	PLA2G1B	na	9338	0.006471344269812107	-0.3881182	No	
row_15	ADAM8	na	10201	-0.005780626554042101	-0.43006742	No	
row_16	SLIT2	na	10640	-0.011662391014397144	-0.45072684	No	
row_17	C5AR2	na	10678	-0.012177662923932076	-0.45163074	No	
row_18	CD99L2	na	10749	-0.013301847502589226	-0.4540727	No	
row_19	MDK	na	10853	-0.014725062064826488	-0.45803028	No	
row_20	IL1A	na	10878	-0.015067078173160553	-0.45807782	No	
row_21	TGFB2	na	10949	-0.015875786542892456	-0.4603263	No	
row_22	VAV3	na	11088	-0.017738115042448044	-0.46577832	No	
row_23	ITGA9	na	11505	-0.02385716885328293	-0.48443937	No	
row_24	S100A8	na	11867	-0.02921968325972557	-0.49999306	No	
row_25	CCL20	na	12471	-0.03785993903875351	-0.52679616	No	
row_26	PPBP	na	12484	-0.038040678948163986	-0.52452683	No	
row_27	CCL15	na	12546	-0.03870820254087448	-0.5246166	No	
row_28	IL23A	na	12855	-0.042968809604644775	-0.5365308	No	
row_29	GBF1	na	13024	-0.04518067091703415	-0.5413951	No	
row_30	CX3CL1	na	13042	-0.04541430622339249	-0.53881735	No	
row_31	LGALS3	na	13287	-0.04906294867396355	-0.5471267	No	
row_32	TIRAP	na	13765	-0.05611534044146538	-0.5663624	No	
row_33	CCL14	na	14012	-0.06013252213597298	-0.57393795	No	
row_34	S100A12	na	14028	-0.060331571847200394	-0.5701406	No	
row_35	THBS4	na	14048	-0.06064912676811218	-0.56651604	No	
row_36	CCL3L1	na	14813	-0.0725230947136879	-0.59862983	No	
row_37	EDN3	na	15020	-0.07599572092294693	-0.60304636	No	
row_38	EDN1	na	15188	-0.07871752232313156	-0.6053406	No	
row_39	WDR1	na	15274	-0.08010093122720718	-0.60349905	No	
row_40	PIP5K1C	na	15646	-0.08698226511478424	-0.6152026	Yes	
row_41	MPP1	na	15657	-0.08714224398136139	-0.60914415	Yes	
row_42	CAMK1D	na	15860	-0.09080226719379425	-0.612251	Yes	
row_43	CCL25	na	15889	-0.09131135791540146	-0.60676414	Yes	
row_44	JAGN1	na	15898	-0.09170527756214142	-0.6002643	Yes	
row_45	JAM3	na	15906	-0.0918177142739296	-0.59370685	Yes	
row_46	CD99	na	15987	-0.09334982931613922	-0.5906236	Yes	
row_47	CD177	na	16120	-0.09589231014251709	-0.58990604	Yes	
row_48	BST1	na	16238	-0.0980844646692276	-0.5882861	Yes	
row_49	ITGA1	na	16375	-0.10058195143938065	-0.5874127	Yes	
row_50	CXCL11	na	16478	-0.10270784795284271	-0.58470774	Yes	
row_51	CKLF	na	16644	-0.10627657175064087	-0.5848322	Yes	
row_52	RHOG	na	16727	-0.10797182470560074	-0.58074814	Yes	
row_53	MCOLN2	na	17042	-0.11511973291635513	-0.58753407	Yes	
row_54	CXCR1	na	17077	-0.11602020263671875	-0.580485	Yes	
row_55	CSF3R	na	17084	-0.11615435034036636	-0.5720491	Yes	
row_56	CCL7	na	17204	-0.11851390451192856	-0.5689919	Yes	
row_57	CXCR2	na	17346	-0.12205500900745392	-0.5667502	Yes	
row_58	CXCL8	na	17497	-0.12588953971862793	-0.56466293	Yes	
row_59	IL1R1	na	17807	-0.1336200088262558	-0.56981236	Yes	
row_60	PIK3CD	na	17825	-0.1340973973274231	-0.56056863	Yes	
row_61	RIPOR2	na	17843	-0.1344238966703415	-0.5513003	Yes	
row_62	CCL2	na	17937	-0.13700351119041443	-0.5455749	Yes	
row_63	C1QBP	na	17944	-0.1370941400527954	-0.535565	Yes	
row_64	VAV1	na	18081	-0.14153026044368744	-0.53161365	Yes	
row_65	CCL19	na	18105	-0.1424190253019333	-0.5220394	Yes	
row_66	EDN2	na	18343	-0.15064863860607147	-0.5223687	Yes	
row_67	CXCL2	na	18354	-0.15102067589759827	-0.5115087	Yes	
row_68	CCL17	na	18428	-0.15366485714912415	-0.50354755	Yes	
row_69	PREX1	na	18435	-0.1539386510848999	-0.4922715	Yes	
row_70	IL1B	na	18436	-0.15394043922424316	-0.48070034	Yes	
row_71	PECAM1	na	18439	-0.15410929918289185	-0.4692148	Yes	
row_72	CCL23	na	18506	-0.15693266689777374	-0.46066386	Yes	
row_73	CCL21	na	18549	-0.15830427408218384	-0.45082974	Yes	
row_74	SYK	na	18753	-0.16581445932388306	-0.44834736	Yes	
row_75	IL1RN	na	18937	-0.17226357758045197	-0.44439682	Yes	
