NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ATAD5	na	265	0.3305155634880066	-0.0060678576	No	
row_1	SHLD1	na	269	0.3299015760421753	9.014441E-4	No	
row_2	CHRNB2	na	817	0.25351449847221375	-0.020874593	No	
row_3	SLC39A10	na	1143	0.22847628593444824	-0.032132935	No	
row_4	DPP4	na	1327	0.2167743742465973	-0.03657066	No	
row_5	RAG1	na	1478	0.20830899477005005	-0.0395473	No	
row_6	STXBP1	na	1665	0.19831888377666473	-0.0445327	No	
row_7	MSH2	na	2052	0.17826539278030396	-0.05991296	No	
row_8	ZNF335	na	2453	0.16168448328971863	-0.076348364	No	
row_9	TTBK1	na	2477	0.16092874109745026	-0.074021436	No	
row_10	IL1RL2	na	2642	0.1543494313955307	-0.07885978	No	
row_11	CARD11	na	2884	0.14574213325977325	-0.08771929	No	
row_12	XCL1	na	2939	0.1431698054075241	-0.0873197	No	
row_13	RARA	na	2958	0.142489954829216	-0.08514159	No	
row_14	SRC	na	2962	0.14241477847099304	-0.08221795	No	
row_15	IGHG4	na	3085	0.13803718984127045	-0.08531624	No	
row_16	IHH	na	3139	0.13619065284729004	-0.08501744	No	
row_17	ZP3	na	3210	0.13394023478031158	-0.08561398	No	
row_18	F11R	na	3409	0.12786386907100677	-0.09271741	No	
row_19	NKAP	na	3465	0.12621814012527466	-0.09273342	No	
row_20	MLH1	na	3484	0.12553471326828003	-0.09092118	No	
row_21	CEBPA	na	3844	0.1148400753736496	-0.106325164	No	
row_22	HSPH1	na	3974	0.1109020859003067	-0.110357665	No	
row_23	MAD2L2	na	4008	0.10973325371742249	-0.10963356	No	
row_24	IGHV7-81	na	4317	0.10153183341026306	-0.12278437	No	
row_25	GPAM	na	4701	0.09108952432870865	-0.1398963	No	
row_26	SIRPA	na	4702	0.0910530611872673	-0.13793154	No	
row_27	BLOC1S3	na	4805	0.0889812558889389	-0.14109215	No	
row_28	AGER	na	4873	0.08761214464902878	-0.14253895	No	
row_29	HLA-G	na	4950	0.08560505509376526	-0.14447735	No	
row_30	IRS2	na	5055	0.08298316597938538	-0.14786702	No	
row_31	HES1	na	5152	0.08105035126209259	-0.15089992	No	
row_32	NSD2	na	5161	0.08081716299057007	-0.1495545	No	
row_33	MPL	na	5223	0.07935298979282379	-0.15088065	No	
row_34	NFATC2	na	5322	0.07682717591524124	-0.15410429	No	
row_35	PCID2	na	5331	0.07663949579000473	-0.15284903	No	
row_36	CRLF2	na	5401	0.0754295215010643	-0.15465832	No	
row_37	VTCN1	na	5493	0.07344026863574982	-0.15760638	No	
row_38	IGHE	na	5518	0.07287733256816864	-0.15722926	No	
row_39	SART1	na	5860	0.06535182148218155	-0.17280453	No	
row_40	TNFSF11	na	5983	0.06288392841815948	-0.1775245	No	
row_41	LBP	na	6046	0.06142834946513176	-0.17928725	No	
row_42	FADD	na	6357	0.05580505356192589	-0.19352439	No	
row_43	YES1	na	6494	0.05373445153236389	-0.19913915	No	
row_44	IGF2	na	6533	0.05309594050049782	-0.19988623	No	
row_45	NCK2	na	6677	0.050413038581609726	-0.20592134	No	
row_46	SPHK2	na	6747	0.04917869716882706	-0.20829707	No	
row_47	RIF1	na	6950	0.04579032585024834	-0.21737076	No	
row_48	DNAJA3	na	7123	0.04227065667510033	-0.22502607	No	
row_49	EXOSC6	na	7383	0.03846798464655876	-0.23709698	No	
row_50	HMGB1	na	7470	0.03686407953500748	-0.24058522	No	
row_51	TSLP	na	7618	0.0340796634554863	-0.24717203	No	
row_52	EFNB3	na	7865	0.029928311705589294	-0.25877964	No	
row_53	CAPN3	na	7927	0.028801705688238144	-0.2611966	No	
row_54	NFKBIZ	na	7993	0.02747867815196514	-0.26384136	No	
row_55	NECTIN2	na	8089	0.02586931549012661	-0.26801518	No	
row_56	HSPD1	na	8175	0.024330466985702515	-0.27172408	No	
row_57	PRKCZ	na	8257	0.022820478305220604	-0.27526632	No	
row_58	SOCS5	na	8297	0.022328166291117668	-0.2767271	No	
row_59	HHLA2	na	8337	0.021804694086313248	-0.27819923	No	
row_60	IGHG1	na	8425	0.0203037578612566	-0.28209463	No	
row_61	CD24	na	8653	0.016523078083992004	-0.29304513	No	
row_62	SHLD2	na	8665	0.01635519042611122	-0.29324013	No	
row_63	IL12A	na	8696	0.015995129942893982	-0.2943893	No	
row_64	FLOT2	na	8714	0.01565724052488804	-0.29489824	No	
row_65	ZBTB7B	na	8735	0.015414325520396233	-0.29556182	No	
row_66	CD46	na	8745	0.015197692438960075	-0.2956822	No	
row_67	LEP	na	8844	0.013629651628434658	-0.3002695	No	
row_68	IGHV4-61	na	9054	0.010655175894498825	-0.31045005	No	
row_69	LAMP1	na	9276	0.007549474947154522	-0.32129532	No	
row_70	RAC1	na	9308	0.006922142114490271	-0.32269007	No	
row_71	PAK2	na	9385	0.005807057023048401	-0.3263504	No	
row_72	PAK1	na	9418	0.00527093606069684	-0.32783058	No	
row_73	TP53BP1	na	9436	0.005072619300335646	-0.32856792	No	
row_74	VAMP7	na	9463	0.004694758448749781	-0.32976168	No	
row_75	CCDC88B	na	9578	0.0030365095008164644	-0.3353746	No	
row_76	TFRC	na	9824	-5.078712711110711E-4	-0.34756726	No	
row_77	IL23R	na	9966	-0.0026728766970336437	-0.3545329	No	
row_78	SOX15	na	10028	-0.0034211394377052784	-0.3574975	No	
row_79	STAT5B	na	10043	-0.0035929931327700615	-0.35811734	No	
row_80	IGHV1-18	na	10071	-0.003975951578468084	-0.35937643	No	
row_81	TAC1	na	10104	-0.004334446974098682	-0.36087683	No	
row_82	AP3D1	na	10161	-0.0051720053888857365	-0.36355463	No	
row_83	ADAM8	na	10201	-0.005780626554042101	-0.3653725	No	
row_84	ZMIZ1	na	10227	-0.006016875617206097	-0.36648795	No	
row_85	CBFB	na	10230	-0.0060381582006812096	-0.36645728	No	
row_86	STX4	na	10264	-0.00655396468937397	-0.36795962	No	
row_87	IL4R	na	10299	-0.006919110659509897	-0.3695039	No	
row_88	MALT1	na	10340	-0.007647477090358734	-0.37133127	No	
row_89	PDPK1	na	10484	-0.00959084928035736	-0.37824726	No	
row_90	MDK	na	10853	-0.014725062064826488	-0.39625987	No	
row_91	VAV3	na	11088	-0.017738115042448044	-0.4075328	No	
row_92	GAB2	na	11260	-0.02031484618782997	-0.41561207	No	
row_93	PTPN11	na	11364	-0.021667996421456337	-0.42027503	No	
row_94	CD160	na	11383	-0.021853268146514893	-0.42070007	No	
row_95	IGHG2	na	11442	-0.022789428010582924	-0.4230973	No	
row_96	AKT1	na	11580	-0.025036484003067017	-0.42938116	No	
row_97	EXOSC3	na	11590	-0.02515261247754097	-0.4292867	No	
row_98	NOD2	na	11658	-0.026134949177503586	-0.43206006	No	
row_99	ICOSLG	na	11736	-0.0272534117102623	-0.4353074	No	
row_100	IGHV3-48	na	11761	-0.02764642797410488	-0.4359063	No	
row_101	IL33	na	11822	-0.028582993894815445	-0.43827817	No	
row_102	CLCF1	na	11852	-0.02899639494717121	-0.439097	No	
row_103	SHH	na	12142	-0.033403828740119934	-0.45277148	No	
row_104	MYB	na	12177	-0.03380484879016876	-0.4537356	No	
row_105	EFNB2	na	12201	-0.03407867252826691	-0.45414588	No	
row_106	ADORA2B	na	12233	-0.03454938530921936	-0.4549445	No	
row_107	MMP8	na	12341	-0.03615303710103035	-0.4594941	No	
row_108	AP1G1	na	12372	-0.03664083033800125	-0.46019778	No	
row_109	MAP3K8	na	12378	-0.036714114248752594	-0.4596546	No	
row_110	SOCS1	na	12426	-0.03730682656168938	-0.4611907	No	
row_111	ZBTB16	na	12443	-0.03754958137869835	-0.4611774	No	
row_112	SNX4	na	12478	-0.03795444965362549	-0.462052	No	
row_113	FYN	na	12726	-0.04119419306516647	-0.4734663	No	
row_114	IGHV2-5	na	12728	-0.041205067187547684	-0.47262698	No	
row_115	IGHV1-3	na	12733	-0.041310667991638184	-0.47193483	No	
row_116	IGLL1	na	12811	-0.04237398877739906	-0.47485587	No	
row_117	PIK3CA	na	12850	-0.042895589023828506	-0.47582307	No	
row_118	IL23A	na	12855	-0.042968809604644775	-0.47509512	No	
row_119	PPP2R3C	na	12918	-0.04375453293323517	-0.47723922	No	
row_120	IGHV4-28	na	12999	-0.044867705553770065	-0.48025593	No	
row_121	RUNX3	na	13021	-0.045142002403736115	-0.48032784	No	
row_122	STAT6	na	13023	-0.04514491185545921	-0.47940353	No	
row_123	PAK3	na	13110	-0.04633659869432449	-0.48268735	No	
row_124	IGHV6-1	na	13169	-0.04727941378951073	-0.48455617	No	
row_125	IGFBP2	na	13186	-0.0475417785346508	-0.4843273	No	
row_126	MIF	na	13189	-0.04759855568408966	-0.4833998	No	
row_127	PAXIP1	na	13283	-0.04902699962258339	-0.48697427	No	
row_128	KARS1	na	13301	-0.049286141991615295	-0.48675755	No	
row_129	RPS3	na	13304	-0.04930724576115608	-0.4857932	No	
row_130	CDC42	na	13431	-0.051255930215120316	-0.4909633	No	
row_131	IGHV3-11	na	13493	-0.05205183103680611	-0.4928786	No	
row_132	SELP	na	13537	-0.052769362926483154	-0.49388176	No	
row_133	IGHV3-64	na	13540	-0.052799079567193985	-0.49284208	No	
row_134	RUNX1	na	13670	-0.054629869759082794	-0.49808884	No	
row_135	IGHV3-21	na	13690	-0.054981380701065063	-0.49784884	No	
row_136	CD276	na	13734	-0.055711474269628525	-0.49878854	No	
row_137	TIRAP	na	13765	-0.05611534044146538	-0.499072	No	
