NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ZP3	na	3210	0.13394023478031158	-0.1430992	No	
row_1	HRAS	na	5168	0.08065284043550491	-0.23044848	No	
row_2	ZFPM1	na	5205	0.07990756630897522	-0.22364175	No	
row_3	FADD	na	6357	0.05580505356192589	-0.27411792	No	
row_4	FZD5	na	6488	0.05384746566414833	-0.27471823	No	
row_5	CEBPG	na	6728	0.04962033033370972	-0.2811191	No	
row_6	IL12RB2	na	6879	0.04678918048739433	-0.28345776	No	
row_7	HSPD1	na	8175	0.024330466985702515	-0.34437463	No	
row_8	IL12A	na	8696	0.015995129942893982	-0.36816758	No	
row_9	IL27	na	9965	-0.0026727954391390085	-0.43008342	No	
row_10	IL23R	na	9966	-0.0026728766970336437	-0.42979667	No	
row_11	BCL3	na	10440	-0.009147369302809238	-0.45201865	No	
row_12	CD160	na	11383	-0.021853268146514893	-0.4958846	No	
row_13	ABL1	na	12293	-0.03553047031164169	-0.5366644	No	
row_14	IL23A	na	12855	-0.042968809604644775	-0.5595748	No	
row_15	CD276	na	13734	-0.055711474269628525	-0.5966688	No	
row_16	WNT5A	na	13826	-0.05713631585240364	-0.5950031	No	
row_17	ISL1	na	14981	-0.07537725567817688	-0.6435267	No	
row_18	TNFSF4	na	15888	-0.09130223095417023	-0.6781759	No	
row_19	SLC11A1	na	16273	-0.09871845692396164	-0.68642247	No	
row_20	TNF	na	17136	-0.11719147115945816	-0.7161358	No	
row_21	RIPK2	na	17296	-0.12094465643167496	-0.7109603	No	
row_22	IL12B	na	17505	-0.12606260180473328	-0.7076395	No	
row_23	IL1R1	na	17807	-0.1336200088262558	-0.70807016	No	
row_24	IRF8	na	18399	-0.15263612568378448	-0.7206868	Yes	
row_25	IL1B	na	18436	-0.15394043922424316	-0.70593756	Yes	
row_26	CD244	na	18526	-0.1577214002609253	-0.6933827	Yes	
row_27	PYCARD	na	18605	-0.16076050698757172	-0.67996216	Yes	
row_28	IL27RA	na	18834	-0.16834408044815063	-0.67308635	Yes	
row_29	TXK	na	19007	-0.17603734135627747	-0.6626381	Yes	
row_30	CD226	na	19061	-0.1788017749786377	-0.64605564	Yes	
row_31	CCR2	na	19310	-0.19334155321121216	-0.6374792	Yes	
row_32	IL12RB1	na	19347	-0.19564186036586761	-0.61825615	Yes	
row_33	CLEC7A	na	19424	-0.20107920467853546	-0.60041195	Yes	
row_34	EBI3	na	19445	-0.2024049311876297	-0.5796785	Yes	
row_35	LGALS9	na	19486	-0.20509660243988037	-0.5596373	Yes	
row_36	KLRK1	na	19561	-0.21178652346134186	-0.5405463	Yes	
row_37	TLR4	na	19683	-0.22099778056144714	-0.5227727	Yes	
row_38	LTA	na	19737	-0.22649572789669037	-0.50107354	Yes	
row_39	IL18	na	19750	-0.22780734300613403	-0.4772223	Yes	
row_40	TLR8	na	19831	-0.23614788055419922	-0.4558121	Yes	
row_41	HLA-DPB1	na	19864	-0.2397773712873459	-0.43165782	Yes	
row_42	SLAMF6	na	19889	-0.24228160083293915	-0.40684244	Yes	
row_43	IL18R1	na	19910	-0.2440156787633896	-0.38164482	Yes	
row_44	RASGRP1	na	19923	-0.24591995775699615	-0.35585043	Yes	
row_45	SASH3	na	19950	-0.24934257566928864	-0.33037564	Yes	
row_46	TLR7	na	19986	-0.2525220215320587	-0.30500123	Yes	
row_47	PTPN22	na	20008	-0.25483396649360657	-0.27869204	Yes	
row_48	CD2	na	20105	-0.26424235105514526	-0.25505266	Yes	
row_49	KLRC4-KLRK1	na	20132	-0.2676007151603699	-0.22761907	Yes	
row_50	HLA-DPA1	na	20158	-0.27167683839797974	-0.19969913	Yes	
row_51	CD3E	na	20230	-0.28363123536109924	-0.17275324	Yes	
row_52	HAVCR2	na	20258	-0.2884103059768677	-0.1431362	Yes	
row_53	PDE4B	na	20295	-0.2965385317802429	-0.113088645	Yes	
row_54	CD14	na	20304	-0.2991177439689636	-0.08139082	Yes	
row_55	PDE4D	na	20411	-0.35566484928131104	-0.048433904	Yes	
row_56	TLR3	na	20438	-0.46471932530403137	1.4716583E-4	Yes	
