NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RAG1	na	1478	0.20830899477005005	-0.055820696	No	
row_1	IL1RL2	na	2642	0.1543494313955307	-0.10051607	No	
row_2	RARA	na	2958	0.142489954829216	-0.10449946	No	
row_3	IHH	na	3139	0.13619065284729004	-0.10235745	No	
row_4	NKAP	na	3465	0.12621814012527466	-0.108144894	No	
row_5	HLA-G	na	4950	0.08560505509376526	-0.1741592	No	
row_6	PCID2	na	5331	0.07663949579000473	-0.18664883	No	
row_7	SART1	na	5860	0.06535182148218155	-0.20732144	No	
row_8	NFKBIZ	na	7993	0.02747867815196514	-0.3098661	No	
row_9	PRKCZ	na	8257	0.022820478305220604	-0.32094833	No	
row_10	SOCS5	na	8297	0.022328166291117668	-0.32106343	No	
row_11	IL12A	na	8696	0.015995129942893982	-0.33932987	No	
row_12	ZBTB7B	na	8735	0.015414325520396233	-0.33995357	No	
row_13	CD46	na	8745	0.015197692438960075	-0.3391698	No	
row_14	IL23R	na	9966	-0.0026728766970336437	-0.3989021	No	
row_15	STAT5B	na	10043	-0.0035929931327700615	-0.40234667	No	
row_16	AP3D1	na	10161	-0.0051720053888857365	-0.40767854	No	
row_17	ADAM8	na	10201	-0.005780626554042101	-0.40912858	No	
row_18	ZMIZ1	na	10227	-0.006016875617206097	-0.40987164	No	
row_19	CBFB	na	10230	-0.0060381582006812096	-0.40948278	No	
row_20	IL4R	na	10299	-0.006919110659509897	-0.41226596	No	
row_21	MALT1	na	10340	-0.007647477090358734	-0.41361454	No	
row_22	MDK	na	10853	-0.014725062064826488	-0.43758512	No	
row_23	SHH	na	12142	-0.033403828740119934	-0.4981796	No	
row_24	MYB	na	12177	-0.03380484879016876	-0.49712318	No	
row_25	SOCS1	na	12426	-0.03730682656168938	-0.5062997	No	
row_26	ZBTB16	na	12443	-0.03754958137869835	-0.5040567	No	
row_27	IL23A	na	12855	-0.042968809604644775	-0.52078587	No	
row_28	PPP2R3C	na	12918	-0.04375453293323517	-0.52030265	No	
row_29	RUNX3	na	13021	-0.045142002403736115	-0.52167296	No	
row_30	RUNX1	na	13670	-0.054629869759082794	-0.5491071	No	
row_31	TGFBR2	na	14869	-0.07331227511167526	-0.6020597	No	
row_32	GATA3	na	15224	-0.07943833619356155	-0.61304593	No	
row_33	TNFSF4	na	15888	-0.09130223095417023	-0.6382587	No	
row_34	ZBTB1	na	16118	-0.09587748348712921	-0.64177656	Yes	
row_35	MMP14	na	16177	-0.09703519195318222	-0.6367985	Yes	
row_36	RHOA	na	16266	-0.09856519848108292	-0.63317114	Yes	
row_37	NFKBID	na	16290	-0.09921056777238846	-0.6262978	Yes	
row_38	VNN1	na	16334	-0.09978286921977997	-0.62036103	Yes	
row_39	BCL6	na	16389	-0.1009061336517334	-0.6148741	Yes	
row_40	BAD	na	16834	-0.11034908145666122	-0.62778914	Yes	
row_41	INPP5D	na	17120	-0.11669404059648514	-0.6323794	Yes	
row_42	PNP	na	17189	-0.11815022677183151	-0.62618935	Yes	
row_43	GLI2	na	17263	-0.11988788843154907	-0.6201048	Yes	
row_44	RIPK2	na	17296	-0.12094465643167496	-0.61192036	Yes	
row_45	EGR3	na	17311	-0.12125744670629501	-0.6028262	Yes	
row_46	IL12B	na	17505	-0.12606260180473328	-0.60214	Yes	
row_47	ADA	na	17553	-0.12725122272968292	-0.59418386	Yes	
row_48	GLI3	na	17884	-0.13560955226421356	-0.59945935	Yes	
row_49	ATP11C	na	17895	-0.1358853131532669	-0.58898854	Yes	
row_50	GAS6	na	18020	-0.13917742669582367	-0.5838539	Yes	
row_51	BTN2A2	na	18028	-0.139390230178833	-0.572953	Yes	
row_52	CCL19	na	18105	-0.1424190253019333	-0.5651982	Yes	
row_53	AXL	na	18215	-0.14606894552707672	-0.5587705	Yes	
row_54	ZAP70	na	18273	-0.14826470613479614	-0.5496105	Yes	
row_55	NLRP3	na	18511	-0.1571834832429886	-0.5485758	Yes	
row_56	AP3B1	na	18589	-0.16032163798809052	-0.5394259	Yes	
row_57	CD83	na	18663	-0.16298320889472961	-0.5298648	Yes	
row_58	SYK	na	18753	-0.16581445932388306	-0.5208614	Yes	
row_59	HLX	na	18833	-0.16830988228321075	-0.5111654	Yes	
row_60	CD80	na	18837	-0.16844095289707184	-0.4977243	Yes	
row_61	CD74	na	18972	-0.17448127269744873	-0.49023297	Yes	
row_62	FOXP3	na	19166	-0.18391181528568268	-0.48487997	Yes	
row_63	ITPKB	na	19219	-0.1872556060552597	-0.47232884	Yes	
row_64	VSIR	na	19220	-0.1873195618391037	-0.45721737	Yes	
row_65	ANXA1	na	19276	-0.19127774238586426	-0.44448915	Yes	
row_66	IFNG	na	19320	-0.19406312704086304	-0.4309466	Yes	
row_67	IL12RB1	na	19347	-0.19564186036586761	-0.41644132	Yes	
row_68	FLT3LG	na	19371	-0.19692572951316833	-0.4016851	Yes	
row_69	LGALS9	na	19486	-0.20509660243988037	-0.3907412	Yes	
row_70	IL7	na	19668	-0.21988245844841003	-0.38189673	Yes	
row_71	DUSP10	na	19669	-0.2200576812028885	-0.3641442	Yes	
row_72	CYLD	na	19672	-0.22048118710517883	-0.3464558	Yes	
row_73	IL18	na	19750	-0.22780734300613403	-0.3318617	Yes	
row_74	TESPA1	na	19798	-0.2320414036512375	-0.3154519	Yes	
row_75	LILRB2	na	19803	-0.23265528678894043	-0.29687965	Yes	
row_76	TOX	na	19896	-0.24286796152591705	-0.28180766	Yes	
row_77	IL7R	na	19913	-0.24430066347122192	-0.2628856	Yes	
row_78	RASGRP1	na	19923	-0.24591995775699615	-0.24348895	Yes	
row_79	CD27	na	19942	-0.24797429144382477	-0.22436883	Yes	
row_80	SASH3	na	19950	-0.24934257566928864	-0.2045978	Yes	
row_81	PIK3R6	na	19981	-0.2521035075187683	-0.1857342	Yes	
row_82	NCKAP1L	na	20021	-0.25600549578666687	-0.16699807	Yes	
row_83	BTK	na	20024	-0.2563304603099823	-0.14641762	Yes	
row_84	RHOH	na	20129	-0.26742908358573914	-0.12995388	Yes	
row_85	LILRB4	na	20137	-0.2678970992565155	-0.10868601	Yes	
row_86	CD86	na	20199	-0.2783719301223755	-0.08922655	Yes	
row_87	PTPRC	na	20207	-0.2795366644859314	-0.0670197	Yes	
row_88	TNFSF9	na	20358	-0.31447216868400574	-0.049021214	Yes	
row_89	IL2RA	na	20381	-0.3257945477962494	-0.02381971	Yes	
row_90	IL15	na	20389	-0.33120280504226685	0.0025551557	Yes	
