NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CARD11	na	2884	0.14574213325977325	-0.13089857	No	
row_1	XCL1	na	2939	0.1431698054075241	-0.122941904	No	
row_2	ZP3	na	3210	0.13394023478031158	-0.1262819	No	
row_3	GPAM	na	4701	0.09108952432870865	-0.19273944	No	
row_4	AGER	na	4873	0.08761214464902878	-0.19464852	No	
row_5	HES1	na	5152	0.08105035126209259	-0.20230107	No	
row_6	VTCN1	na	5493	0.07344026863574982	-0.21356381	No	
row_7	FADD	na	6357	0.05580505356192589	-0.2518299	No	
row_8	IGF2	na	6533	0.05309594050049782	-0.2564934	No	
row_9	NCK2	na	6677	0.050413038581609726	-0.25978345	No	
row_10	DNAJA3	na	7123	0.04227065667510033	-0.278515	No	
row_11	HMGB1	na	7470	0.03686407953500748	-0.29278308	No	
row_12	HHLA2	na	8337	0.021804694086313248	-0.3337162	No	
row_13	CD24	na	8653	0.016523078083992004	-0.34796858	No	
row_14	IL12A	na	8696	0.015995129942893982	-0.34884682	No	
row_15	CD46	na	8745	0.015197692438960075	-0.35007894	No	
row_16	LEP	na	8844	0.013629651628434658	-0.35388392	No	
row_17	CCDC88B	na	9578	0.0030365095008164644	-0.38967323	No	
row_18	TFRC	na	9824	-5.078712711110711E-4	-0.40167314	No	
row_19	IL23R	na	9966	-0.0026728766970336437	-0.40840277	No	
row_20	STAT5B	na	10043	-0.0035929931327700615	-0.4118706	No	
row_21	ICOSLG	na	11736	-0.0272534117102623	-0.49298367	No	
row_22	SHH	na	12142	-0.033403828740119934	-0.51040703	No	
row_23	IL23A	na	12855	-0.042968809604644775	-0.5422053	No	
row_24	IGFBP2	na	13186	-0.0475417785346508	-0.55489594	No	
row_25	RPS3	na	13304	-0.04930724576115608	-0.5569905	No	
row_26	CD276	na	13734	-0.055711474269628525	-0.57393986	No	
row_27	SELENOK	na	13979	-0.05961795896291733	-0.5815102	No	
row_28	SPTA1	na	14074	-0.061015017330646515	-0.58160704	No	
row_29	CD81	na	14499	-0.06707176566123962	-0.5974689	No	
row_30	JAK3	na	14570	-0.0684574618935585	-0.5958351	No	
row_31	EFNB1	na	14615	-0.06938811391592026	-0.5928548	No	
