NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ATAD5	na	265	0.3305155634880066	-0.0017301355	No	
row_1	CHRNB2	na	817	0.25351449847221375	-0.02024301	No	
row_2	FOXJ1	na	925	0.24450720846652985	-0.017122386	No	
row_3	SLC39A10	na	1143	0.22847628593444824	-0.019989468	No	
row_4	ARG2	na	1266	0.22005942463874817	-0.018450946	No	
row_5	IL20RB	na	1579	0.20261549949645996	-0.026902465	No	
row_6	ERBB2	na	2137	0.17466287314891815	-0.048423626	No	
row_7	ZNF335	na	2453	0.16168448328971863	-0.05843105	No	
row_8	CARD11	na	2884	0.14574213325977325	-0.07467025	No	
row_9	HHEX	na	2937	0.14318840205669403	-0.07231584	No	
row_10	XCL1	na	2939	0.1431698054075241	-0.06744157	No	
row_11	PLA2G2F	na	2998	0.14143209159374237	-0.0654441	No	
row_12	IHH	na	3139	0.13619065284729004	-0.067679465	No	
row_13	ZP3	na	3210	0.13394023478031158	-0.0665327	No	
row_14	SFTPD	na	3434	0.12729190289974213	-0.07317611	No	
row_15	GAL	na	3720	0.11851906031370163	-0.08318537	No	
row_16	MAPK8IP1	na	3773	0.11706867814064026	-0.08172923	No	
row_17	CEBPB	na	4568	0.09490714222192764	-0.1177062	No	
row_18	GPAM	na	4701	0.09108952432870865	-0.12109725	No	
row_19	AGER	na	4873	0.08761214464902878	-0.12653534	No	
row_20	HLA-G	na	4950	0.08560505509376526	-0.12734738	No	
row_21	IRS2	na	5055	0.08298316597938538	-0.1296334	No	
row_22	HES1	na	5152	0.08105035126209259	-0.13159052	No	
row_23	MPL	na	5223	0.07935298979282379	-0.13232104	No	
row_24	MAD1L1	na	5303	0.07737450301647186	-0.13356441	No	
row_25	NFATC2	na	5322	0.07682717591524124	-0.13181187	No	
row_26	VTCN1	na	5493	0.07344026863574982	-0.1376879	No	
row_27	DLG5	na	5832	0.06588392704725266	-0.15212668	No	
row_28	GLMN	na	6355	0.055842284113168716	-0.1760044	No	
row_29	FADD	na	6357	0.05580505356192589	-0.17413464	No	
row_30	IGF2	na	6533	0.05309594050049782	-0.18095745	No	
row_31	NCK2	na	6677	0.050413038581609726	-0.18629102	No	
row_32	TNFSF18	na	6698	0.05004069209098816	-0.18555853	No	
row_33	BMP4	na	6713	0.049862805753946304	-0.18453562	No	
row_34	ATM	na	6767	0.04883114993572235	-0.18547565	No	
row_35	DNAJA3	na	7123	0.04227065667510033	-0.20156665	No	
row_36	SOX11	na	7419	0.03780703246593475	-0.21484587	No	
row_37	HMGB1	na	7470	0.03686407953500748	-0.21604918	No	
row_38	HHLA2	na	8337	0.021804694086313248	-0.25809854	No	
row_39	GSTP1	na	8402	0.020688068121671677	-0.26055005	No	
row_40	DLG1	na	8413	0.020459312945604324	-0.26034066	No	
row_41	CD24	na	8653	0.016523078083992004	-0.27158424	No	
row_42	IL12A	na	8696	0.015995129942893982	-0.27310988	No	
row_43	ZBTB7B	na	8735	0.015414325520396233	-0.27445778	No	
row_44	CD46	na	8745	0.015197692438960075	-0.27437994	No	
row_45	LEP	na	8844	0.013629651628434658	-0.27875453	No	
row_46	PAWR	na	8845	0.013615640811622143	-0.27828628	No	
row_47	GNRH1	na	9452	0.004862836562097073	-0.30806863	No	
row_48	CCDC88B	na	9578	0.0030365095008164644	-0.31414193	No	
row_49	RC3H1	na	9752	3.872296365443617E-4	-0.32267857	No	
row_50	TFRC	na	9824	-5.078712711110711E-4	-0.32617006	No	
row_51	MARCHF7	na	9842	-7.607589941471815E-4	-0.32698405	No	
row_52	IL27	na	9965	-0.0026727954391390085	-0.3329216	No	
row_53	IL23R	na	9966	-0.0026728766970336437	-0.33282968	No	
row_54	ENPP3	na	10030	-0.0034371810033917427	-0.33582503	No	
row_55	STAT5B	na	10043	-0.0035929931327700615	-0.33629453	No	
row_56	TAC1	na	10104	-0.004334446974098682	-0.33911076	No	
row_57	CTNNB1	na	10158	-0.00515364296734333	-0.34155288	No	
row_58	PKN1	na	10479	-0.009564840234816074	-0.35703892	No	
row_59	VAV3	na	11088	-0.017738115042448044	-0.38647732	No	
row_60	SOS1	na	11358	-0.02160034514963627	-0.39902893	No	
row_61	SDC4	na	11551	-0.024441160261631012	-0.40767735	No	
row_62	PLA2G2A	na	11597	-0.025217760354280472	-0.40903407	No	
row_63	ICOSLG	na	11736	-0.0272534117102623	-0.41491702	No	
row_64	CLCF1	na	11852	-0.02899639494717121	-0.41960332	No	
row_65	PRNP	na	12030	-0.03168243169784546	-0.4272614	No	
row_66	SHH	na	12142	-0.033403828740119934	-0.43159842	No	
row_67	IL23A	na	12855	-0.042968809604644775	-0.46530902	No	
row_68	IGFBP2	na	13186	-0.0475417785346508	-0.4799832	No	
row_69	MIF	na	13189	-0.04759855568408966	-0.4784451	No	
row_70	LGALS3	na	13287	-0.04906294867396355	-0.4815517	No	
row_71	RPS3	na	13304	-0.04930724576115608	-0.48064676	No	
row_72	TNFRSF21	na	13415	-0.05103166401386261	-0.48432812	No	
row_73	AHR	na	13636	-0.05417570471763611	-0.49333778	No	
row_74	CD276	na	13734	-0.055711474269628525	-0.49621573	No	
row_75	ARG1	na	13743	-0.05585750192403793	-0.49469015	No	
row_76	TIRAP	na	13765	-0.05611534044146538	-0.49379817	No	
row_77	PELI1	na	13959	-0.05931565538048744	-0.50129664	No	
row_78	SELENOK	na	13979	-0.05961795896291733	-0.5001854	No	
row_79	SPTA1	na	14074	-0.061015017330646515	-0.5027327	No	
row_80	PRKAR1A	na	14326	-0.06453371047973633	-0.5129182	No	
row_81	CD81	na	14499	-0.06707176566123962	-0.5191121	No	
row_82	GREM1	na	14569	-0.06845387071371078	-0.520168	No	
row_83	JAK3	na	14570	-0.0684574618935585	-0.51781374	No	
row_84	EFNB1	na	14615	-0.06938811391592026	-0.51760197	No	
row_85	HLA-E	na	14785	-0.07201486080884933	-0.5234776	No	
row_86	TGFBR2	na	14869	-0.07331227511167526	-0.5250584	No	
row_87	LRRC32	na	15596	-0.08605342358350754	-0.55797917	No	
row_88	TNFSF4	na	15888	-0.09130223095417023	-0.56922096	No	
row_89	NDFIP1	na	15923	-0.09209505468606949	-0.56773406	No	
row_90	MZB1	na	16015	-0.09392908960580826	-0.5690012	No	
row_91	PTPN6	na	16074	-0.09491495788097382	-0.56860346	No	
row_92	CD70	na	16117	-0.09586449712514877	-0.56738234	No	
row_93	BST1	na	16238	-0.0980844646692276	-0.5699398	No	
row_94	BCL6	na	16389	-0.1009061336517334	-0.5738828	No	
row_95	CTLA4	na	16470	-0.10253458470106125	-0.5743103	No	
row_96	CD320	na	16485	-0.10285715013742447	-0.5714649	No	
row_97	CASP3	na	16599	-0.10534346103668213	-0.5734267	No	
row_98	IL5RA	na	16758	-0.10858551412820816	-0.57750106	Yes	
row_99	LMO1	na	16791	-0.10936527699232101	-0.57532144	Yes	
row_100	TRAF6	na	16814	-0.10991685092449188	-0.57262856	Yes	
row_101	TNFRSF1B	na	16858	-0.11079296469688416	-0.5709435	Yes	
row_102	CD40	na	16936	-0.11246814578771591	-0.5708811	Yes	
row_103	INPP5D	na	17120	-0.11669404059648514	-0.5759121	Yes	
row_104	PNP	na	17189	-0.11815022677183151	-0.57520956	Yes	
row_105	CCL7	na	17204	-0.11851390451192856	-0.5718257	Yes	
row_106	TNFRSF13C	na	17261	-0.11988488584756851	-0.5704704	Yes	
row_107	RIPK2	na	17296	-0.12094465643167496	-0.5679914	Yes	
row_108	TWSG1	na	17368	-0.12249071896076202	-0.56728774	Yes	
row_109	TICAM1	na	17381	-0.1228119507431984	-0.5636572	Yes	
row_110	TNFAIP3	na	17409	-0.12349151074886322	-0.5607447	Yes	
row_111	NCK1	na	17487	-0.12541286647319794	-0.56023717	Yes	
row_112	IL12B	na	17505	-0.12606260180473328	-0.55674195	Yes	
row_113	ADA	na	17553	-0.12725122272968292	-0.5546885	Yes	
row_114	LGALS9C	na	17558	-0.12737104296684265	-0.5505058	Yes	
row_115	RIPK3	na	17592	-0.1283637285232544	-0.5477222	Yes	
row_116	CD22	na	17674	-0.13015997409820557	-0.54724914	Yes	
row_117	PRKCQ	na	17739	-0.13194312155246735	-0.54587454	Yes	
row_118	TNFRSF14	na	17748	-0.13216237723827362	-0.54172474	Yes	
row_119	TNFRSF13B	na	17834	-0.134246826171875	-0.54130876	Yes	
row_120	IGF1	na	17951	-0.13722100853919983	-0.5423226	Yes	
row_121	IL6	na	17972	-0.13778142631053925	-0.5385726	Yes	
row_122	KITLG	na	18000	-0.13852766156196594	-0.53514296	Yes	
row_123	BTN2A2	na	18028	-0.139390230178833	-0.5316836	Yes	
row_124	CD38	na	18031	-0.13959339261054993	-0.5269818	Yes	
