NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	DDX12P	na	137	0.3693723678588867	0.05088984	Yes	
row_1	SMC1B	na	219	0.3403354287147522	0.09999817	Yes	
row_2	SGO2	na	447	0.2983461618423462	0.13539459	Yes	
row_3	DSCC1	na	596	0.27870264649391174	0.17160298	Yes	
row_4	STAG3L2	na	635	0.27346310019493103	0.21239081	Yes	
row_5	MRE11	na	709	0.2650390565395355	0.2501476	Yes	
row_6	ESPL1	na	881	0.24767766892910004	0.28038862	Yes	
row_7	SGO1	na	893	0.24671855568885803	0.31832975	Yes	
row_8	STAG3	na	917	0.2450871765613556	0.35542768	Yes	
row_9	BUB1	na	1123	0.22967863082885742	0.38119334	Yes	
row_10	PLK1	na	1768	0.19184671342372894	0.37952077	Yes	
row_11	CDC20	na	1944	0.18278877437114716	0.39944482	Yes	
row_12	HASPIN	na	2046	0.17847992479801178	0.42232728	Yes	
row_13	NSMCE2	na	2160	0.1738814413547516	0.44390377	Yes	
row_14	AXIN2	na	2199	0.17243869602680206	0.4689348	Yes	
row_15	BUB1B	na	2450	0.16179025173187256	0.48190415	Yes	
row_16	CDCA5	na	2594	0.156263530254364	0.49926096	Yes	
row_17	KIF22	na	2832	0.14737094938755035	0.5106191	Yes	
row_18	DDX11	na	3051	0.13894197344779968	0.52159476	Yes	
row_19	HORMAD1	na	3104	0.1374051570892334	0.5404748	Yes	
row_20	STAG3L3	na	3332	0.1300491988658905	0.5496218	Yes	
row_21	PDS5B	na	4262	0.10282787680625916	0.5200827	No	
row_22	POGZ	na	4616	0.09343365579843521	0.51733726	No	
row_23	STAG3L4	na	5325	0.07678250223398209	0.4945782	No	
row_24	TENT4A	na	5346	0.07639333605766296	0.5055121	No	
row_25	SMC3	na	5835	0.0658419281244278	0.49183998	No	
row_26	STAG3L1	na	6077	0.06077750027179718	0.48949587	No	
row_27	ESCO1	na	6292	0.05698394775390625	0.48788473	No	
row_28	NIPBL	na	6527	0.053200699388980865	0.48470232	No	
row_29	FEN1	na	6652	0.05090215429663658	0.48655805	No	
row_30	STAG2	na	6716	0.049780793488025665	0.49123156	No	
row_31	RAD51C	na	6933	0.04604942724108696	0.48781684	No	
row_32	RAD21	na	7103	0.04273378103971481	0.48619083	No	
row_33	PPP2R1A	na	8007	0.027173517271876335	0.44612744	No	
row_34	SFPQ	na	8069	0.026329483836889267	0.4472414	No	
row_35	ATRX	na	8165	0.024525480344891548	0.4464059	No	
row_36	SMC1A	na	8799	0.014256388880312443	0.41757417	No	
row_37	NAA10	na	8941	0.012251466512680054	0.4125675	No	
row_38	HDAC8	na	9290	0.007236973848193884	0.3966232	No	
row_39	CTNNB1	na	10158	-0.00515364296734333	0.35489157	No	
row_40	MAU2	na	10251	-0.006370388902723789	0.3513716	No	
row_41	BOD1	na	10452	-0.009259630925953388	0.34300372	No	
row_42	MACROH2A1	na	10967	-0.016189077869057655	0.32031167	No	
row_43	REC8	na	10976	-0.016271773725748062	0.32245708	No	
row_44	NAA50	na	11638	-0.025818124413490295	0.29405496	No	
row_45	CTCF	na	11747	-0.02741948887705803	0.29303306	No	
row_46	FBXW7	na	11812	-0.028466295450925827	0.29433307	No	
row_47	WAPL	na	12092	-0.03252025693655014	0.2857174	No	
row_48	STAG1	na	12258	-0.03499707207083702	0.28308094	No	
row_49	SMC5	na	12876	-0.04316031187772751	0.25954232	No	
row_50	PDS5A	na	13338	-0.04983211308717728	0.24469776	No	
row_51	ESCO2	na	13659	-0.05451805889606476	0.23750162	No	
row_52	SLF2	na	13952	-0.059232063591480255	0.2324144	No	
row_53	TNKS	na	14295	-0.06407598406076431	0.22562966	No	
row_54	MCMBP	na	14598	-0.0689859688282013	0.22157316	No	
row_55	CHTF8	na	14851	-0.07304792106151581	0.22060321	No	
row_56	PHB2	na	16472	-0.10259164869785309	0.15712647	No	
row_57	RB1	na	16950	-0.11273401230573654	0.15130778	No	
row_58	SLF1	na	17569	-0.12767308950424194	0.14090161	No	
