NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MAP10	na	66	0.4048425853252411	0.016569106	Yes	
row_1	NUF2	na	68	0.40294143557548523	0.03625308	Yes	
row_2	DDX12P	na	137	0.3693723678588867	0.05098639	Yes	
row_3	SMC1B	na	219	0.3403354287147522	0.06365607	Yes	
row_4	KIF14	na	245	0.33403196930885315	0.078780845	Yes	
row_5	KIF18B	na	272	0.329205721616745	0.09361991	Yes	
row_6	NEK2	na	327	0.3189433813095093	0.1065745	Yes	
row_7	MAPK15	na	346	0.31566354632377625	0.12114519	Yes	
row_8	DSN1	na	354	0.31447234749794006	0.13620043	Yes	
row_9	TTK	na	363	0.3131227493286133	0.15114023	Yes	
row_10	TOP2A	na	371	0.31120726466178894	0.16603556	Yes	
row_11	KIFC1	na	375	0.31069299578666687	0.18110313	Yes	
row_12	SGO2	na	447	0.2983461618423462	0.19221	Yes	
row_13	CDC6	na	481	0.29372766613960266	0.20496611	Yes	
row_14	DSCC1	na	596	0.27870264649391174	0.21298878	Yes	
row_15	STAG3L2	na	635	0.27346310019493103	0.22450571	Yes	
row_16	MRE11	na	709	0.2650390565395355	0.23388271	Yes	
row_17	MSTO1	na	719	0.26394936442375183	0.24636498	Yes	
row_18	RMI2	na	726	0.26349076628685	0.25897282	Yes	
row_19	SPAG5	na	780	0.2574175298213959	0.26896366	Yes	
row_20	PSRC1	na	869	0.24844083189964294	0.2767875	Yes	
row_21	ESPL1	na	881	0.24767766892910004	0.2883742	Yes	
row_22	KIF4A	na	887	0.24718709290027618	0.30023295	Yes	
row_23	SGO1	na	893	0.24671855568885803	0.3120688	Yes	
row_24	STAG3	na	917	0.2450871765613556	0.32293636	Yes	
row_25	NCAPH	na	1003	0.23804998397827148	0.33039936	Yes	
row_26	NDC80	na	1005	0.2379596084356308	0.34200367	Yes	
row_27	BUB1	na	1123	0.22967863082885742	0.3474774	Yes	
row_28	CENPF	na	1224	0.22226688265800476	0.35342717	Yes	
row_29	KIF23	na	1344	0.21574385464191437	0.3581198	Yes	
row_30	KIF2C	na	1384	0.2133660763502121	0.3666442	Yes	
row_31	TRIP13	na	1745	0.19323241710662842	0.35834017	Yes	
row_32	PLK1	na	1768	0.19184671342372894	0.36664975	Yes	
row_33	AURKB	na	1898	0.18491584062576294	0.36933905	Yes	
row_34	CDC20	na	1944	0.18278877437114716	0.3760699	Yes	
row_35	HASPIN	na	2046	0.17847992479801178	0.37982595	Yes	
row_36	CDCA8	na	2083	0.17672650516033173	0.38670406	Yes	
row_37	DLGAP5	na	2124	0.17513521015644073	0.39330685	Yes	
row_38	NSMCE2	na	2160	0.1738814413547516	0.40009502	Yes	
row_39	AXIN2	na	2199	0.17243869602680206	0.40666446	Yes	
row_40	INCENP	na	2310	0.16808860003948212	0.40946743	Yes	
row_41	RACGAP1	na	2421	0.16257107257843018	0.41200015	Yes	
row_42	BUB1B	na	2450	0.16179025173187256	0.41854164	Yes	
row_43	CDCA5	na	2594	0.156263530254364	0.41913682	Yes	
row_44	KIF18A	na	2686	0.152756467461586	0.42212662	Yes	
row_45	TACC3	na	2725	0.15119843184947968	0.42765588	Yes	
row_46	KIF22	na	2832	0.14737094938755035	0.42964163	Yes	
row_47	CENPE	na	2967	0.14223426580429077	0.42999393	Yes	
row_48	DDX11	na	3051	0.13894197344779968	0.43270203	Yes	
row_49	HORMAD1	na	3104	0.1374051570892334	0.43686482	Yes	
row_50	PRC1	na	3177	0.13489502668380737	0.4399176	Yes	
row_51	SPDL1	na	3235	0.13279685378074646	0.44360796	Yes	
row_52	FBXO5	na	3265	0.13183185458183289	0.44863293	Yes	
row_53	STAG3L3	na	3332	0.1300491988658905	0.45174453	Yes	
row_54	NCAPD2	na	3345	0.12965142726898193	0.4575017	Yes	
row_55	CDT1	na	3535	0.12400468438863754	0.45424682	Yes	
row_56	TUBG2	na	3544	0.12380629032850266	0.4599152	Yes	
row_57	KNSTRN	na	3660	0.12031389027833939	0.46013168	Yes	
row_58	SMC4	na	3673	0.11978605389595032	0.46540576	Yes	
row_59	GEN1	na	3787	0.11671249568462372	0.46554458	Yes	
row_60	ANAPC1	na	3812	0.11575409024953842	0.47002897	Yes	
row_61	XRCC3	na	3843	0.11488962918519974	0.47417486	Yes	
row_62	MAD2L2	na	4008	0.10973325371742249	0.4714549	No	
row_63	PDS5B	na	4262	0.10282787680625916	0.46400428	No	
row_64	POGZ	na	4616	0.09343365579843521	0.45115823	No	
row_65	SMC2	na	4618	0.09337688982486725	0.45568186	No	
row_66	NCAPG	na	4843	0.0882033258676529	0.44894627	No	
row_67	CDK5RAP2	na	5101	0.08222736418247223	0.44028935	No	
row_68	MAD1L1	na	5303	0.07737450301647186	0.4341586	No	
row_69	STAG3L4	na	5325	0.07678250223398209	0.43688247	No	
row_70	PCID2	na	5331	0.07663949579000473	0.44038898	No	
row_71	TENT4A	na	5346	0.07639333605766296	0.44343925	No	
row_72	ZW10	na	5440	0.07439499348402023	0.44249272	No	
row_73	PTTG1	na	5450	0.07420247793197632	0.4456825	No	
row_74	NUSAP1	na	5524	0.07274923473596573	0.44564244	No	
row_75	PHF13	na	5584	0.07102878391742706	0.4462091	No	
row_76	ZWINT	na	5620	0.07047972828149796	0.44793335	No	
row_77	HECW2	na	5633	0.07019984722137451	0.45077902	No	
row_78	TTN	na	5724	0.06822558492422104	0.44967842	No	
row_79	NCAPD3	na	5739	0.06782246381044388	0.45230895	No	
row_80	SMC3	na	5835	0.0658419281244278	0.45084485	No	
