NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GO_POSITIVE_REGULATION_OF_LEUKOCYTE_CELL_CELL_ADHESION	GO_POSITIVE_REGULATION_OF_LEUKOCYTE_CELL_CELL_ADHESION	Details ...	207	-0.62179	-3.1476588	0.0	0.0	0.0	3319	tags=51%, list=16%, signal=61%	
GO_POSITIVE_REGULATION_OF_T_CELL_PROLIFERATION	GO_POSITIVE_REGULATION_OF_T_CELL_PROLIFERATION	Details ...	89	-0.6862423	-3.025808	0.0	0.0	0.0	3254	tags=58%, list=16%, signal=69%	
GO_LEUKOCYTE_PROLIFERATION	GO_LEUKOCYTE_PROLIFERATION	Details ...	267	-0.57741517	-3.0217788	0.0	0.0	0.0	3685	tags=50%, list=18%, signal=60%	
GO_LEUKOCYTE_CELL_CELL_ADHESION	GO_LEUKOCYTE_CELL_CELL_ADHESION	Details ...	316	-0.57083267	-3.0192144	0.0	0.0	0.0	3319	tags=47%, list=16%, signal=55%	
GO_REGULATION_OF_T_CELL_ACTIVATION	GO_REGULATION_OF_T_CELL_ACTIVATION	Details ...	301	-0.5703455	-3.0140305	0.0	0.0	0.0	4369	tags=53%, list=21%, signal=66%	
GO_POSITIVE_REGULATION_OF_CELL_ACTIVATION	GO_POSITIVE_REGULATION_OF_CELL_ACTIVATION	Details ...	366	-0.5592332	-2.9907868	0.0	0.0	0.0	4555	tags=54%, list=22%, signal=69%	
GO_T_CELL_ACTIVATION	GO_T_CELL_ACTIVATION	Details ...	433	-0.5498945	-2.9777777	0.0	0.0	0.0	4326	tags=49%, list=21%, signal=61%	
GO_POSITIVE_REGULATION_OF_INTERFERON_GAMMA_PRODUCTION	GO_POSITIVE_REGULATION_OF_INTERFERON_GAMMA_PRODUCTION	Details ...	57	-0.73706204	-2.9708917	0.0	0.0	0.0	2044	tags=58%, list=10%, signal=64%	
GO_T_CELL_PROLIFERATION	GO_T_CELL_PROLIFERATION	Details ...	178	-0.59650534	-2.959643	0.0	0.0	0.0	3254	tags=48%, list=16%, signal=57%	
GO_REGULATION_OF_LEUKOCYTE_PROLIFERATION	GO_REGULATION_OF_LEUKOCYTE_PROLIFERATION	Details ...	208	-0.58123535	-2.957053	0.0	0.0	0.0	3685	tags=53%, list=18%, signal=64%	
GO_POSITIVE_REGULATION_OF_LEUKOCYTE_PROLIFERATION	GO_POSITIVE_REGULATION_OF_LEUKOCYTE_PROLIFERATION	Details ...	125	-0.6265578	-2.9413486	0.0	0.0	0.0	3254	tags=56%, list=16%, signal=66%	
GO_POSITIVE_REGULATION_OF_LEUKOCYTE_DIFFERENTIATION	GO_POSITIVE_REGULATION_OF_LEUKOCYTE_DIFFERENTIATION	Details ...	139	-0.62019837	-2.9289625	0.0	0.0	0.0	4432	tags=56%, list=22%, signal=71%	
GO_IMMUNE_RESPONSE_REGULATING_CELL_SURFACE_RECEPTOR_SIGNALING_PATHWAY	GO_IMMUNE_RESPONSE_REGULATING_CELL_SURFACE_RECEPTOR_SIGNALING_PATHWAY	Details ...	473	-0.5270275	-2.909973	0.0	0.0	0.0	4949	tags=48%, list=24%, signal=62%	
GO_REGULATION_OF_LYMPHOCYTE_ACTIVATION	GO_REGULATION_OF_LYMPHOCYTE_ACTIVATION	Details ...	463	-0.5314308	-2.9090912	0.0	0.0	0.0	4555	tags=52%, list=22%, signal=65%	
GO_GRANULOCYTE_MIGRATION	GO_GRANULOCYTE_MIGRATION	Details ...	126	-0.6097401	-2.8932178	0.0	0.0	0.0	4797	tags=60%, list=23%, signal=77%	
GO_INTERFERON_GAMMA_PRODUCTION	GO_INTERFERON_GAMMA_PRODUCTION	Details ...	102	-0.6471449	-2.891279	0.0	0.0	0.0	2938	tags=55%, list=14%, signal=64%	
GO_MYELOID_LEUKOCYTE_MIGRATION	GO_MYELOID_LEUKOCYTE_MIGRATION	Details ...	190	-0.5709354	-2.8692217	0.0	0.0	0.0	4583	tags=55%, list=22%, signal=70%	
GO_POSITIVE_REGULATION_OF_LYMPHOCYTE_DIFFERENTIATION	GO_POSITIVE_REGULATION_OF_LYMPHOCYTE_DIFFERENTIATION	Details ...	91	-0.64951116	-2.865976	0.0	0.0	0.0	4325	tags=63%, list=21%, signal=79%	
GO_NEUTROPHIL_MIGRATION	GO_NEUTROPHIL_MIGRATION	Details ...	104	-0.6217408	-2.8525455	0.0	0.0	0.0	4797	tags=62%, list=23%, signal=80%	
GO_LEUKOCYTE_CHEMOTAXIS	GO_LEUKOCYTE_CHEMOTAXIS	Details ...	205	-0.5663177	-2.8333457	0.0	0.0	0.0	4583	tags=54%, list=22%, signal=69%	
GO_CELL_CHEMOTAXIS	GO_CELL_CHEMOTAXIS		272	-0.546161	-2.8329122	0.0	0.0	0.0	4602	tags=51%, list=23%, signal=66%	
GO_ANTIGEN_RECEPTOR_MEDIATED_SIGNALING_PATHWAY	GO_ANTIGEN_RECEPTOR_MEDIATED_SIGNALING_PATHWAY		296	-0.5378042	-2.818006	0.0	0.0	0.0	5327	tags=52%, list=26%, signal=70%	
GO_ALPHA_BETA_T_CELL_ACTIVATION	GO_ALPHA_BETA_T_CELL_ACTIVATION		131	-0.5956698	-2.802865	0.0	0.0	0.0	3254	tags=47%, list=16%, signal=56%	
GO_POSITIVE_REGULATION_OF_CELL_CELL_ADHESION	GO_POSITIVE_REGULATION_OF_CELL_CELL_ADHESION		245	-0.54024374	-2.8004766	0.0	0.0	0.0	3629	tags=48%, list=18%, signal=57%	
GO_T_CELL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE	GO_T_CELL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE		87	-0.6463852	-2.7987282	0.0	0.0	0.0	3147	tags=47%, list=15%, signal=55%	
GO_INTERLEUKIN_10_PRODUCTION	GO_INTERLEUKIN_10_PRODUCTION		53	-0.68685114	-2.795762	0.0	0.0	0.0	2214	tags=53%, list=11%, signal=59%	
GO_RESPONSE_TO_MOLECULE_OF_BACTERIAL_ORIGIN	GO_RESPONSE_TO_MOLECULE_OF_BACTERIAL_ORIGIN		315	-0.52235866	-2.7852893	0.0	0.0	0.0	4383	tags=47%, list=21%, signal=58%	
GO_LEUKOCYTE_MIGRATION	GO_LEUKOCYTE_MIGRATION		465	-0.511594	-2.7780197	0.0	0.0	0.0	5952	tags=62%, list=29%, signal=85%	
GO_CELLULAR_RESPONSE_TO_BIOTIC_STIMULUS	GO_CELLULAR_RESPONSE_TO_BIOTIC_STIMULUS		219	-0.54351425	-2.7724977	0.0	0.0	0.0	3375	tags=43%, list=17%, signal=51%	
GO_RESPONSE_TO_INTERFERON_GAMMA	GO_RESPONSE_TO_INTERFERON_GAMMA		190	-0.55616516	-2.7667825	0.0	0.0	0.0	4247	tags=51%, list=21%, signal=64%	
GO_ADAPTIVE_IMMUNE_RESPONSE_BASED_ON_SOMATIC_RECOMBINATION_OF_IMMUNE_RECEPTORS_BUILT_FROM_IMMUNOGLOBULIN_SUPERFAMILY_DOMAINS	GO_ADAPTIVE_IMMUNE_RESPONSE_BASED_ON_SOMATIC_RECOMBINATION_OF_IMMUNE_RECEPTORS_BUILT_FROM_IMMUNOGLOBULIN_SUPERFAMILY_DOMAINS		330	-0.5164112	-2.760877	0.0	0.0	0.0	5944	tags=61%, list=29%, signal=85%	
GO_T_CELL_DIFFERENTIATION	GO_T_CELL_DIFFERENTIATION		229	-0.53811294	-2.758194	0.0	0.0	0.0	3254	tags=42%, list=16%, signal=50%	
GO_REGULATION_OF_T_CELL_DIFFERENTIATION	GO_REGULATION_OF_T_CELL_DIFFERENTIATION		132	-0.57337743	-2.747777	0.0	0.0	0.0	4325	tags=55%, list=21%, signal=69%	
GO_REGULATION_OF_LEUKOCYTE_DIFFERENTIATION	GO_REGULATION_OF_LEUKOCYTE_DIFFERENTIATION		256	-0.5349061	-2.7436292	0.0	0.0	0.0	4555	tags=51%, list=22%, signal=65%	
GO_LYMPHOCYTE_DIFFERENTIATION	GO_LYMPHOCYTE_DIFFERENTIATION		327	-0.507259	-2.72247	0.0	0.0	0.0	4555	tags=49%, list=22%, signal=62%	
GO_POSITIVE_T_CELL_SELECTION	GO_POSITIVE_T_CELL_SELECTION		34	-0.7455832	-2.7220736	0.0	0.0	0.0	2938	tags=59%, list=14%, signal=69%	
GO_MACROPHAGE_ACTIVATION	GO_MACROPHAGE_ACTIVATION		87	-0.60582554	-2.7194633	0.0	0.0	0.0	4300	tags=59%, list=21%, signal=74%	
GO_LEUKOCYTE_DIFFERENTIATION	GO_LEUKOCYTE_DIFFERENTIATION		480	-0.4939752	-2.7163918	0.0	0.0	0.0	4555	tags=46%, list=22%, signal=58%	
GO_RESPONSE_TO_CHEMOKINE	GO_RESPONSE_TO_CHEMOKINE		92	-0.60848105	-2.7086134	0.0	0.0	0.0	3449	tags=53%, list=17%, signal=64%	
GO_LYMPHOCYTE_MEDIATED_IMMUNITY	GO_LYMPHOCYTE_MEDIATED_IMMUNITY		326	-0.5181606	-2.7055876	0.0	0.0	0.0	4567	tags=51%, list=22%, signal=65%	
GO_TUMOR_NECROSIS_FACTOR_SUPERFAMILY_CYTOKINE_PRODUCTION	GO_TUMOR_NECROSIS_FACTOR_SUPERFAMILY_CYTOKINE_PRODUCTION		144	-0.5648329	-2.7052684	0.0	0.0	0.0	3147	tags=42%, list=15%, signal=50%	
GO_REGULATION_OF_CELL_KILLING	GO_REGULATION_OF_CELL_KILLING		88	-0.606188	-2.6953204	0.0	0.0	0.0	2362	tags=44%, list=12%, signal=50%	
