NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NEURL1	na	750	0.35843557119369507	-0.012983056	No	
row_1	SPAG16	na	4618	0.11848804354667664	-0.21098426	No	
row_2	UBE2B	na	7169	0.047499801963567734	-0.3438727	No	
row_3	DNAH1	na	8652	0.013872058130800724	-0.42214498	No	
row_4	TTLL3	na	9877	-0.011942964978516102	-0.48675412	No	
row_5	CCDC151	na	10248	-0.01911104843020439	-0.5051101	No	
row_6	RP1L1	na	10372	-0.02149774134159088	-0.5100646	No	
row_7	HYDIN	na	10687	-0.027891479432582855	-0.52475786	No	
row_8	DNAAF5	na	11136	-0.0373816192150116	-0.5459043	No	
row_9	CCDC39	na	11444	-0.043738801032304764	-0.55902207	No	
row_10	SPAG17	na	12002	-0.056964077055454254	-0.5845188	No	
row_11	DCX	na	12256	-0.06246230751276016	-0.59332746	No	
row_12	TOGARAM1	na	12331	-0.0641140565276146	-0.59243006	No	
row_13	TPGS1	na	13730	-0.10012401640415192	-0.6596706	No	
row_14	SPAG1	na	14099	-0.11088771373033524	-0.67096514	No	
row_15	ARMC2	na	14630	-0.12618425488471985	-0.6897716	No	
row_16	CFAP44	na	14793	-0.1314636617898941	-0.6884809	No	
row_17	DNAH5	na	14891	-0.13500483334064484	-0.68344283	No	
row_18	DNAAF2	na	15218	-0.1456589549779892	-0.68985456	No	
row_19	DRC1	na	15872	-0.17163629829883575	-0.7118004	Yes	
row_20	BBS2	na	15881	-0.17201922833919525	-0.6991939	Yes	
row_21	RP1	na	16178	-0.1856086105108261	-0.70097274	Yes	
row_22	IQCG	na	16192	-0.18631409108638763	-0.6875506	Yes	
row_23	CFAP206	na	16258	-0.19013895094394684	-0.676622	Yes	
row_24	RSPH9	na	16520	-0.20330370962619781	-0.6751866	Yes	
row_25	PLA2G3	na	16534	-0.20394089818000793	-0.6604288	Yes	
row_26	DNAI2	na	16682	-0.2123725861310959	-0.65220445	Yes	
row_27	ARMC4	na	16690	-0.21292293071746826	-0.6364449	Yes	
row_28	CFAP100	na	16812	-0.21954438090324402	-0.62628543	Yes	
row_29	DNAH7	na	16972	-0.23056501150131226	-0.6173248	Yes	
row_30	CFAP46	na	17096	-0.2386101335287094	-0.60582775	Yes	
row_31	CCDC114	na	17162	-0.2435070127248764	-0.5908551	Yes	
row_32	TTC26	na	17222	-0.24851550161838531	-0.57518184	Yes	
row_33	DNAI1	na	17293	-0.2551056742668152	-0.55959797	Yes	
row_34	CCDC65	na	17336	-0.25881028175354004	-0.5422347	Yes	
row_35	WDR63	na	17348	-0.25977030396461487	-0.5231395	Yes	
row_36	LRRC6	na	17356	-0.2601887285709381	-0.50379837	Yes	
row_37	DNAJB13	na	17407	-0.2639983892440796	-0.48647016	Yes	
row_38	DNAL1	na	17432	-0.26615241169929504	-0.4675871	Yes	
row_39	CFAP43	na	17491	-0.2718285024166107	-0.45009378	Yes	
row_40	CCDC40	na	17565	-0.27928125858306885	-0.4328386	Yes	
row_41	CC2D2A	na	17615	-0.28507593274116516	-0.41385972	Yes	
row_42	TEKT2	na	17623	-0.28631505370140076	-0.3925389	Yes	
row_43	GAS8	na	17715	-0.2966034710407257	-0.37493458	Yes	
row_44	RSPH4A	na	17962	-0.32572680711746216	-0.36341974	Yes	
row_45	TTLL1	na	18061	-0.34156131744384766	-0.3427834	Yes	
row_46	LRRC49	na	18185	-0.3600997030735016	-0.32208043	Yes	
row_47	DNAAF3	na	18189	-0.36042484641075134	-0.2949299	Yes	
row_48	PIH1D3	na	18219	-0.3650949001312256	-0.2688171	Yes	
row_49	LRGUK	na	18306	-0.38272830843925476	-0.24441904	Yes	
row_50	DNAAF4	na	18372	-0.39704465866088867	-0.21781215	Yes	
row_51	CFAP74	na	18421	-0.40754246711730957	-0.18949987	Yes	
row_52	DNAAF1	na	18436	-0.4128030836582184	-0.15896913	Yes	
row_53	CFAP73	na	18480	-0.42472603917121887	-0.12908715	Yes	
row_54	CFAP157	na	18509	-0.4353207051753998	-0.09759949	Yes	
row_55	ZMYND10	na	18522	-0.4409386217594147	-0.06482974	Yes	
row_56	RSPH1	na	18555	-0.45481646060943604	-0.03207889	Yes	
row_57	JHY	na	18696	-0.5533127784729004	0.0023548452	Yes	
