NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CLDN6	na	44	0.5813351273536682	0.15685779	Yes	
row_1	CLDN19	na	100	0.5304840207099915	0.29920167	Yes	
row_2	CLDN9	na	108	0.5192063450813293	0.44102076	Yes	
row_3	CLDN16	na	145	0.5037640333175659	0.5770618	Yes	
row_4	CLDN1	na	181	0.4853798747062683	0.7081214	Yes	
row_5	CLDN11	na	3274	0.16995929181575775	0.5895142	No	
row_6	CLDN15	na	3705	0.15200196206569672	0.60817474	No	
row_7	CLDN8	na	4390	0.1260310560464859	0.6061558	No	
row_8	CLDN4	na	6159	0.07249048352241516	0.53157413	No	
row_9	CLDN3	na	8811	0.010127516463398933	0.3927496	No	
row_10	CLDN14	na	8983	0.006514457054436207	0.38540006	No	
row_11	CLDN7	na	9491	-0.003836076706647873	0.3593702	No	
row_12	BMP2	na	10044	-0.015039351768791676	0.33400494	No	
row_13	CX3CL1	na	10776	-0.029577020555734634	0.3030601	No	
row_14	CLDN5	na	10787	-0.029747841879725456	0.3106729	No	
row_15	CLDN10	na	11151	-0.03769027069211006	0.30160603	No	
row_16	CLDN2	na	13299	-0.0883130431175232	0.21111406	No	
row_17	CLDN23	na	14842	-0.13323751091957092	0.1652403	No	
row_18	CLDN12	na	15527	-0.15668435394763947	0.17161629	No	
