NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ESPL1	na	75	0.5491422414779663	0.03639553	Yes	
row_1	HFM1	na	80	0.541456401348114	0.076030746	Yes	
row_2	TTK	na	127	0.5102046132087708	0.111114874	Yes	
row_3	SPDL1	na	255	0.45829764008522034	0.1380375	Yes	
row_4	BUB1	na	277	0.4511987864971161	0.17011888	Yes	
row_5	EME1	na	281	0.45057761669158936	0.20311928	Yes	
row_6	NDC80	na	425	0.41625460982322693	0.22609012	Yes	
row_7	TRIP13	na	438	0.4137066900730133	0.25589457	Yes	
row_8	NCAPH	na	645	0.37522268295288086	0.272469	Yes	
row_9	MLH1	na	1145	0.31355875730514526	0.26880145	Yes	
row_10	CENPE	na	1158	0.31233829259872437	0.29114547	Yes	
row_11	USP44	na	1218	0.30627021193504333	0.31052387	Yes	
row_12	PLK1	na	1226	0.3057837188243866	0.3326535	Yes	
row_13	DLGAP5	na	1445	0.2843569219112396	0.3418973	Yes	
row_14	ANAPC1	na	1516	0.27779194712638855	0.35859025	Yes	
row_15	BUB1B	na	1616	0.2691003978252411	0.37308922	Yes	
row_16	CDC20	na	1656	0.2652123272418976	0.3905178	Yes	
row_17	TOP2A	na	1707	0.26118770241737366	0.40706062	Yes	
row_18	GEN1	na	1860	0.24782557785511017	0.41715324	Yes	
row_19	RECQL5	na	1936	0.243081733584404	0.4310236	Yes	
row_20	CENPF	na	1937	0.24296823143959045	0.44890535	Yes	
row_21	AURKB	na	2102	0.23215104639530182	0.45720118	Yes	
row_22	TACC3	na	2306	0.21849876642227173	0.46240202	Yes	
row_23	FBXO5	na	2453	0.2100917547941208	0.47003907	Yes	
row_24	NSMCE2	na	2582	0.2027605026960373	0.4781013	Yes	
row_25	PTTG1	na	2583	0.20254936814308167	0.49300838	Yes	
row_26	RAD21	na	3201	0.17313125729560852	0.4726814	No	
row_27	MAD2L1	na	3468	0.16131877899169922	0.47029737	No	
row_28	NCAPD2	na	3639	0.15455970168113708	0.47256112	No	
row_29	TEX14	na	3643	0.15439411997795105	0.48376328	No	
row_30	CCNB1	na	3787	0.14889030158519745	0.4870569	No	
row_31	CSNK2A1	na	4133	0.1356099396944046	0.47854668	No	
row_32	XRCC3	na	4367	0.12683096528053284	0.47539312	No	
row_33	HECW2	na	4371	0.12669891119003296	0.484557	No	
row_34	CDC23	na	4801	0.11302343755960464	0.46988237	No	
row_35	CDC6	na	4877	0.11071767657995224	0.47401115	No	
row_36	PCID2	na	5641	0.08722183853387833	0.43953642	No	
row_37	MUS81	na	6122	0.07368427515029907	0.41923314	No	
row_38	FANCM	na	6510	0.06341582536697388	0.40315858	No	
row_39	CDT1	na	7030	0.050912175327539444	0.3790891	No	
row_40	CDC27	na	7162	0.0476980023086071	0.3755784	No	
row_41	MAD2L2	na	7881	0.03096490167081356	0.33937517	No	
row_42	ZW10	na	8099	0.025979265570640564	0.32965678	No	
row_43	SMARCAD1	na	8238	0.02309216558933258	0.32396	No	
row_44	NCAPD3	na	8248	0.022900469601154327	0.32516304	No	
row_45	TPR	na	8981	0.006549306213855743	0.28641254	No	
row_46	ERCC4	na	9246	9.074339759536088E-4	0.2723299	No	
row_47	ZNF207	na	9552	-0.005264609586447477	0.25637048	No	
row_48	DUSP1	na	9647	-0.007395423017442226	0.2518767	No	
row_49	CUL3	na	9772	-0.009911712259054184	0.24596025	No	
row_50	TOP2B	na	9933	-0.013049301691353321	0.23834524	No	
row_51	ATM	na	10125	-0.0167401023209095	0.22934036	No	
row_52	CSNK2A2	na	10214	-0.018542133271694183	0.22598854	No	
row_53	MAPK15	na	10361	-0.021152595058083534	0.21972024	No	
row_54	NCAPH2	na	10501	-0.024331290274858475	0.21406107	No	
row_55	CDK5RAP2	na	10523	-0.024651851505041122	0.21474984	No	
row_56	APC	na	10761	-0.02932284027338028	0.20420559	No	
row_57	BUB3	na	10893	-0.03200463578104973	0.19953993	No	
row_58	NUMA1	na	11004	-0.034221917390823364	0.19616295	No	
row_59	LCMT1	na	11088	-0.036218006163835526	0.19438	No	
row_60	PPP2R1A	na	11158	-0.03785841166973114	0.19346812	No	
row_61	PSMG2	na	11372	-0.0423567071557045	0.18516944	No	
row_62	SHOC1	na	11471	-0.04428326338529587	0.18317612	No	
row_63	TOP3A	na	12334	-0.06422843039035797	0.14170313	No	
row_64	ANAPC5	na	12427	-0.06617147475481033	0.14164229	No	
row_65	IK	na	12689	-0.07284962385892868	0.13301517	No	
row_66	ANAPC15	na	12721	-0.07372807711362839	0.13677986	No	
row_67	ANAPC11	na	12825	-0.0766528844833374	0.13690086	No	
row_68	MAD1L1	na	13466	-0.09239649027585983	0.10939933	No	
row_69	CENPS	na	13922	-0.10567991435527802	0.09279074	No	
row_70	M1AP	na	13974	-0.10707373172044754	0.09793764	No	
row_71	KLHL22	na	14013	-0.10829183459281921	0.10387094	No	
row_72	DIS3L2	na	14223	-0.11446581035852432	0.10109366	No	
row_73	RIOK2	na	14251	-0.11532647162675858	0.10813425	No	
row_74	SLX4	na	14304	-0.11661136895418167	0.113929495	No	
row_75	NEK6	na	14478	-0.12197054922580719	0.113634005	No	
row_76	EME2	na	14993	-0.13866834342479706	0.09629108	No	
row_77	DYNC1LI1	na	15968	-0.17604808509349823	0.057044897	No	
row_78	RMI1	na	16474	-0.19993965327739716	0.044693727	No	
row_79	CENPX	na	16725	-0.2150258719921112	0.047119923	No	
row_80	RB1	na	16921	-0.2267000377178192	0.053353097	No	
row_81	CDC26	na	17009	-0.23337139189243317	0.065865666	No	
row_82	ANAPC4	na	18217	-0.36490553617477417	0.028030891	No	
