NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CATSPER1	na	3920	0.14358341693878174	-0.18093804	No	
row_1	CCSAP	na	4252	0.1309426724910736	-0.17264335	No	
row_2	RSPH6A	na	6871	0.054801952093839645	-0.30163637	No	
row_3	MKKS	na	7875	0.031100060790777206	-0.3490511	No	
row_4	DNAH1	na	8652	0.013872058130800724	-0.38775638	No	
row_5	CFAP54	na	10869	-0.03167060762643814	-0.49986184	No	
row_6	TEKT5	na	11711	-0.04942234978079796	-0.5349868	No	
row_7	CFAP20	na	12309	-0.06363841146230698	-0.5542557	No	
row_8	BBS2	na	15881	-0.17201922833919525	-0.71090716	Yes	
row_9	RSPH9	na	16520	-0.20330370962619781	-0.7046578	Yes	
row_10	CFAP46	na	17096	-0.2386101335287094	-0.6880382	Yes	
row_11	WDR63	na	17348	-0.25977030396461487	-0.6499109	Yes	
row_12	TEKT1	na	17450	-0.26773491501808167	-0.60218984	Yes	
row_13	CFAP43	na	17491	-0.2718285024166107	-0.55039775	Yes	
row_14	TEKT3	na	17603	-0.2837739884853363	-0.5000289	Yes	
row_15	TEKT2	na	17623	-0.28631505370140076	-0.44424087	Yes	
row_16	GAS8	na	17715	-0.2966034710407257	-0.39025822	Yes	
row_17	RSPH4A	na	17962	-0.32572680711746216	-0.3387785	Yes	
row_18	TTLL1	na	18061	-0.34156131744384766	-0.27625048	Yes	
row_19	BBS4	na	18089	-0.3454243838787079	-0.2091629	Yes	
row_20	DNAH11	na	18335	-0.3890065550804138	-0.14507546	Yes	
row_21	GAS2L2	na	18458	-0.41964778304100037	-0.06833776	Yes	
row_22	TEKT4	na	18462	-0.42012399435043335	0.014851931	Yes	
