NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	DNAH17	na	90	0.5351308584213257	0.025618292	No	
row_1	NEURL1	na	750	0.35843557119369507	0.010681746	No	
row_2	ADCY3	na	891	0.3415051996707916	0.0226045	No	
row_3	SLC22A16	na	1318	0.2963356673717499	0.016625779	No	
row_4	RGN	na	2011	0.23801679909229279	-0.0069303135	No	
row_5	LDHC	na	2536	0.2056802362203598	-0.023319885	No	
row_6	SLC9B1	na	3873	0.14568017423152924	-0.08665233	No	
row_7	CATSPER1	na	3920	0.14358341693878174	-0.08094999	No	
row_8	PLTP	na	4094	0.13682277500629425	-0.08244044	No	
row_9	CACNA1I	na	4126	0.1358509361743927	-0.07637388	No	
row_10	ATP1A4	na	4204	0.13321879506111145	-0.07292301	No	
row_11	CCSAP	na	4252	0.1309426724910736	-0.067993395	No	
row_12	SPAG16	na	4618	0.11848804354667664	-0.08081959	No	
row_13	TACR1	na	5301	0.09747715294361115	-0.11183475	No	
row_14	TEX101	na	5370	0.09489766508340836	-0.110081464	No	
row_15	ASH1L	na	5416	0.09370113909244537	-0.10716326	No	
row_16	INTS13	na	6785	0.057002827525138855	-0.17725591	No	
row_17	RSPH6A	na	6871	0.054801952093839645	-0.17869495	No	
row_18	INPP5B	na	7044	0.05050021782517433	-0.18504259	No	
row_19	UBE2B	na	7169	0.047499801963567734	-0.18898775	No	
row_20	MKKS	na	7875	0.031100060790777206	-0.225012	No	
row_21	DNAH2	na	8200	0.023922588676214218	-0.24102001	No	
row_22	DNAH1	na	8652	0.013872058130800724	-0.26440796	No	
row_23	DNAJA1	na	8746	0.011801890097558498	-0.2687221	No	
row_24	NPHP4	na	9521	-0.004508019890636206	-0.30995807	No	
row_25	CFAP54	na	10869	-0.03167060762643814	-0.3803661	No	
row_26	TACR2	na	10971	-0.03359059989452362	-0.38386953	No	
row_27	ATP2B4	na	11321	-0.040962208062410355	-0.40024838	No	
row_28	CCDC39	na	11444	-0.043738801032304764	-0.40430027	No	
row_29	CATSPER3	na	11544	-0.045710526406764984	-0.407007	No	
row_30	TEKT5	na	11711	-0.04942234978079796	-0.41309434	No	
row_31	SLIRP	na	12010	-0.057109855115413666	-0.42582053	No	
row_32	CFAP20	na	12309	-0.06363841146230698	-0.43817535	No	
row_33	QRICH2	na	12463	-0.06703180819749832	-0.44256398	No	
row_34	SLC9B2	na	13250	-0.08706032484769821	-0.47974694	No	
row_35	CATSPER2	na	13298	-0.08829381316900253	-0.47724357	No	
row_36	TPGS1	na	13730	-0.10012401640415192	-0.4946526	No	
row_37	NME8	na	13745	-0.10070619732141495	-0.48967406	No	
row_38	TMF1	na	14415	-0.11969209462404251	-0.5187285	No	
row_39	ARMC2	na	14630	-0.12618425488471985	-0.5230221	Yes	
row_40	ANXA5	na	14673	-0.12772826850414276	-0.51800734	Yes	
row_41	SLC26A8	na	14770	-0.13083794713020325	-0.5157105	Yes	
row_42	CFAP44	na	14793	-0.1314636617898941	-0.509411	Yes	
row_43	DNAH5	na	14891	-0.13500483334064484	-0.5069307	Yes	
row_44	ING2	na	15020	-0.13941463828086853	-0.50586134	Yes	
row_45	DNAAF2	na	15218	-0.1456589549779892	-0.5081357	Yes	
row_46	CELF3	na	15426	-0.15263767540454865	-0.5105491	Yes	
row_47	EFHC1	na	15481	-0.15493765473365784	-0.50462973	Yes	
row_48	DRC1	na	15872	-0.17163629829883575	-0.5157726	Yes	
row_49	BBS2	na	15881	-0.17201922833919525	-0.5064154	Yes	
row_50	IQCG	na	16192	-0.18631409108638763	-0.51243466	Yes	
row_51	DEFB1	na	16328	-0.1929711252450943	-0.5086938	Yes	
row_52	RSPH9	na	16520	-0.20330370962619781	-0.5073672	Yes	
row_53	PLA2G3	na	16534	-0.20394089818000793	-0.4964621	Yes	
row_54	DNAH7	na	16972	-0.23056501150131226	-0.50677216	Yes	
row_55	CFAP46	na	17096	-0.2386101335287094	-0.49979165	Yes	
row_56	DRC7	na	17226	-0.2488490343093872	-0.4925503	Yes	
row_57	DPCD	na	17233	-0.24977397918701172	-0.47866258	Yes	
row_58	DNAI1	na	17293	-0.2551056742668152	-0.46731278	Yes	
row_59	CCDC65	na	17336	-0.25881028175354004	-0.45484087	Yes	
row_60	WDR63	na	17348	-0.25977030396461487	-0.44065252	Yes	
row_61	LRRC6	na	17356	-0.2601887285709381	-0.42622593	Yes	
row_62	TEKT1	na	17450	-0.26773491501808167	-0.4159803	Yes	
row_63	CFAP43	na	17491	-0.2718285024166107	-0.4026606	Yes	
row_64	CCDC40	na	17565	-0.27928125858306885	-0.39068598	Yes	
row_65	ROPN1B	na	17593	-0.2828657925128937	-0.37604147	Yes	
row_66	TEKT3	na	17603	-0.2837739884853363	-0.36038038	Yes	
row_67	TEKT2	na	17623	-0.28631505370140076	-0.34511077	Yes	
row_68	TCTE1	na	17655	-0.28980445861816406	-0.33028597	Yes	
row_69	GAS8	na	17715	-0.2966034710407257	-0.31657538	Yes	
row_70	CFAP69	na	17819	-0.3061889410018921	-0.30467826	Yes	
row_71	RSPH4A	na	17962	-0.32572680711746216	-0.29376033	Yes	
row_72	TTLL1	na	18061	-0.34156131744384766	-0.27958286	Yes	
row_73	BBS4	na	18089	-0.3454243838787079	-0.26137945	Yes	
