NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	BMP7	na	716	0.36450517177581787	0.012282778	No	
row_1	SNAI1	na	1160	0.3117155432701111	0.03184141	No	
row_2	GATA4	na	1683	0.26270121335983276	0.040374175	No	
row_3	TBX20	na	3097	0.17718668282032013	-0.010610486	No	
row_4	DCHS1	na	3134	0.1757492572069168	0.01184965	No	
row_5	TMEM100	na	3402	0.16365575790405273	0.020277534	No	
row_6	TBX2	na	5930	0.07882731407880783	-0.10393321	No	
row_7	ERBB3	na	6274	0.0696447491645813	-0.1126141	No	
row_8	TGFBR2	na	6926	0.05351683869957924	-0.14000511	No	
row_9	MDM4	na	7726	0.0346037782728672	-0.17793563	No	
row_10	TGFB2	na	8021	0.027820955961942673	-0.18979904	No	
row_11	GATA5	na	8243	0.022942546755075455	-0.19843517	No	
row_12	NEDD4	na	8643	0.014017933048307896	-0.21782935	No	
row_13	BMPR2	na	8945	0.00732424296438694	-0.23291108	No	
row_14	CRELD1	na	9515	-0.004230184480547905	-0.2627552	No	
row_15	TGFBR1	na	9658	-0.007584335748106241	-0.26929724	No	
row_16	BMP2	na	10044	-0.015039351768791676	-0.28780097	No	
row_17	NOTCH1	na	10835	-0.03079899586737156	-0.32577807	No	
row_18	RBPJ	na	11378	-0.04244781658053398	-0.3488754	No	
row_19	TWIST1	na	11394	-0.042744848877191544	-0.34374672	No	
row_20	SMAD4	na	12127	-0.05949380248785019	-0.37464043	No	
row_21	NOS3	na	12888	-0.07791952788829803	-0.40447506	No	
row_22	ENG	na	13655	-0.09792888909578323	-0.43185422	No	
row_23	BMPR1A	na	14104	-0.1109563559293747	-0.44041863	No	
row_24	JAG1	na	14198	-0.11379037797451019	-0.42960384	No	
row_25	ACVRL1	na	15328	-0.14952625334262848	-0.46923766	Yes	
row_26	ACVR1	na	15569	-0.15857841074466705	-0.46007025	Yes	
row_27	SOX9	na	15656	-0.16217318177223206	-0.4421679	Yes	
row_28	FGF8	na	16336	-0.19355471432209015	-0.45162594	Yes	
row_29	HEYL	na	16419	-0.19743387401103973	-0.42861718	Yes	
row_30	ROBO1	na	16899	-0.22581450641155243	-0.4229028	Yes	
row_31	BMP4	na	16980	-0.23095375299453735	-0.39513615	Yes	
row_32	HEY2	na	17071	-0.23720695078372955	-0.36703667	Yes	
row_33	NOG	na	17081	-0.23770815134048462	-0.33453563	Yes	
row_34	SNAI2	na	17224	-0.24865932762622833	-0.30762818	Yes	
row_35	BMP5	na	17325	-0.25819793343544006	-0.277151	Yes	
row_36	FOXF1	na	17413	-0.2642364501953125	-0.24514069	Yes	
row_37	HEY1	na	17802	-0.30502644181251526	-0.22356868	Yes	
row_38	RBM24	na	17903	-0.3161623477935791	-0.18504885	Yes	
row_39	MSX2	na	18304	-0.3825538456439972	-0.15336157	Yes	
row_40	MDM2	na	18417	-0.40605103969573975	-0.10301133	Yes	
row_41	MSX1	na	18467	-0.42182421684265137	-0.047103185	Yes	
row_42	ROBO2	na	18528	-0.44432124495506287	0.011338163	Yes	
