NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ADCY10	na	2324	0.21754319965839386	-0.089410536	No	
row_1	AQP4	na	3144	0.17538504302501678	-0.10513602	No	
row_2	NPHP3	na	8610	0.014719827100634575	-0.39482558	No	
row_3	CABYR	na	8637	0.014170604757964611	-0.39394936	No	
row_4	DNAH1	na	8652	0.013872058130800724	-0.3924796	No	
row_5	OFD1	na	9527	-0.004715440794825554	-0.4384312	No	
row_6	STK36	na	10339	-0.020675402134656906	-0.47846442	No	
row_7	TSG101	na	10899	-0.032150138169527054	-0.5031965	No	
row_8	CCDC39	na	11444	-0.043738801032304764	-0.52527416	No	
row_9	SPAG17	na	12002	-0.056964077055454254	-0.54593205	No	
row_10	KIAA0556	na	13833	-0.10291525721549988	-0.62727076	No	
row_11	DNAH5	na	14891	-0.13500483334064484	-0.6621707	No	
row_12	WWP2	na	15214	-0.14552892744541168	-0.6561106	No	
row_13	ARRDC1	na	15342	-0.14989301562309265	-0.6389321	No	
row_14	DPCD	na	17233	-0.24977397918701172	-0.6999971	Yes	
row_15	CFAP53	na	17295	-0.2551904320716858	-0.6624566	Yes	
row_16	LRRC6	na	17356	-0.2601887285709381	-0.62406343	Yes	
row_17	CCDC40	na	17565	-0.27928125858306885	-0.5905267	Yes	
row_18	GAS8	na	17715	-0.2966034710407257	-0.5510676	Yes	
row_19	TTLL1	na	18061	-0.34156131744384766	-0.51489455	Yes	
row_20	ROPN1L	na	18242	-0.3685891926288605	-0.4655828	Yes	
row_21	RFX3	na	18288	-0.3794291317462921	-0.40732372	Yes	
row_22	DNAH11	na	18335	-0.3890065550804138	-0.34758684	Yes	
row_23	DNAAF4	na	18372	-0.39704465866088867	-0.28603038	Yes	
row_24	DNAAF1	na	18436	-0.4128030836582184	-0.22339733	Yes	
row_25	KIF27	na	18450	-0.41776299476623535	-0.15729932	Yes	
row_26	NME5	na	18612	-0.4816252291202545	-0.08889984	Yes	
row_27	SPA17	na	18721	-0.5984829068183899	0.0010153053	Yes	
