NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	AURKA	na	102	0.52877277135849	0.07976155	Yes	
row_1	TTK	na	127	0.5102046132087708	0.16069883	Yes	
row_2	MEIOC	na	154	0.4974408745765686	0.23947236	Yes	
row_3	CDC25B	na	344	0.4354943335056305	0.29955313	Yes	
row_4	SPIRE1	na	355	0.4323588013648987	0.36869362	Yes	
row_5	TRIP13	na	438	0.4137066900730133	0.43098092	Yes	
row_6	NCAPH	na	645	0.37522268295288086	0.48044044	Yes	
row_7	SYCP2	na	844	0.3467279076576233	0.5257355	Yes	
row_8	MASTL	na	1082	0.32052046060562134	0.56472325	Yes	
row_9	MLH1	na	1145	0.31355875730514526	0.6119404	Yes	
row_10	PLK1	na	1226	0.3057837188243866	0.6569427	Yes	
row_11	WASHC5	na	1462	0.2828107178211212	0.68996036	Yes	
row_12	TOP2A	na	1707	0.26118770241737366	0.71901256	Yes	
row_13	FBXO5	na	2453	0.2100917547941208	0.7130592	No	
row_14	SPIRE2	na	5343	0.09579375386238098	0.57412	No	
row_15	HSF1	na	5366	0.09504949301481247	0.58826166	No	
row_16	RAD51C	na	6558	0.062375981360673904	0.5346714	No	
row_17	TUBB8	na	7288	0.04457845538854599	0.5029004	No	
row_18	EREG	na	7391	0.04196719080209732	0.50421304	No	
row_19	PRKAR1A	na	9206	0.0018625477096065879	0.40758038	No	
row_20	ATM	na	10125	-0.0167401023209095	0.36122388	No	
row_21	NCAPH2	na	10501	-0.024331290274858475	0.3451064	No	
row_22	PPP2R1A	na	11158	-0.03785841166973114	0.31615335	No	
row_23	MARF1	na	11360	-0.04208724573254585	0.3121951	No	
row_24	MLH3	na	12375	-0.06523103266954422	0.26852307	No	
row_25	FMN2	na	16755	-0.216278538107872	0.06938054	No	
row_26	UBB	na	16934	-0.22734208405017853	0.09650525	No	
