NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CCNE1	na	62	0.5666211843490601	0.029033527	Yes	
row_1	ESPL1	na	75	0.5491422414779663	0.05974999	Yes	
row_2	HFM1	na	80	0.541456401348114	0.090456516	Yes	
row_3	AURKA	na	102	0.52877277135849	0.11952714	Yes	
row_4	MEIOC	na	154	0.4974408745765686	0.14519982	Yes	
row_5	RNF212	na	197	0.47865647077560425	0.17028238	Yes	
row_6	RAD54L	na	210	0.4753561317920685	0.19678514	Yes	
row_7	EME1	na	281	0.45057761669158936	0.21876277	Yes	
row_8	MAJIN	na	295	0.44717392325401306	0.2436025	Yes	
row_9	CDC25B	na	344	0.4354943335056305	0.26589847	Yes	
row_10	TRIP13	na	438	0.4137066900730133	0.2845372	Yes	
row_11	TEX15	na	483	0.4043155014514923	0.30526713	Yes	
row_12	CCDC155	na	762	0.3572874665260315	0.3107638	Yes	
row_13	SYCP2	na	844	0.3467279076576233	0.32622105	Yes	
row_14	CCDC36	na	933	0.33718207478523254	0.3407578	Yes	
row_15	CDC25C	na	978	0.33321815729141235	0.35742754	Yes	
row_16	CDC25A	na	1014	0.3282729983329773	0.3742975	Yes	
row_17	FANCD2	na	1095	0.3194115459918976	0.38824838	Yes	
row_18	MLH1	na	1145	0.31355875730514526	0.40352735	Yes	
row_19	RAD54B	na	1152	0.31273379921913147	0.42106494	Yes	
row_20	PLK1	na	1226	0.3057837188243866	0.43461293	Yes	
row_21	SYCE2	na	1509	0.27810826897621155	0.43537346	Yes	
row_22	BRCA2	na	1627	0.26774850487709045	0.44439	Yes	
row_23	TOP2A	na	1707	0.26118770241737366	0.4550695	Yes	
row_24	STAG3	na	1846	0.24926500022411346	0.46190447	Yes	
row_25	MSH5	na	1877	0.2467251867055893	0.47438556	Yes	
row_26	MSH6	na	2110	0.23163799941539764	0.47517338	Yes	
row_27	MYBL1	na	2311	0.21836811304092407	0.47691932	Yes	
row_28	DMRT1	na	2356	0.21564330160617828	0.48687473	Yes	
row_29	FBXO5	na	2453	0.2100917547941208	0.49372473	Yes	
row_30	PTTG1	na	2583	0.20254936814308167	0.4983745	Yes	
row_31	TERF1	na	3123	0.17599770426750183	0.47952285	Yes	
row_32	HORMAD1	na	3129	0.17582300305366516	0.48929548	Yes	
row_33	RAD21	na	3201	0.17313125729560852	0.49537534	Yes	
row_34	NDC1	na	3356	0.16598382592201233	0.49659637	Yes	
row_35	BRIP1	na	3405	0.16352973878383636	0.5033612	Yes	
row_36	MCMDC2	na	3778	0.14909718930721283	0.49192828	No	
row_37	RAD51	na	4037	0.13905422389507294	0.48603475	No	
row_38	C11orf80	na	4645	0.11751449108123779	0.460197	No	
row_39	MRE11	na	4778	0.11365078389644623	0.45960915	No	
row_40	KLHDC3	na	4911	0.10937032848596573	0.45877683	No	
row_41	DMRTC2	na	5471	0.09180299937725067	0.43404466	No	
row_42	AGO4	na	5476	0.09167396277189255	0.4390654	No	
row_43	MOV10L1	na	5850	0.08103793114423752	0.42369217	No	
row_44	MUS81	na	6122	0.07368427515029907	0.41336846	No	
row_45	UBR2	na	6431	0.06521622836589813	0.40057713	No	
row_46	FANCM	na	6510	0.06341582536697388	0.4000161	No	
row_47	RAD51C	na	6558	0.062375981360673904	0.40105796	No	
row_48	P3H4	na	6611	0.06116345524787903	0.4017625	No	
row_49	BAG6	na	6618	0.06103222444653511	0.40492612	No	
