NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CCNE1	na	62	0.5666211843490601	0.01352368	Yes	
row_1	ESPL1	na	75	0.5491422414779663	0.02922348	Yes	
row_2	HFM1	na	80	0.541456401348114	0.045125917	Yes	
row_3	AURKA	na	102	0.52877277135849	0.059733994	Yes	
row_4	TTK	na	127	0.5102046132087708	0.07362755	Yes	
row_5	MEIOC	na	154	0.4974408745765686	0.087033294	Yes	
row_6	RNF212	na	197	0.47865647077560425	0.099017	Yes	
row_7	RAD54L	na	210	0.4753561317920685	0.11252032	Yes	
row_8	SMC1B	na	229	0.46581628918647766	0.1254161	Yes	
row_9	BUB1	na	277	0.4511987864971161	0.1363128	Yes	
row_10	EME1	na	281	0.45057761669158936	0.14956386	Yes	
row_11	MAJIN	na	295	0.44717392325401306	0.16217433	Yes	
row_12	TDRKH	na	313	0.4423811435699463	0.1744264	Yes	
row_13	CDC25B	na	344	0.4354943335056305	0.1857724	Yes	
row_14	SPIRE1	na	355	0.4323588013648987	0.19810364	Yes	
row_15	TRIP13	na	438	0.4137066900730133	0.20599675	Yes	
row_16	TEX15	na	483	0.4043155014514923	0.21565962	Yes	
row_17	SMC4	na	610	0.38112667202949524	0.22021003	Yes	
row_18	NCAPH	na	645	0.37522268295288086	0.22954614	Yes	
row_19	CCDC155	na	762	0.3572874665260315	0.23392619	Yes	
row_20	SYCP2	na	844	0.3467279076576233	0.23987941	Yes	
row_21	OVOL1	na	852	0.3451729118824005	0.24977706	Yes	
row_22	CCDC36	na	933	0.33718207478523254	0.25550005	Yes	
row_23	ASPM	na	946	0.3359483480453491	0.26485348	Yes	
row_24	NUF2	na	949	0.33584436774253845	0.27474308	Yes	
row_25	CDC25C	na	978	0.33321815729141235	0.28315234	Yes	
row_26	CDC25A	na	1014	0.3282729983329773	0.29103693	Yes	
row_27	SGO1	na	1038	0.3264634311199188	0.29951477	Yes	
row_28	MASTL	na	1082	0.32052046060562134	0.30673712	Yes	
row_29	FANCD2	na	1095	0.3194115459918976	0.31559828	Yes	
row_30	MLH1	na	1145	0.31355875730514526	0.32228982	Yes	
