NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ESPL1	na	75	0.5491422414779663	0.07265749	Yes	
row_1	TTK	na	127	0.5102046132087708	0.14116219	Yes	
row_2	SPDL1	na	255	0.45829764008522034	0.19835554	Yes	
row_3	BUB1	na	277	0.4511987864971161	0.26022652	Yes	
row_4	NDC80	na	425	0.41625460982322693	0.31048045	Yes	
row_5	TRIP13	na	438	0.4137066900730133	0.3675983	Yes	
row_6	USP44	na	1218	0.30627021193504333	0.36869818	Yes	
row_7	PLK1	na	1226	0.3057837188243866	0.41101575	Yes	
row_8	BUB1B	na	1616	0.2691003978252411	0.42778292	Yes	
row_9	CDC20	na	1656	0.2652123272418976	0.4627248	Yes	
row_10	GEN1	na	1860	0.24782557785511017	0.48646873	Yes	
row_11	CENPF	na	1937	0.24296823143959045	0.5163263	Yes	
row_12	AURKB	na	2102	0.23215104639530182	0.53996754	Yes	
row_13	FBXO5	na	2453	0.2100917547941208	0.5505819	Yes	
row_14	PTTG1	na	2583	0.20254936814308167	0.571962	Yes	
row_15	RAD21	na	3201	0.17313125729560852	0.5631373	Yes	
row_16	MAD2L1	na	3468	0.16131877899169922	0.5714344	Yes	
row_17	TEX14	na	3643	0.15439411997795105	0.5836848	Yes	
row_18	CCNB1	na	3787	0.14889030158519745	0.59682465	Yes	
row_19	XRCC3	na	4367	0.12683096528053284	0.5835679	No	
row_20	PCID2	na	5641	0.08722183853387833	0.52766687	No	
row_21	WAPL	na	5995	0.07718450576066971	0.5195649	No	
row_22	CDT1	na	7030	0.050912175327539444	0.47137594	No	
row_23	MAD2L2	na	7881	0.03096490167081356	0.43024215	No	
row_24	ZW10	na	8099	0.025979265570640564	0.42226434	No	
row_25	TPR	na	8981	0.006549306213855743	0.37606388	No	
row_26	ZNF207	na	9552	-0.005264609586447477	0.346316	No	
row_27	DUSP1	na	9647	-0.007395423017442226	0.34232152	No	
row_28	ATM	na	10125	-0.0167401023209095	0.3191493	No	
row_29	CDK5RAP2	na	10523	-0.024651851505041122	0.30135995	No	
row_30	APC	na	10761	-0.02932284027338028	0.2927794	No	
row_31	BUB3	na	10893	-0.03200463578104973	0.290242	No	
row_32	LCMT1	na	11088	-0.036218006163835526	0.28492367	No	
row_33	PSMG2	na	11372	-0.0423567071557045	0.2757028	No	
row_34	ATRX	na	11827	-0.05237806960940361	0.2587362	No	
row_35	NAA10	na	12300	-0.06333155930042267	0.24233621	No	
row_36	IK	na	12689	-0.07284962385892868	0.23175733	No	
row_37	ANAPC15	na	12721	-0.07372807711362839	0.24039303	No	
row_38	MAD1L1	na	13466	-0.09239649027585983	0.21350472	No	
row_39	KLHL22	na	14013	-0.10829183459281921	0.19942445	No	
row_40	DYNC1LI1	na	15968	-0.17604808509349823	0.1195058	No	
row_41	TNKS	na	16561	-0.20544955134391785	0.11653016	No	
