NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MTBP	na	48	0.5790928602218628	0.060573768	Yes	
row_1	TTK	na	127	0.5102046132087708	0.11203059	Yes	
row_2	SPDL1	na	255	0.45829764008522034	0.15520519	Yes	
row_3	BUB1	na	277	0.4511987864971161	0.20327875	Yes	
row_4	NDC80	na	425	0.41625460982322693	0.24079871	Yes	
row_5	TRIP13	na	438	0.4137066900730133	0.28526592	Yes	
row_6	BMP7	na	716	0.36450517177581787	0.31018582	Yes	
row_7	USP44	na	1218	0.30627021193504333	0.31676772	Yes	
row_8	PLK1	na	1226	0.3057837188243866	0.3497349	Yes	
row_9	BUB1B	na	1616	0.2691003978252411	0.358258	Yes	
row_10	CDC20	na	1656	0.2652123272418976	0.3850888	Yes	
row_11	GEN1	na	1860	0.24782557785511017	0.40124667	Yes	
row_12	CENPF	na	1937	0.24296823143959045	0.4236718	Yes	
row_13	AURKB	na	2102	0.23215104639530182	0.44020784	Yes	
row_14	DMRT1	na	2356	0.21564330160617828	0.4501807	Yes	
row_15	FBXO5	na	2453	0.2100917547941208	0.4679507	Yes	
row_16	PTTG1	na	2583	0.20254936814308167	0.48313218	Yes	
row_17	CHEK1	na	2691	0.19727012515068054	0.49891546	Yes	
row_18	HORMAD1	na	3129	0.17582300305366516	0.49469897	Yes	
row_19	RAD21	na	3201	0.17313125729560852	0.5097769	Yes	
row_20	MAD2L1	na	3468	0.16131877899169922	0.5131306	Yes	
row_21	LIF	na	3637	0.15458479523658752	0.52099496	Yes	
row_22	TEX14	na	3643	0.15439411997795105	0.5375621	Yes	
row_23	CCNB1	na	3787	0.14889030158519745	0.5461434	Yes	
row_24	XRCC3	na	4367	0.12683096528053284	0.5289853	No	
row_25	FBXO43	na	4414	0.1250193566083908	0.5401552	No	
row_26	NME6	na	4721	0.11542940139770508	0.5363645	No	
row_27	PCID2	na	5641	0.08722183853387833	0.4966911	No	
row_28	RAD1	na	6055	0.07549726217985153	0.48281983	No	
row_29	CDT1	na	7030	0.050912175327539444	0.43624377	No	
row_30	KIF25	na	7124	0.04844385385513306	0.4365487	No	
row_31	MAD2L2	na	7881	0.03096490167081356	0.39946476	No	
row_32	ZW10	na	8099	0.025979265570640564	0.3906839	No	
row_33	TPR	na	8981	0.006549306213855743	0.34424788	No	
row_34	PRKAR1A	na	9206	0.0018625477096065879	0.33246273	No	
row_35	ZNF207	na	9552	-0.005264609586447477	0.31457278	No	
row_36	DUSP1	na	9647	-0.007395423017442226	0.31034836	No	
row_37	TOM1L2	na	10083	-0.01589476317167282	0.28880078	No	
row_38	ATM	na	10125	-0.0167401023209095	0.2884318	No	
row_39	CDK5RAP2	na	10523	-0.024651851505041122	0.26987278	No	
row_40	APC	na	10761	-0.02932284027338028	0.26038608	No	
row_41	BUB3	na	10893	-0.03200463578104973	0.25686482	No	
row_42	LCMT1	na	11088	-0.036218006163835526	0.25043127	No	
row_43	PSMG2	na	11372	-0.0423567071557045	0.23990388	No	
row_44	AURKAIP1	na	11745	-0.05028264597058296	0.22547755	No	
row_45	ATRX	na	11827	-0.05237806960940361	0.22685368	No	
row_46	RGCC	na	12191	-0.06086672097444534	0.21406306	No	
row_47	NAA10	na	12300	-0.06333155930042267	0.21518853	No	
row_48	IK	na	12689	-0.07284962385892868	0.20236653	No	
row_49	ANAPC15	na	12721	-0.07372807711362839	0.20874655	No	
row_50	MAD1L1	na	13466	-0.09239649027585983	0.17900316	No	
row_51	KLHL22	na	14013	-0.10829183459281921	0.1615897	No	
row_52	DYNC1LI1	na	15968	-0.17604808509349823	0.076209635	No	
row_53	TNKS	na	16561	-0.20544955134391785	0.06692811	No	
row_54	TOM1L1	na	16866	-0.2237764596939087	0.07505834	No	
row_55	BMP4	na	16980	-0.23095375299453735	0.09419326	No	
