NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CCNE1	na	62	0.5666211843490601	0.011875109	Yes	
row_1	ESPL1	na	75	0.5491422414779663	0.025982939	Yes	
row_2	HFM1	na	80	0.541456401348114	0.040316623	Yes	
row_3	TTK	na	127	0.5102046132087708	0.05154049	Yes	
row_4	MEIOC	na	154	0.4974408745765686	0.06350234	Yes	
row_5	RNF212	na	197	0.47865647077560425	0.074094646	Yes	
row_6	KIF18B	na	218	0.4722927212715149	0.08570501	Yes	
row_7	SMC1B	na	229	0.46581628918647766	0.09768183	Yes	
row_8	SPDL1	na	255	0.45829764008522034	0.10864588	Yes	
row_9	BUB1	na	277	0.4511987864971161	0.11963536	Yes	
row_10	EME1	na	281	0.45057761669158936	0.13158102	Yes	
row_11	MAJIN	na	295	0.44717392325401306	0.14289473	Yes	
row_12	FAM83D	na	348	0.4338366389274597	0.15174218	Yes	
row_13	KIF2C	na	412	0.41859015822410583	0.15958539	Yes	
row_14	NDC80	na	425	0.41625460982322693	0.1701223	Yes	
row_15	TRIP13	na	438	0.4137066900730133	0.18059073	Yes	
row_16	TEX15	na	483	0.4043155014514923	0.18907727	Yes	
row_17	SMC4	na	610	0.38112667202949524	0.19250874	Yes	
row_18	NCAPH	na	645	0.37522268295288086	0.20075399	Yes	
row_19	KIF23	na	651	0.3742143511772156	0.21053953	Yes	
row_20	CDCA5	na	654	0.37387916445732117	0.22047822	Yes	
row_21	KLHDC8B	na	735	0.3615344166755676	0.22586943	Yes	
row_22	CCDC155	na	762	0.3572874665260315	0.23406512	Yes	
row_23	SYCP2	na	844	0.3467279076576233	0.23900439	Yes	
row_24	DSN1	na	875	0.3434399664402008	0.24661177	Yes	
row_25	NCAPG	na	908	0.33996620774269104	0.2540177	Yes	
row_26	PSRC1	na	919	0.33833828568458557	0.26256898	Yes	
row_27	RMI2	na	922	0.338029146194458	0.2715443	Yes	
row_28	CCDC36	na	933	0.33718207478523254	0.2800645	Yes	
row_29	NUF2	na	949	0.33584436774253845	0.2882785	Yes	
row_30	KIFC1	na	950	0.3358439803123474	0.2973032	Yes	
row_31	CDCA8	na	990	0.33189424872398376	0.3041139	Yes	
row_32	ECT2	na	1006	0.3289833664894104	0.31214353	Yes	
row_33	SGO1	na	1038	0.3264634311199188	0.3192407	Yes	
row_34	FANCD2	na	1095	0.3194115459918976	0.32479712	Yes	
row_35	MLH1	na	1145	0.31355875730514526	0.33057463	Yes	
row_36	CENPE	na	1158	0.31233829259872437	0.33831912	Yes	
row_37	USP44	na	1218	0.30627021193504333	0.3433603	Yes	
row_38	PLK1	na	1226	0.3057837188243866	0.3511989	Yes	
row_39	DLGAP5	na	1445	0.2843569219112396	0.34705755	Yes	
row_40	KIF4A	na	1475	0.2814808189868927	0.35305405	Yes	
row_41	SYCE2	na	1509	0.27810826897621155	0.3587437	Yes	
row_42	DSCC1	na	1513	0.2779068052768707	0.3660494	Yes	
row_43	ANAPC1	na	1516	0.27779194712638855	0.37340605	Yes	
row_44	BUB1B	na	1616	0.2691003978252411	0.3752865	Yes	
row_45	CDC20	na	1656	0.2652123272418976	0.38030532	Yes	
row_46	TOP2A	na	1707	0.26118770241737366	0.38462147	Yes	
row_47	TENT4A	na	1750	0.2579898238182068	0.38928407	Yes	
row_48	STAG3	na	1846	0.24926500022411346	0.39084768	Yes	
row_49	GEN1	na	1860	0.24782557785511017	0.39680457	Yes	
row_50	KIF14	na	1861	0.24767132103443146	0.40345994	Yes	
row_51	CENPF	na	1937	0.24296823143959045	0.4059353	Yes	
row_52	INCENP	na	2015	0.2379264235496521	0.40816706	Yes	
row_53	STAG3L2	na	2037	0.23669084906578064	0.41339236	Yes	
row_54	SPAG5	na	2071	0.2348327487707138	0.41791913	Yes	
row_55	KIF18A	na	2072	0.23474854230880737	0.42422724	Yes	
row_56	AURKB	na	2102	0.23215104639530182	0.42889816	Yes	
row_57	RACGAP1	na	2147	0.22872516512870789	0.43266627	Yes	
row_58	SGO2	na	2255	0.2219257950782776	0.43284664	Yes	
row_59	TACC3	na	2306	0.21849876642227173	0.43601567	Yes	
row_60	FBXO5	na	2453	0.2100917547941208	0.43377015	Yes	
row_61	NSMCE2	na	2582	0.2027605026960373	0.4323005	Yes	
row_62	PTTG1	na	2583	0.20254936814308167	0.43774337	Yes	
row_63	CENPQ	na	2880	0.1874641478061676	0.4267826	Yes	
row_64	STAG1	na	2920	0.18529054522514343	0.4296538	Yes	
row_65	PRC1	na	3027	0.18032629787921906	0.42877036	Yes	
row_66	HASPIN	na	3086	0.17767682671546936	0.43041006	Yes	
