NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ALG3	na	2232	0.22313597798347473	-0.05628554	No	
row_1	ALG10	na	3063	0.17863720655441284	-0.050233472	No	
row_2	ALG11	na	3827	0.1470704972743988	-0.049506396	No	
row_3	NUS1	na	8361	0.020494161173701286	-0.2858602	No	
row_4	ALG8	na	8900	0.008202508091926575	-0.31228435	No	
row_5	DHDDS	na	8978	0.006661448627710342	-0.31451842	No	
row_6	ALG6	na	9176	0.0023113733623176813	-0.3243894	No	
row_7	ALG10B	na	9890	-0.012123406864702702	-0.3590554	No	
row_8	DPAGT1	na	14439	-0.12046201527118683	-0.568013	No	
row_9	DOLK	na	15515	-0.1563558578491211	-0.5813326	Yes	
row_10	MVD	na	15730	-0.1652005910873413	-0.54616636	Yes	
row_11	ALG1	na	16722	-0.21483765542507172	-0.53850335	Yes	
row_12	ALG9	na	16957	-0.22952567040920258	-0.48626155	Yes	
row_13	ALG13	na	17004	-0.2328374981880188	-0.42304334	Yes	
row_14	DOLPP1	na	17038	-0.23513640463352203	-0.35848233	Yes	
row_15	ALG12	na	17066	-0.2369384467601776	-0.2930925	Yes	
row_16	MPDU1	na	17106	-0.23987753689289093	-0.22751465	Yes	
row_17	ALG2	na	17614	-0.2850484848022461	-0.17419434	Yes	
row_18	ALG14	na	18025	-0.33559903502464294	-0.10143412	Yes	
row_19	SRD5A3	na	18625	-0.4948258399963379	0.006142791	Yes	
