NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CDK6	na	939	0.3366149663925171	-0.020406952	No	
row_1	NKX6-1	na	1323	0.29588332772254944	-0.014658899	No	
row_2	IL6R	na	1611	0.26940879225730896	-0.006119997	No	
row_3	IGF2	na	1697	0.26179200410842896	0.012558489	No	
row_4	BAK1	na	1723	0.2596493065357208	0.034259353	No	
row_5	MSLN	na	1922	0.244038924574852	0.045312338	No	
row_6	ACVR2B	na	2119	0.2307933270931244	0.055297084	No	
row_7	ONECUT2	na	2360	0.2155100256204605	0.061569862	No	
row_8	IL6	na	2811	0.19145731627941132	0.0544646	No	
row_9	ILDR2	na	3055	0.1789962500333786	0.057336785	No	
row_10	GATA6	na	3688	0.15267139673233032	0.037045334	No	
row_11	BMP6	na	4006	0.14026246964931488	0.03251847	No	
row_12	SMO	na	4230	0.131735160946846	0.03226788	No	
row_13	EIF2AK3	na	4319	0.1283147931098938	0.03894193	No	
row_14	MET	na	5545	0.08985084295272827	-0.018674042	No	
row_15	GSK3B	na	5863	0.08061185479164124	-0.028493874	No	
row_16	TCF7L2	na	5891	0.0796513706445694	-0.022871813	No	
row_17	ALDH1A2	na	5933	0.07872302085161209	-0.018081712	No	
row_18	MEN1	na	6375	0.06671072542667389	-0.035774212	No	
row_19	NKX3-2	na	7443	0.0408201664686203	-0.089281216	No	
row_20	SIDT2	na	7458	0.040437791496515274	-0.08644264	No	
row_21	GDF11	na	7495	0.03943181037902832	-0.08487125	No	
row_22	INSR	na	7844	0.03184211254119873	-0.100678355	No	
row_23	GSK3A	na	8454	0.01794888824224472	-0.13169265	No	
row_24	NPHP3	na	8610	0.014719827100634575	-0.1386855	No	
row_25	WLS	na	9117	0.0036314604803919792	-0.16545542	No	
row_26	HNF1B	na	9165	0.0024962606839835644	-0.16775037	No	
row_27	SELENOT	na	9348	-8.831885061226785E-4	-0.17741661	No	
row_28	HNF4A	na	9567	-0.005632726475596428	-0.18858892	No	
row_29	FOXO1	na	9581	-0.006040880456566811	-0.18874893	No	
row_30	HES1	na	9621	-0.006849360186606646	-0.1902293	No	
row_31	CTNNB1	na	10806	-0.030105100944638252	-0.25095147	No	
row_32	SMAD2	na	10859	-0.031498491764068604	-0.25094068	No	
row_33	PDPK1	na	10984	-0.033871687948703766	-0.25457433	No	
row_34	AKT1	na	11208	-0.03881588578224182	-0.26306993	No	
row_35	CCDC39	na	11444	-0.043738801032304764	-0.27177116	No	
row_36	SOX4	na	12455	-0.06689688563346863	-0.31991243	No	
row_37	CLOCK	na	13064	-0.0823834091424942	-0.34515575	No	
row_38	ARNTL	na	13186	-0.08553428202867508	-0.3440446	No	
row_39	BAD	na	13404	-0.09096239507198334	-0.34759182	No	
row_40	RHEB	na	13582	-0.09572908282279968	-0.3485744	No	
row_41	DLL1	na	13762	-0.10112853348255157	-0.34918496	No	
row_42	WNT5A	na	14106	-0.11102421581745148	-0.3576983	No	
row_43	SOX9	na	15656	-0.16217318177223206	-0.42624447	No	
row_44	GIPR	na	16709	-0.21406932175159454	-0.46357545	Yes	
row_45	WFS1	na	16954	-0.22921951115131378	-0.45630035	Yes	
row_46	BMP4	na	16980	-0.23095375299453735	-0.43714574	Yes	
row_47	NKX2-2	na	16992	-0.23193293809890747	-0.41715464	Yes	
row_48	PDX1	na	17016	-0.2338455319404602	-0.39763632	Yes	
row_49	PAX6	na	17121	-0.241093248128891	-0.3818118	Yes	
row_50	HNF1A	na	17194	-0.24642229080200195	-0.36380106	Yes	
row_51	BMP5	na	17325	-0.25819793343544006	-0.34785086	Yes	
row_52	FOXF1	na	17413	-0.2642364501953125	-0.32906255	Yes	
row_53	CCDC40	na	17565	-0.27928125858306885	-0.31236595	Yes	
row_54	MEIS2	na	17817	-0.3060314357280731	-0.29864994	Yes	
row_55	NR5A2	na	17919	-0.3187854588031769	-0.2757709	Yes	
row_56	MNX1	na	17976	-0.32817843556404114	-0.24964906	Yes	
row_57	PROX1	na	18036	-0.33754074573516846	-0.22285709	Yes	
row_58	RFX3	na	18288	-0.3794291317462921	-0.20262827	Yes	
row_59	ANXA1	na	18356	-0.39412736892700195	-0.17124355	Yes	
row_60	DNAAF1	na	18436	-0.4128030836582184	-0.13884418	Yes	
row_61	SHH	na	18605	-0.4796849489212036	-0.10527541	Yes	
row_62	IHH	na	18723	-0.6164615154266357	-0.05683944	Yes	
row_63	FOXA2	na	18730	-0.6502248644828796	5.35581E-4	Yes	
