NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	NEURL1	na	750	0.35843557119369507	-0.01144225	No	
row_1	ADCY3	na	891	0.3415051996707916	0.008419709	No	
row_2	SLC22A16	na	1318	0.2963356673717499	0.009350208	No	
row_3	RGN	na	2011	0.23801679909229279	-0.008633306	No	
row_4	LDHC	na	2536	0.2056802362203598	-0.020212263	No	
row_5	SLC9B1	na	3873	0.14568017423152924	-0.08007373	No	
row_6	CATSPER1	na	3920	0.14358341693878174	-0.07103426	No	
row_7	PLTP	na	4094	0.13682277500629425	-0.06933618	No	
row_8	CACNA1I	na	4126	0.1358509361743927	-0.060113028	No	
row_9	ATP1A4	na	4204	0.13321879506111145	-0.053563654	No	
row_10	SPAG16	na	4618	0.11848804354667664	-0.0661844	No	
row_11	TACR1	na	5301	0.09747715294361115	-0.09489105	No	
row_12	TEX101	na	5370	0.09489766508340836	-0.09092969	No	
row_13	ASH1L	na	5416	0.09370113909244537	-0.08583272	No	
row_14	INTS13	na	6785	0.057002827525138855	-0.15451142	No	
row_15	INPP5B	na	7044	0.05050021782517433	-0.16427965	No	
row_16	UBE2B	na	7169	0.047499801963567734	-0.16711365	No	
row_17	DNAH1	na	8652	0.013872058130800724	-0.2453513	No	
row_18	DNAJA1	na	8746	0.011801890097558498	-0.24938524	No	
row_19	NPHP4	na	9521	-0.004508019890636206	-0.29046544	No	
row_20	TACR2	na	10971	-0.03359059989452362	-0.36535656	No	
row_21	ATP2B4	na	11321	-0.040962208062410355	-0.3807612	No	
row_22	CCDC39	na	11444	-0.043738801032304764	-0.38378942	No	
row_23	CATSPER3	na	11544	-0.045710526406764984	-0.3854282	No	
row_24	SLIRP	na	12010	-0.057109855115413666	-0.4057501	No	
row_25	QRICH2	na	12463	-0.06703180819749832	-0.42458108	No	
row_26	SLC9B2	na	13250	-0.08706032484769821	-0.45969057	No	
row_27	CATSPER2	na	13298	-0.08829381316900253	-0.4551339	No	
row_28	TPGS1	na	13730	-0.10012401640415192	-0.4701895	No	
row_29	NME8	na	13745	-0.10070619732141495	-0.46287155	No	
row_30	TMF1	na	14415	-0.11969209462404251	-0.48910254	No	
row_31	ARMC2	na	14630	-0.12618425488471985	-0.49045193	Yes	
row_32	ANXA5	na	14673	-0.12772826850414276	-0.48246843	Yes	
row_33	SLC26A8	na	14770	-0.13083794713020325	-0.47712708	Yes	
row_34	CFAP44	na	14793	-0.1314636617898941	-0.46777353	Yes	
row_35	DNAH5	na	14891	-0.13500483334064484	-0.4621519	Yes	
row_36	ING2	na	15020	-0.13941463828086853	-0.4578368	Yes	
row_37	CELF3	na	15426	-0.15263767540454865	-0.4672935	Yes	
row_38	BBS2	na	15881	-0.17201922833919525	-0.4778211	Yes	
row_39	IQCG	na	16192	-0.18631409108638763	-0.47949353	Yes	
row_40	DEFB1	na	16328	-0.1929711252450943	-0.47126287	Yes	
row_41	PLA2G3	na	16534	-0.20394089818000793	-0.46590132	Yes	
row_42	DRC7	na	17226	-0.2488490343093872	-0.48296353	Yes	
row_43	DPCD	na	17233	-0.24977397918701172	-0.46327552	Yes	
row_44	DNAI1	na	17293	-0.2551056742668152	-0.4459981	Yes	
row_45	LRRC6	na	17356	-0.2601887285709381	-0.4284741	Yes	
row_46	CFAP43	na	17491	-0.2718285024166107	-0.41387266	Yes	
row_47	CCDC40	na	17565	-0.27928125858306885	-0.39540812	Yes	
row_48	ROPN1B	na	17593	-0.2828657925128937	-0.37419352	Yes	
row_49	TEKT3	na	17603	-0.2837739884853363	-0.35194242	Yes	
row_50	TEKT2	na	17623	-0.28631505370140076	-0.33002314	Yes	
row_51	TCTE1	na	17655	-0.28980445861816406	-0.30846685	Yes	
row_52	GAS8	na	17715	-0.2966034710407257	-0.28786507	Yes	
row_53	CFAP69	na	17819	-0.3061889410018921	-0.26885122	Yes	
row_54	TTLL1	na	18061	-0.34156131744384766	-0.2543925	Yes	
row_55	EPPIN	na	18215	-0.3643159866333008	-0.23339921	Yes	
row_56	PIH1D3	na	18219	-0.3650949001312256	-0.20431228	Yes	
row_57	ROPN1L	na	18242	-0.3685891926288605	-0.1759627	Yes	
row_58	DNAH11	na	18335	-0.3890065550804138	-0.14972542	Yes	
row_59	TTC21A	na	18342	-0.3903367817401886	-0.118777	Yes	
row_60	CATSPERD	na	18448	-0.41597801446914673	-0.0910751	Yes	
row_61	SORD	na	18504	-0.4327654242515564	-0.059351277	Yes	
row_62	CFAP157	na	18509	-0.4353207051753998	-0.024692122	Yes	
row_63	WDR66	na	18568	-0.46195217967033386	0.009209209	Yes	
