NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	CCNE1	na	62	0.5666211843490601	0.07964377	Yes	
row_1	MEIOC	na	154	0.4974408745765686	0.14760897	Yes	
row_2	RNF212	na	197	0.47865647077560425	0.21544303	Yes	
row_3	MAJIN	na	295	0.44717392325401306	0.27572805	Yes	
row_4	TRIP13	na	438	0.4137066900730133	0.32870793	Yes	
row_5	TEX15	na	483	0.4043155014514923	0.38555104	Yes	
row_6	CCDC155	na	762	0.3572874665260315	0.4230015	Yes	
row_7	SYCP2	na	844	0.3467279076576233	0.46943563	Yes	
row_8	CCDC36	na	933	0.33718207478523254	0.51409805	Yes	
row_9	FANCD2	na	1095	0.3194115459918976	0.5522569	Yes	
row_10	MLH1	na	1145	0.31355875730514526	0.59554523	Yes	
row_11	SYCE2	na	1509	0.27810826897621155	0.61686	Yes	
row_12	STAG3	na	1846	0.24926500022411346	0.635395	Yes	
row_13	HORMAD1	na	3129	0.17582300305366516	0.5926137	No	
row_14	NDC1	na	3356	0.16598382592201233	0.6048352	No	
row_15	BRIP1	na	3405	0.16352973878383636	0.62621164	No	
row_16	MCMDC2	na	3778	0.14909718930721283	0.62815714	No	
row_17	MRE11	na	4778	0.11365078389644623	0.5913997	No	
row_18	AGO4	na	5476	0.09167396277189255	0.5675667	No	
row_19	P3H4	na	6611	0.06116345524787903	0.51590896	No	
row_20	BAG6	na	6618	0.06103222444653511	0.52452385	No	
row_21	MAEL	na	7078	0.04976196959614754	0.5072757	No	
row_22	UBE2B	na	7169	0.047499801963567734	0.50941956	No	
row_23	DMC1	na	7176	0.04730837792158127	0.5160251	No	
row_24	ANKRD31	na	7909	0.030389895662665367	0.4813489	No	
row_25	CCNE2	na	8445	0.018253644928336143	0.4554255	No	
row_26	REC8	na	10756	-0.02923032082617283	0.33623508	No	
row_27	MLH3	na	12375	-0.06523103266954422	0.25930294	No	
row_28	SYCE3	na	12927	-0.07879174500703812	0.24138759	No	
row_29	SUN1	na	13463	-0.09232190251350403	0.22630838	No	
row_30	CCNB1IP1	na	15130	-0.14287787675857544	0.15817873	No	
row_31	SYCE1L	na	17069	-0.23716723918914795	0.089315325	No	
