NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GO_AXONEME_ASSEMBLY	GO_AXONEME_ASSEMBLY	Details ...	58	-0.72480613	-2.8263416	0.0	0.0	0.0	2870	tags=67%, list=15%, signal=79%	
GO_CILIUM_MOVEMENT	GO_CILIUM_MOVEMENT	Details ...	70	-0.7079564	-2.8079867	0.0	0.0	0.0	2870	tags=64%, list=15%, signal=76%	
GO_AXONEMAL_DYNEIN_COMPLEX_ASSEMBLY	GO_AXONEMAL_DYNEIN_COMPLEX_ASSEMBLY	Details ...	27	-0.7855422	-2.597352	0.0	0.0	0.0	2060	tags=70%, list=11%, signal=79%	
GO_MOTILE_CILIUM_ASSEMBLY	GO_MOTILE_CILIUM_ASSEMBLY	Details ...	20	-0.80903554	-2.4704258	0.0	0.0	0.0	2222	tags=70%, list=12%, signal=79%	
GO_MICROTUBULE_BUNDLE_FORMATION	GO_MICROTUBULE_BUNDLE_FORMATION	Details ...	89	-0.57954127	-2.4677393	0.0	0.0	0.0	2870	tags=49%, list=15%, signal=58%	
GO_EXTRACELLULAR_TRANSPORT	GO_EXTRACELLULAR_TRANSPORT	Details ...	28	-0.7399314	-2.458039	0.0	0.0	0.0	1509	tags=50%, list=8%, signal=54%	
GO_CILIUM_MOVEMENT_INVOLVED_IN_CELL_MOTILITY	GO_CILIUM_MOVEMENT_INVOLVED_IN_CELL_MOTILITY	Details ...	23	-0.7450347	-2.3568623	0.0	0.0	0.0	2861	tags=65%, list=15%, signal=77%	
GO_CILIUM_OR_FLAGELLUM_DEPENDENT_CELL_MOTILITY	GO_CILIUM_OR_FLAGELLUM_DEPENDENT_CELL_MOTILITY	Details ...	87	-0.5302006	-2.2389853	0.0	0.0018772541	0.012	4112	tags=55%, list=22%, signal=70%	
GO_CILIUM_ORGANIZATION	GO_CILIUM_ORGANIZATION	Details ...	365	-0.4193888	-2.1471856	0.0	0.0044909646	0.031	3376	tags=34%, list=18%, signal=41%	
GO_INTERLEUKIN_8_SECRETION	GO_INTERLEUKIN_8_SECRETION	Details ...	26	-0.63246536	-2.093347	0.0	0.010484911	0.08	5621	tags=73%, list=30%, signal=104%	
GO_REGULATION_OF_EPIDERMAL_CELL_DIFFERENTIATION	GO_REGULATION_OF_EPIDERMAL_CELL_DIFFERENTIATION	Details ...	55	-0.5124604	-2.0139554	0.0	0.02866826	0.217	3054	tags=40%, list=16%, signal=48%	
GO_SPERM_MOTILITY	GO_SPERM_MOTILITY	Details ...	64	-0.5028987	-1.9949656	0.0	0.03501041	0.277	1516	tags=34%, list=8%, signal=37%	
GO_PANCREAS_DEVELOPMENT	GO_PANCREAS_DEVELOPMENT	Details ...	64	-0.4825704	-1.9651163	0.0	0.050356466	0.401	2033	tags=31%, list=11%, signal=35%	
GO_REGULATION_OF_CILIUM_MOVEMENT	GO_REGULATION_OF_CILIUM_MOVEMENT	Details ...	16	-0.6948377	-1.9610069	0.0	0.049107373	0.412	3509	tags=69%, list=19%, signal=85%	
