NAME	TITLE	SCORE	
PLAG1	na	0.81575435	
ARHGAP29	na	0.77135	
L1CAM	na	0.73790485	
AARD	na	0.73364216	
HIF3A	na	0.73057413	
THEMIS2	na	0.726733	
DLGAP3	na	0.7199274	
C10orf88B	na	0.7032813	
NPR1	na	0.7004594	
CPVL	na	0.6989041	
FGF12	na	0.6982395	
LINC01936	na	0.6890335	
FIGNL2	na	0.68057877	
SLC6A10P	na	0.67276037	
HENMT1	na	0.6668684	
FBXO17	na	0.6664166	
THRB	na	0.65223634	
SLC8A1	na	0.64830405	
KCNK9	na	0.6422927	
UCHL1	na	0.6396085	
RYR1	na	0.63791096	
ZNF663P	na	0.6273065	
IGF2BP2	na	0.62578857	
ESPNL	na	0.6245398	
MGAT4A	na	0.6223614	
MPP3	na	0.62213326	
LINC01152	na	0.6194674	
CTCFL	na	0.6193155	
DOCK3	na	0.61605597	
ELOVL3	na	0.61359924	
CDKN2A	na	0.60383356	
FOLR3	na	0.60324293	
GPR19	na	0.6005297	
XAGE2	na	0.5938851	
HIC2	na	0.59143955	
MAP3K15	na	0.58998364	
KIRREL1	na	0.5895214	
S100A1	na	0.5895196	
GRIK5	na	0.5869669	
WNK3	na	0.58426297	
IGF2BP1	na	0.58373946	
ESYT3	na	0.58344775	
MX2	na	0.5832415	
TANC2	na	0.5818466	
CLDN6	na	0.5813351	
BEND6	na	0.5812333	
IGSF1	na	0.5811325	
PARD6B	na	0.58050394	
MTBP	na	0.57909286	
PNMA3	na	0.5786622	
KLRG2	na	0.5778863	
GPR20	na	0.5761259	
MAGEH1	na	0.5760238	
TAF4B	na	0.5718892	
COL4A4	na	0.5712317	
LINC00839	na	0.5694936	
GPR158	na	0.5694413	
MYT1	na	0.56873524	
COL4A3	na	0.5683226	
SYT13	na	0.56819636	
ANKRD2	na	0.567239	
RSPO4	na	0.5669111	
CCNE1	na	0.5666212	
GFOD1	na	0.5660505	
FAM24B	na	0.56534106	
CUZD1	na	0.563784	
TMEM63C	na	0.5601341	
SLC7A10	na	0.5599004	
LINC02308	na	0.5580852	
TRPV3	na	0.5556468	
ADAMTSL4	na	0.5552966	
ZNF192P1	na	0.55218035	
SLC6A15	na	0.5521758	
HERC5	na	0.5504514	
ANKLE1	na	0.5499905	
ESPL1	na	0.54914224	
GPRIN2	na	0.5486661	
LINC01606	na	0.5482114	
MIR9-3HG	na	0.5441386	
FBXO41	na	0.5434351	
HFM1	na	0.5414564	
LGI2	na	0.54061663	
ADIRF-AS1	na	0.53993917	
KCNK15-AS1	na	0.53832793	
CCDC150	na	0.5381881	
SCN4A	na	0.5381844	
OTOF	na	0.5375425	
DNAH17-AS1	na	0.5369196	
C3orf67	na	0.53677315	
EPHB2	na	0.53642356	
DNAH17	na	0.53513086	
SLC43A3	na	0.5339632	
ALOX12P2	na	0.53394914	
PPARGC1A	na	0.53368217	
MB21D2	na	0.53336835	
TNNT1	na	0.53302723	
HROB	na	0.532	
GABRE	na	0.5313613	
NRIP3	na	0.53123885	
ZDBF2	na	0.5308363	
CLDN19	na	0.530484	
CLCN4	na	0.53024507	
AURKA	na	0.5287728	
RFC4	na	0.52325976	
RAB39B	na	0.5215299	
FXYD6	na	0.5210283	
GPR173	na	0.5209665	
SMIM10L2B	na	0.51933545	
CLDN9	na	0.51920635	
PNOC	na	0.5191705	
RASGEF1A	na	0.51810503	
E2F1	na	0.5175828	
SLC6A12	na	0.5171847	
ZYG11A	na	0.5170877	
C5orf34	na	0.51658964	
CECR7	na	0.5160172	
SPEG	na	0.51446956	
LRRN2	na	0.5143243	
POT1-AS1	na	0.51299274	
AP3B2	na	0.5129879	
SST	na	0.5127214	
DSCAML1	na	0.51245695	
SPACA6	na	0.51222265	
LINC01224	na	0.51136845	
KCNIP3	na	0.51072025	
DUXAP8	na	0.51056236	
SCN8A	na	0.51032084	
TTK	na	0.5102046	
FAM218A	na	0.51012295	
MLF1	na	0.50901216	
WDR53	na	0.50888145	
RIMS3	na	0.5083791	
STON1	na	0.50827014	
ELOVL2	na	0.50792116	
MACROD2	na	0.5077393	
MAP7D3	na	0.5070612	
SLC6A13	na	0.5069909	
TUBB4A	na	0.506903	
KCNS1	na	0.50682104	
ADD2	na	0.5055194	
MCM8	na	0.50521696	
HPDL	na	0.5049583	
TOMM40P2	na	0.5048542	
S100A5	na	0.5041113	
FIRRE	na	0.50389105	
CLDN16	na	0.50376403	
PDE6B-AS1	na	0.50335646	
FAM110B	na	0.50266707	
LRRC14B	na	0.5025702	
STEAP1B	na	0.5024211	
GLIS2	na	0.5011304	
BOLA3-AS1	na	0.5001314	
SYNPO2L	na	0.49899083	
SPATA25	na	0.49791813	
MEIOC	na	0.49744087	
UPK3B	na	0.49677858	
RASL10B	na	0.49618015	
ZFPM2	na	0.4961305	
C20orf204	na	0.4952703	
MRPL23-AS1	na	0.49492332	
TMEM38A	na	0.4947288	
EYA4	na	0.4945914	
LINC00667	na	0.49450237	
ERVK9-11	na	0.49436265	
PKIA	na	0.49368858	
ACOXL	na	0.49306208	
KCND1	na	0.4929842	
ADRA2B	na	0.49241006	
TCAM1P	na	0.49215236	
TLCD5	na	0.49109071	
LRFN1	na	0.48955184	
TSHR	na	0.48915952	
MAL	na	0.48915932	
BEX2	na	0.48885775	
PTX3	na	0.48800775	
CDH6	na	0.4878034	
VGLL1	na	0.48775145	
DNAJC6	na	0.48630974	
RASAL1	na	0.48596042	
GPRC5B	na	0.4857092	
FOXI3	na	0.48543376	
CLDN1	na	0.48537987	
RNF182	na	0.48510653	
ADCY9	na	0.48431817	
UBE2E2	na	0.48414087	
TNRC6C-AS1	na	0.48409632	
ARHGAP23	na	0.48364735	
DLL3	na	0.4835142	
FXYD2	na	0.4832176	
DUSP9	na	0.48257324	
MIR1915HG	na	0.48249328	
UGT3A2	na	0.48244327	
PNMA8B	na	0.48206022	
ANKRD33B	na	0.48163027	
NDUFB4P11	na	0.48094034	
LINC00514	na	0.4796806	
PTGS1	na	0.4790091	
RNF212	na	0.47865647	
GDPD5	na	0.47857943	
SLC38A1	na	0.47842154	
PRELID3A	na	0.47821116	
NKAIN4	na	0.47802562	
ATAD2	na	0.47795883	
C19orf84	na	0.47771114	
RNLS	na	0.47715068	
KIF1A	na	0.47690096	
DRP2	na	0.47650644	
CLCNKB	na	0.47632834	
HPSE	na	0.47618422	
LMO3	na	0.47541746	
RAD54L	na	0.47535613	
LINC01993	na	0.4753292	
LINC02613	na	0.4739478	
SLC6A11	na	0.47378355	
ZNF311	na	0.47360608	
POU6F2	na	0.47356832	
GSTM2	na	0.47326294	
POLQ	na	0.47290355	
KIF18B	na	0.47229272	
PNPLA5	na	0.4716407	
IL12RB2	na	0.4714094	
OBSCN	na	0.47107533	
DNM1P35	na	0.47082648	
TMEFF2	na	0.47062403	
LINC00668	na	0.46991983	
LINC00888	na	0.46779954	
PXDC1	na	0.46664056	
PDE6G	na	0.4665694	
CCDC142	na	0.4663746	
SMC1B	na	0.4658163	
NXPE3	na	0.4658046	
COL22A1	na	0.46564555	
RGS9	na	0.46524975	
CHCHD7	na	0.4649204	
ALK	na	0.4646935	
EGFL6	na	0.4645611	
MELTF	na	0.46437642	
IQSEC3	na	0.463916	
GABRQ	na	0.46332684	
GAL3ST3	na	0.46322006	
KIF3C	na	0.4628078	
ELOVL7	na	0.46204376	
SOX11	na	0.4617647	
PLEKHM3	na	0.46129432	
ELOVL4	na	0.4612693	
TNFRSF13C	na	0.46126807	
TKTL1	na	0.46070918	
RBM11	na	0.46062702	
ITM2C	na	0.4597746	
PRIMA1	na	0.45941567	
ZSCAN12	na	0.45916915	
DUSP15	na	0.45901424	
CORO6	na	0.45869505	
ATP6V1G2	na	0.45849612	
NHLRC1	na	0.4583927	
SPDL1	na	0.45829764	
MAST1	na	0.45826662	
SEPTIN3	na	0.45824954	
CDK5R2	na	0.45805392	
YEATS2-AS1	na	0.4572263	
KHDC1	na	0.45695984	
CENPA	na	0.4562437	
